address,baths,beds,date,link,popularity,price,property_type,size
"25 Leeviewballincolligco Corkp31 T934
                ",2 bathrooms,3 bedrooms,2021-07-28,,None,"€280,000",None,88 sq.feet
25 Leeview ,2 bathrooms,3 bedrooms,2021-07-28,,None,"€280,000",None,88 sq.feet
"50 Old Courtgreenfieldsballincolligco Corkp31 Ck70
                ",2 bathrooms,3 bedrooms,2021-07-28,,None,"€350,000",None,88 sq.feet
50 Old Court Greenfields ,2 bathrooms,3 bedrooms,2021-07-28,,None,"€350,000",None,88 sq.feet
"8 Millers Courtold Quarterballincolligco Corkp31 Ck83
                ",2 bathrooms,3 bedrooms,2021-07-28,,None,"€345,000",None,88 sq.feet
8 Millers Court Old Quarter ,2 bathrooms,3 bedrooms,2021-07-28,,None,"€345,000",None,88 sq.feet
79 Coopers Grange Old Quarter ,2 bathrooms,3 bedrooms,2021-07-28,,None,"€345,000",None,88 sq.feet
22 Beech Road Muskerry Estate Ballincollg ,2 bathrooms,3 bedrooms,2021-07-28,,None,"€350,000",None,88 sq.feet
36 Castlepark ,2 bathrooms,3 bedrooms,2021-07-28,,None,"€225,000",None,88 sq.feet
104 Caisleán Grove ,2 bathrooms,3 bedrooms,2021-07-28,,None,"€279,000",None,88 sq.feet
104 Caisleé N Grove ,2 bathrooms,3 bedrooms,2021-07-28,,None,"€279,000",None,88 sq.feet
14 The Avenue Highfield Park ,2 bathrooms,3 bedrooms,2021-07-28,,None,"€325,000",None,88 sq.feet
4 Leo Murphy Terrace ,2 bathrooms,3 bedrooms,2021-07-28,,None,"€220,000",None,88 sq.feet
"14 The Avenue, Highfield Park, Ballincollig, Cork
                ",2 bathrooms,3 bedrooms,2021-07-28,,None,"€325,000",None,88 sq.feet
Vesna 57 Rosewood ,2 bathrooms,3 bedrooms,2021-07-28,,None,"€395,000",None,88 sq.feet
57 57a Rosewood ,2 bathrooms,3 bedrooms,2021-07-28,,None,"€395,000",None,88 sq.feet
"4 Leo Murphy Terraceballincolligco Corkp31 Pd88
                ",2 bathrooms,3 bedrooms,2021-07-28,,None,"€220,000",None,88 sq.feet
"118 Castlepark, P31w899
                ",2 bathrooms,3 bedrooms,2021-07-28,,None,"€210,000",None,88 sq.feet
36 Westcourt Heights ,2 bathrooms,3 bedrooms,2021-07-28,,None,"€345,000",None,88 sq.feet
2 Glendower Court ,2 bathrooms,3 bedrooms,2021-07-28,,None,"€315,000",None,88 sq.feet
17 Coolroe Heights ,2 bathrooms,3 bedrooms,2021-07-28,,None,"€295,000",None,88 sq.feet
118 Castlepark ,2 bathrooms,3 bedrooms,2021-07-28,,None,"€210,000",None,88 sq.feet
12 The Stables Coolroe ,2 bathrooms,3 bedrooms,2021-07-28,,None,"€380,000",None,88 sq.feet
"92 Leslies Archold Quarterballincolligco Corkp31 Vp66
                ",2 bathrooms,3 bedrooms,2021-07-28,,None,"€350,000",None,88 sq.feet
Apartment 19 Newgrange An Caislean ,2 bathrooms,3 bedrooms,2021-07-28,,None,"€249,000",None,88 sq.feet
46 Coopers Grange Old Quarter ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€335,000",None,3 bathrooms
46 Coopers Grange Old Quarter ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€335,000",None,3 bathrooms
48 The Willows Classes Lake ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€305,000",None,3 bathrooms
48 The Willows Classes Lake ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€305,000",None,3 bathrooms
8 Parknamore Heights ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€300,000",None,3 bathrooms
22 Cranford Pines ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€320,000",None,3 bathrooms
22 Cranford Pines ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€320,000",None,3 bathrooms
The Cottage Coolroe ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€275,000",None,3 bathrooms
11 Rosewood ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€320,000",None,3 bathrooms
158 An Caislean View ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€265,000",None,3 bathrooms
Clareemmlorr 57 Carriganarra Estate ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€285,000",None,3 bathrooms
36 Coolroe Heights ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€260,000",None,3 bathrooms
158 An Caislean View ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€265,000",None,3 bathrooms
95 Caisleé N Grove ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€240,000",None,3 bathrooms
Clareemmlorr 57 Carriganarra Estate ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€300,000",None,3 bathrooms
95 An Caislean ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€240,000",None,3 bathrooms
41 Millers Court Old Quarter ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€380,000",None,3 bathrooms
98 Leslies Arch Old Quarter ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€350,000",None,3 bathrooms
108 An Caislean ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€290,000",None,3 bathrooms
Benamara 8 Wyndham Downs ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€385,000",None,3 bathrooms
23 Leeview ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€280,000",None,3 bathrooms
57 Church View ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€295,000",None,3 bathrooms
63 The Cloisters ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€325,000",None,3 bathrooms
Rozel 165 Beech Park ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€330,000",None,3 bathrooms
20 Parknamore Rise ,3 bedrooms,3 bedrooms,2021-07-28,,None,"€260,000",None,3 bathrooms
10 Parknamore Rise ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€285,000",None,2 bathrooms
Farran Ovens ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€325,000",None,2 bathrooms
167 Rosewood ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€325,000",None,2 bathrooms
203 Rosewood ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€240,000",None,2 bathrooms
22 Glincool Gardens ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€295,000",None,2 bathrooms
10 Parknamore Rise ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€285,000",None,2 bathrooms
Innisfree 56 Maple Lawn ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€299,000",None,2 bathrooms
48 Willow Grove Coolroe Heights ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€315,000",None,2 bathrooms
48 The Close Coolroe Meadows ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€339,000",None,2 bathrooms
69 Coopers Grange Old Quarter ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€330,000",None,2 bathrooms
23 The Stables Coolroe ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€250,000",None,2 bathrooms
45 Waltham Abbey Old Quarter ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€225,000",None,2 bathrooms
20 Cranford Pines ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€280,000",None,2 bathrooms
32 Aylsbury Downs ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€245,000",None,2 bathrooms
32 Aylsbury Downs ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€245,000",None,2 bathrooms
2 Leesdale Drive ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€255,000",None,2 bathrooms
43 Beech Park ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€249,500",None,2 bathrooms
114 Rosewood Est ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€285,000",None,2 bathrooms
32 Coolroe Heights ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€295,000",None,2 bathrooms
17 The Heathers Classes Lake ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€290,000",None,2 bathrooms
12 Glincool Gardens ,4 bedrooms,3 bedrooms,2021-07-28,,None,"€310,000",None,2 bathrooms
