date,address,county,price,description,size,locality
2010-01-11,"15 Limeworth, Ballincollig",Cork,745000,second-hand,1-38 m2,Ballincollig
2010-01-14,"111 Coopers Grange, Old Quarter, Ballincollig",Cork,358590,new,125-1000 m2,Ballincollig
2010-01-18,"Apartment 3, Shalimar Court, Ballincollig",Cork,265000,new,38-125 m2,Ballincollig
2010-01-20,"23, Oaklands, Ballincollig",Cork,200000,second-hand,1-38 m2,Ballincollig
2010-02-16,"17 Leesdale Grove, Ballincollig",Cork,187000,second-hand,1-38 m2,Ballincollig
2010-02-19,"37 Westcourt Heights, Ballincollig",Cork,230000,second-hand,1-38 m2,Ballincollig
2010-02-25,"2 Churchview, Ballincollig",Cork,250000,second-hand,1-38 m2,Ballincollig
2010-02-26,"27 Riversedge, Fionn Laoi, Ballincollig",Cork,275000,new,38-125 m2,Ballincollig
2010-03-01,"12 The Crescent, Highfield Park, Carrigrohane",Cork,263436,new,38-125 m2,Ballincollig
2010-03-01,"168 The Quadrants, Ballincollig",Cork,170000,new,38-125 m2,Ballincollig
2010-03-11,"Apt. 4 Shalimar Court, Pulavone, Ballincollig",Cork,251101,new,125-1000 m2,Ballincollig
2010-03-12,"14 Rivers Court, Fionn Laoi, Ballincollig",Cork,202000,new,38-125 m2,Ballincollig
2010-03-12,"33 Limeworth, Carriganarra, Ballincollig",Cork,715000,new,125-1000 m2,Ballincollig
2010-03-18,"29 Riversedge, Fionn Laoi, Ballincollig",Cork,280000,new,38-125 m2,Ballincollig
2010-03-23,"4 Avon Court, Ballincollig",Cork,295000,second-hand,1-38 m2,Ballincollig
2010-03-26,"1 Carriglen, Ballincollie, Dublin Pike",Cork,250000,second-hand,1-38 m2,Ballincollig
2010-03-26,"11 The Cloisters, Ballincollig",Cork,240000,second-hand,1-38 m2,Ballincollig
2010-03-26,"22 The Crescent, Highfield Park, Carrigrohane  Ballincollig",Cork,251101,new,38-125 m2,Ballincollig
2010-04-07,"9 Shalimar Court, Poulavone, Ballincollig",Cork,211453,new,38-125 m2,Ballincollig
2010-04-09,"72 Wyndham Downs, Ballincollig, Co. Cork",Cork,270000,second-hand,1-38 m2,Ballincollig
2010-04-13,"45 The Green, Coolroe Meadows, Ballincollig",Cork,215000,second-hand,1-38 m2,Ballincollig
2010-04-28,"27 The Avenue, Highfield Park, Ballincollig",Cork,229074,new,125-1000 m2,Ballincollig
2010-04-29,"12, Cranford Pines, Ballincollig",Cork,220000,second-hand,1-38 m2,Ballincollig
2010-04-29,"2 The Vale, Coolroe, Ballincollig",Cork,381000,second-hand,1-38 m2,Ballincollig
2010-04-29,"23  Bridgewater, Carrigrohane",Cork,531000,second-hand,1-38 m2,Ballincollig
2010-04-30,"77 Old Court, Greenfields, Ballincollig",Cork,310000,second-hand,1-38 m2,Ballincollig
2010-05-12,"9  Castleknock, Kilumney Road, Ballincollig",Cork,235000,second-hand,1-38 m2,Ballincollig
2010-05-13,"8 Parknamore Heights, Ballincollig",Cork,240000,second-hand,1-38 m2,Ballincollig
2010-05-14,"40 Cherrywalk, Ballincollig",Cork,31750,second-hand,1-38 m2,Ballincollig
2010-05-14,"40 Cherrywalk, Ballincollig",Cork,31750,second-hand,1-38 m2,Ballincollig
2010-05-18,"3 Riversedge, Fionn Laoi, Ballincollig",Cork,303000,new,38-125 m2,Ballincollig
2010-05-19,"11 Riverscourt, Fionn Laoi, Ballincollig",Cork,225000,new,38-125 m2,Ballincollig
