address,baths,beds,date,price,area,geocode,lat,long
50 Old Court Greenfields ,2,3,2021-07-28,350000,Greenfield,"51.88072634468435, -8.611355403381312",51.88072634468435,-8.611355403381312
8 Millers Court Old Quarter ,2,3,2021-07-28,345000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
79 Coopers Grange Old Quarter ,2,3,2021-07-28,345000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
22 Beech Road Muskerry Estate Ballincollg ,2,3,2021-07-28,350000,Muskerry Estate,"51.885514844369936, -8.596310161258103",51.885514844369936,-8.596310161258103
36 Castlepark ,2,3,2021-07-28,225000,Castlepark,"51.88653927567583, -8.585310716875346",51.88653927567583,-8.585310716875346
104 Caisleán Grove ,2,3,2021-07-28,279000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
104 Caisleé N Grove ,2,3,2021-07-28,279000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
14 The Avenue Highfield Park ,2,3,2021-07-28,325000,Highfield,"51.88483134751023, -8.573114016875365",51.88483134751023,-8.573114016875365
4 Leo Murphy Terrace ,2,3,2021-07-28,220000,Town Center,"51.8878563321983, -8.600737381727024",51.8878563321983,-8.600737381727024
"14 The Avenue, Highfield Park, Ballincollig, Cork
                ",2,3,2021-07-28,325000,Highfield,"51.88483134751023, -8.573114016875365",51.88483134751023,-8.573114016875365
Vesna 57 Rosewood ,2,3,2021-07-28,395000,Rosewood,"51.88865181082447, -8.575978970851866",51.88865181082447,-8.575978970851866
57 57a Rosewood ,2,3,2021-07-28,395000,Rosewood,"51.88865181082447, -8.575978970851866",51.88865181082447,-8.575978970851866
"118 Castlepark, P31w899
                ",2,3,2021-07-28,210000,Castlepark,"51.88653927567583, -8.585310716875346",51.88653927567583,-8.585310716875346
36 Westcourt Heights ,2,3,2021-07-28,345000,Westcourt,"51.88681255417706, -8.616295628522487",51.88681255417706,-8.616295628522487
2 Glendower Court ,2,3,2021-07-28,315000,Glendower Court,"51.89097713659068, -8.579260601534097",51.89097713659068,-8.579260601534097
17 Coolroe Heights ,2,3,2021-07-28,295000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
118 Castlepark ,2,3,2021-07-28,210000,Castlepark,"51.88653927567583, -8.585310716875346",51.88653927567583,-8.585310716875346
12 The Stables Coolroe ,2,3,2021-07-28,380000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
Apartment 19 Newgrange An Caislean ,2,3,2021-07-28,249000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
46 Coopers Grange Old Quarter ,3,3,2021-07-28,335000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
46 Coopers Grange Old Quarter ,3,3,2021-07-28,335000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
48 The Willows Classes Lake ,3,3,2021-07-28,305000,Carrigrohanebeg,"51.89309917070151, -8.580849757357647",51.89309917070151,-8.580849757357647
48 The Willows Classes Lake ,3,3,2021-07-28,305000,Carrigrohanebeg,"51.89309917070151, -8.580849757357647",51.89309917070151,-8.580849757357647
8 Parknamore Heights ,3,3,2021-07-28,300000,Parknamore,"51.88458744794133, -8.609309161051812",51.88458744794133,-8.609309161051812
22 Cranford Pines ,3,3,2021-07-28,320000,Beech Park,"51.884462825784524, -8.586660730369518",51.884462825784524,-8.586660730369518
22 Cranford Pines ,3,3,2021-07-28,320000,Beech Park,"51.884462825784524, -8.586660730369518",51.884462825784524,-8.586660730369518
The Cottage Coolroe ,3,3,2021-07-28,275000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
11 Rosewood ,3,3,2021-07-28,320000,Rosewood,"51.88865181082447, -8.575978970851866",51.88865181082447,-8.575978970851866
158 An Caislean View ,3,3,2021-07-28,265000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
Clareemmlorr 57 Carriganarra Estate ,3,3,2021-07-28,285000,Carriganarra,"51.88456579585057, -8.579854607281877",51.88456579585057,-8.579854607281877
36 Coolroe Heights ,3,3,2021-07-28,260000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
158 An Caislean View ,3,3,2021-07-28,265000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
95 Caisleé N Grove ,3,3,2021-07-28,240000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
Clareemmlorr 57 Carriganarra Estate ,3,3,2021-07-28,300000,Carriganarra,"51.88456579585057, -8.579854607281877",51.88456579585057,-8.579854607281877
95 An Caislean ,3,3,2021-07-28,240000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
41 Millers Court Old Quarter ,3,3,2021-07-28,380000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
98 Leslies Arch Old Quarter ,3,3,2021-07-28,350000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
108 An Caislean ,3,3,2021-07-28,290000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
Benamara 8 Wyndham Downs ,3,3,2021-07-28,385000,Wyndham Downs,"51.88594295587414, -8.620296147557605",51.88594295587414,-8.620296147557605
57 Church View ,3,3,2021-07-28,295000,Town Center,"51.8878563321983, -8.600737381727024",51.8878563321983,-8.600737381727024
63 The Cloisters ,3,3,2021-07-28,325000,The Cloisters,"51.88453436126935, -8.578108099687265",51.88453436126935,-8.578108099687265
Rozel 165 Beech Park ,3,3,2021-07-28,330000,Beech Park,"51.884462825784524, -8.586660730369518",51.884462825784524,-8.586660730369518
20 Parknamore Rise ,3,3,2021-07-28,260000,Parknamore,"51.88458744794133, -8.609309161051812",51.88458744794133,-8.609309161051812
10 Parknamore Rise ,4,3,2021-07-28,285000,Parknamore,"51.88458744794133, -8.609309161051812",51.88458744794133,-8.609309161051812
Farran Ovens ,4,3,2021-07-28,325000,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
167 Rosewood ,4,3,2021-07-28,325000,Rosewood,"51.88865181082447, -8.575978970851866",51.88865181082447,-8.575978970851866
203 Rosewood ,4,3,2021-07-28,240000,Rosewood,"51.88865181082447, -8.575978970851866",51.88865181082447,-8.575978970851866
22 Glincool Gardens ,4,3,2021-07-28,295000,Maglin,"51.88135112776452, -8.59523805920491",51.88135112776452,-8.59523805920491
