area,address,full_address,number,price_sold,date,matcher,year,annual_average_price_difference,lat,long
Old Quarter,Millers Court,"65 Millers Court, Old Quarter",65,399999,2018-07-16,Millers,2018,,51.89114003596089,-8.59633561033392
Fionn Laoi,Woodview,"35 Woodview, Fionn Laoi",35,350000,2018-07-13,Woodview,2018,,51.89295672639931,-8.577244778805012
Fionn Laoi,Woodview,"20 Woodview, Fionn Laoi",20,330000,2018-07-12,Woodview,2018,,51.89295672639931,-8.577244778805012
Maglin,Maglin View,"9 Maglin View, Maglin",9,386000,2018-07-11,Maglin,2018,-0.06349206349206349,51.88135112776452,-8.59523805920491
Classis Lake,The Abbey,"28 The Abbey, Classis Lake",28,220000,2018-07-10,Abbey,2018,,51.88586099008718,-8.62822296864587
Old Quarter,Coopers Grange,"129 Coopers Grange, Old Quarter",129,395000,2018-07-06,Coopers,2018,,51.89114003596089,-8.59633561033392
The Cloisters,The Cloisters,"63 The Cloisters, The Cloisters",63,280000,2018-07-06,Cloisters,2018,-0.13846153846153847,51.88453436126935,-8.578108099687265
Coolroe,Coolroe Court,"4 Coolroe Court, Coolroe",4,450775,2018-07-05,Coolroe,2018,,51.885279789132504,-8.622716969745719
The Maltings,Granary Court,"21 Granary Court, The Maltings",21,200000,2018-07-04,Granary,2018,,51.88503727921537,-8.591352822622822
Fionn Laoi,Woodview,"29 Woodview, Fionn Laoi",29,330000,2018-06-28,Woodview,2018,,51.89295672639931,-8.577244778805012
Fionn Laoi,Woodview,"26 Woodview, Fionn Laoi",26,330000,2018-06-26,Woodview,2018,,51.89295672639931,-8.577244778805012
Muskerry Estate,Maple Lawn,"79 Maple Lawn, Muskerry Estate",79,335000,2018-06-12,Maple,2018,,51.885514844369936,-8.596310161258103
Old Quarter,Millers Court,"109 Millers Court, Old Quarter",109,460000,2018-06-11,Millers,2018,,51.89114003596089,-8.59633561033392
Steeplewoods,Steeplewoods,"1 Steeplewoods, Steeplewoods",1,896650,2018-06-05,Steeplewoods,2018,,51.88978058994379,-8.565944853663783
Old Quarter,Millers Court,"110 Millers Court, Old Quarter",110,620000,2018-06-01,Millers,2018,,51.89114003596089,-8.59633561033392
Coolroe,The Lawn,"79 The Lawn, Coolroe",79,320000,2018-05-31,Lawn,2018,,51.885279789132504,-8.622716969745719
The Cloisters,The Cloisters,"41 The Cloisters, The Cloisters",41,265000,2018-05-30,Cloisters,2018,-0.13846153846153847,51.88453436126935,-8.578108099687265
The Crescent,The Crescent,"13 The Crescent, The Crescent",13,126571,2018-05-29,Crescent,2018,,51.88974689003794,-8.592724974545812
Wyndham Downs,The Grove Wyndham Downs,"22 The Grove Wyndham Downs, Wyndham Downs",22,287000,2018-05-25,Grove,2018,,51.88594295587414,-8.620296147557605
Highfield Park,The Square,"26 The Square, Highfield Park",26,251000,2018-05-25,Square,2018,,51.88438631124541,-8.574891410855766
An Caislean,Tara An Caislan,"14 Tara An Caislan, An Caislean",14,220000,2018-05-24,Tara,2018,,51.88419579207018,-8.604721941977742
Old Quarter,Millers Court,"10 Millers Court, Old Quarter",10,250000,2018-05-22,Millers,2018,,51.89114003596089,-8.59633561033392
Carrigrohanebeg,The Willows,"201 The Willows, Carrigrohanebeg",201,223000,2018-05-17,Willows,2018,,51.89309917070151,-8.580849757357647
Old Quarter,Millers Court,"66 Millers Court, Old Quarter",66,385000,2018-05-16,Millers,2018,,51.89114003596089,-8.59633561033392
Old Quarter,Millers Court,"15 Millers Court, Old Quarter",15,258000,2018-05-14,Millers,2018,,51.89114003596089,-8.59633561033392
Parknamore,Parknamore,"11 Parknamore, Parknamore",11,280000,2018-04-30,Parknamore,2018,,51.88458744794133,-8.609309161051812
Powdermills,Mill Range,"15 Mill Range, Powdermills",15,230000,2018-04-26,Mill,2018,,51.89225015549648,-8.586096438526356
Maglin,Glincool Crescent,"15 Glincool Crescent, Maglin",15,295000,2018-04-23,Glincool,2018,-0.06349206349206349,51.88135112776452,-8.59523805920491
An Caislean,An Caislean,"112 An Caislean, An Caislean",112,266000,2018-04-20,Caislean,2018,,51.88419579207018,-8.604721941977742
Daffodil Fields,Daffodil Fields,"45 Daffodil Fields, Daffodil Fields",45,355000,2018-04-20,Daffodil,2018,,51.89114262893351,-8.573402430369397
Town Center,Tus Abhaile,"3 Tus Abhaile, Town Center",3,203500,2018-04-19,Tus,2018,,51.8878563321983,-8.600737381727024
Old Quarter,Millers Court,"67 Millers Court, Old Quarter",67,385000,2018-04-19,Millers,2018,,51.89114003596089,-8.59633561033392
Classis Lake,Oak Avenue,"10 Oak Avenue, Classis Lake",10,245000,2018-04-18,Oak,2018,,51.88586099008718,-8.62822296864587
Old Quarter,Millers Court,"70 Millers Court, Old Quarter",70,385000,2018-04-18,Millers,2018,,51.89114003596089,-8.59633561033392
Old Quarter,Leslies Arch,"2 Leslies Arch, Old Quarter",2,467620,2018-04-11,Leslies,2018,,51.89114003596089,-8.59633561033392
Old Quarter,Coopers Grange,"82 Coopers Grange, Old Quarter",82,339000,2018-04-06,Coopers,2018,,51.89114003596089,-8.59633561033392
Coolroe,Coolroe Heights,"33 Coolroe Heights, Coolroe",33,252000,2018-04-05,Coolroe,2018,,51.885279789132504,-8.622716969745719
The Maltings,Distillery Court,"27 Distillery Court, The Maltings",27,210000,2018-04-04,Distillery,2018,,51.88503727921537,-8.591352822622822
Old Quarter,Millers Court,"68 Millers Court, Old Quarter",68,335000,2018-04-04,Millers,2018,,51.89114003596089,-8.59633561033392
Old Quarter,Millers Court,"69 Millers Court, Old Quarter",69,380225,2018-04-03,Millers,2018,,51.89114003596089,-8.59633561033392
Old Quarter,Coopers Grange,"108 Coopers Grange, Old Quarter",108,465000,2018-03-29,Coopers,2018,,51.89114003596089,-8.59633561033392
Maglin,Glincool Crescent,"9 Glincool Crescent, Maglin",9,310000,2018-03-28,Glincool,2018,-0.06349206349206349,51.88135112776452,-8.59523805920491
Daffodil Fields,Daffodil Fields,"25 Daffodil Fields, Daffodil Fields",25,470000,2018-03-28,Daffodil,2018,,51.89114262893351,-8.573402430369397
