area,address,number,price,date,property_type,full_address,lat,long
Coolroe,The Stables,14,330000,2018-07-20,Second-Hand,"14 The Stables, Coolroe",51.885279789132504,-8.622716969745719
Muskerry Estate,Castle Avenue,26,290000,2018-07-20,Second-Hand,"26 Castle Avenue, Muskerry Estate",51.885514844369936,-8.596310161258103
Old Quarter,Millers Court,65,399999,2018-07-16,New Build,"65 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Fionn Laoi,Woodview,35,350000,2018-07-13,New Build,"35 Woodview, Fionn Laoi",51.89295672639931,-8.577244778805012
Fionn Laoi,Woodview,20,330000,2018-07-12,New Build,"20 Woodview, Fionn Laoi",51.89295672639931,-8.577244778805012
Maglin,Maglin View,9,386000,2018-07-11,Second-Hand,"9 Maglin View, Maglin",51.88128516801954,-8.59394691502851
Classis Lake,The Abbey,28,220000,2018-07-10,Second-Hand,"28 The Abbey, Classis Lake",51.88586099008718,-8.62822296864587
Old Quarter,Coopers Grange,129,395000,2018-07-06,Second-Hand,"129 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
The Cloisters,The Cloisters,63,280000,2018-07-06,Second-Hand,"63 The Cloisters, The Cloisters",51.88453436126935,-8.578108099687265
Coolroe,Coolroe Court,4,450775,2018-07-05,New Build,"4 Coolroe Court, Coolroe",51.885279789132504,-8.622716969745719
The Maltings,Granary Court,21,200000,2018-07-04,Second-Hand,"21 Granary Court, The Maltings",51.88503727921537,-8.591352822622822
Fionn Laoi,Woodview,29,330000,2018-06-28,New Build,"29 Woodview, Fionn Laoi",51.89295672639931,-8.577244778805012
Fionn Laoi,Woodview,26,330000,2018-06-26,New Build,"26 Woodview, Fionn Laoi",51.89295672639931,-8.577244778805012
Muskerry Estate,Maple Lawn,79,335000,2018-06-12,Second-Hand,"79 Maple Lawn, Muskerry Estate",51.885514844369936,-8.596310161258103
Old Quarter,Millers Court,109,460000,2018-06-11,New Build,"109 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Steeplewoods,Steeplewoods,1,896650,2018-06-05,New Build,"1 Steeplewoods, Steeplewoods",51.88978058994379,-8.565944853663783
Old Quarter,Millers Court,110,620000,2018-06-01,New Build,"110 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Coolroe,The Lawn,79,320000,2018-05-31,Second-Hand,"79 The Lawn, Coolroe",51.885279789132504,-8.622716969745719
The Cloisters,The Cloisters,41,265000,2018-05-30,Second-Hand,"41 The Cloisters, The Cloisters",51.88453436126935,-8.578108099687265
The Crescent,The Crescent,13,126571,2018-05-29,Second-Hand,"13 The Crescent, The Crescent",51.88974689003794,-8.592724974545812
Wyndham Downs,The Grove Wyndham Downs,22,287000,2018-05-25,Second-Hand,"22 The Grove Wyndham Downs, Wyndham Downs",51.88594295587414,-8.620296147557605
Highfield Park,The Square,26,251000,2018-05-25,Second-Hand,"26 The Square, Highfield Park",51.88438631124541,-8.574891410855766
An Caislean,Tara An Caislan,14,220000,2018-05-24,Second-Hand,"14 Tara An Caislan, An Caislean",51.88419579207018,-8.604721941977742
Old Quarter,Millers Court,10,250000,2018-05-22,Second-Hand,"10 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Carrigrohanebeg,The Willows,201,223000,2018-05-17,Second-Hand,"201 The Willows, Carrigrohanebeg",51.89309917070151,-8.580849757357647
Old Quarter,Millers Court,66,385000,2018-05-16,New Build,"66 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Old Quarter,Millers Court,15,258000,2018-05-14,Second-Hand,"15 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Parknamore,Parknamore,11,280000,2018-04-30,Second-Hand,"11 Parknamore, Parknamore",51.88458744794133,-8.609309161051812
Powdermills,Mill Range,15,230000,2018-04-26,Second-Hand,"15 Mill Range, Powdermills",51.89225015549648,-8.586096438526356
Maglin,Glincool Crescent,15,295000,2018-04-23,Second-Hand,"15 Glincool Crescent, Maglin",51.88128516801954,-8.59394691502851
An Caislean,An Caislean,112,266000,2018-04-20,Second-Hand,"112 An Caislean, An Caislean",51.88419579207018,-8.604721941977742
Daffodil Fields,Daffodil Fields,45,355000,2018-04-20,Second-Hand,"45 Daffodil Fields, Daffodil Fields",51.89114262893351,-8.573402430369397
Town Center,Tus Abhaile,3,203500,2018-04-19,Second-Hand,"3 Tus Abhaile, Town Center",51.8878563321983,-8.600737381727024
Old Quarter,Millers Court,67,385000,2018-04-19,New Build,"67 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Classis Lake,Oak Avenue,10,245000,2018-04-18,Second-Hand,"10 Oak Avenue, Classis Lake",51.88586099008718,-8.62822296864587
Old Quarter,Millers Court,70,385000,2018-04-18,New Build,"70 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Old Quarter,Leslies Arch,2,467620,2018-04-11,New Build,"2 Leslies Arch, Old Quarter",51.89114003596089,-8.59633561033392
Old Quarter,Coopers Grange,82,339000,2018-04-06,Second-Hand,"82 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Coolroe,Coolroe Heights,33,252000,2018-04-05,Second-Hand,"33 Coolroe Heights, Coolroe",51.885279789132504,-8.622716969745719
The Maltings,Distillery Court,27,210000,2018-04-04,Second-Hand,"27 Distillery Court, The Maltings",51.88503727921537,-8.591352822622822
Old Quarter,Millers Court,68,335000,2018-04-04,New Build,"68 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Old Quarter,Millers Court,69,380225,2018-04-03,New Build,"69 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Old Quarter,Coopers Grange,108,465000,2018-03-29,Second-Hand,"108 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Maglin,Glincool Crescent,9,310000,2018-03-28,Second-Hand,"9 Glincool Crescent, Maglin",51.88128516801954,-8.59394691502851
Daffodil Fields,Daffodil Fields,25,470000,2018-03-28,Second-Hand,"25 Daffodil Fields, Daffodil Fields",51.89114262893351,-8.573402430369397
Old Quarter,Coopers Grange,10,280000,2018-03-26,Second-Hand,"10 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Old Quarter,Millers Court,71,384820,2018-03-22,New Build,"71 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Old Quarter,Leslies Arch Old Quarter,18,190000,2018-03-18,Second-Hand,"18 Leslies Arch Old Quarter, Old Quarter",51.89114003596089,-8.59633561033392
Aylsbury,Aylsbury Avenue,14,345000,2018-03-16,Second-Hand,"14 Aylsbury Avenue, Aylsbury",51.88284449037205,-8.620440916875388
Classis Lake,Oak Drive,13,280000,2018-11-26,Second-Hand,"13 Oak Drive, Classis Lake",51.88586099008718,-8.62822296864587
Carrigrohane,Father Sexton Place,10,130000,2018-11-20,Second-Hand,"10 Father Sexton Place, Carrigrohane",51.89118108080445,-8.570433423222292
Fionn Laoi,Woodview,18,400000,2018-11-19,New Build,"18 Woodview, Fionn Laoi",51.89295672639931,-8.577244778805012
Fionn Laoi,Woodview Fionn Laoi,4,340000,2018-11-16,New Build,"4 Woodview Fionn Laoi, Fionn Laoi",51.89295672639931,-8.577244778805012
Old Quarter,Millers Court,47,376000,2018-11-08,Second-Hand,"47 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Coolroe,The Lawn,2,277500,2018-11-08,Second-Hand,"2 The Lawn, Coolroe",51.885279789132504,-8.622716969745719
Maglin,Clincool Gardens,21,320000,2018-11-07,Second-Hand,"21 Clincool Gardens, Maglin",51.88128516801954,-8.59394691502851
An Caislean,An Caislean,167,247000,2018-11-06,Second-Hand,"167 An Caislean, An Caislean",51.88419579207018,-8.604721941977742
Powdermills,Powdermill Meadow,5,397250,2018-11-06,New Build,"5 Powdermill Meadow, Powdermills",51.89225015549648,-8.586096438526356
The Crescent,The Crescent,45,260000,2018-11-05,Second-Hand,"45 The Crescent, The Crescent",51.88974689003794,-8.592724974545812
Greenfield,Tuairin Glas,48,250000,2018-11-01,Second-Hand,"48 Tuairin Glas, Greenfield",51.88072634468435,-8.611355403381312
Highfield,Highfield Park,31,230000,2018-10-31,Second-Hand,"31 Highfield Park, Highfield",51.88483134751023,-8.573114016875365
Old Quarter,Millers Court,57,345000,2018-10-31,New Build,"57 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Powdermills,Powdermill Meadow,1,430000,2018-10-26,New Build,"1 Powdermill Meadow, Powdermills",51.89225015549648,-8.586096438526356
Inniscarra View,Whitethorn Drive,19,290000,2018-10-25,Second-Hand,"19 Whitethorn Drive, Inniscarra View",51.88901621244116,-8.572065214668026
Maglin,Glincool Crescent,2,376000,2018-10-22,Second-Hand,"2 Glincool Crescent, Maglin",51.88128516801954,-8.59394691502851
Old Quarter,Leslies Arch,79,375000,2018-10-19,Second-Hand,"79 Leslies Arch, Old Quarter",51.89114003596089,-8.59633561033392
Coolroe,The Avenue,11,425000,2018-10-17,New Build,"11 The Avenue, Coolroe",51.885279789132504,-8.622716969745719
Powdermills,Powdermill Meadows,2,337500,2018-10-17,New Build,"2 Powdermill Meadows, Powdermills",51.89225015549648,-8.586096438526356
Powdermills,Powdermill Meadow,3,337500,2018-10-17,New Build,"3 Powdermill Meadow, Powdermills",51.89225015549648,-8.586096438526356
Old Quarter,Millers Court,56,345000,2018-10-16,New Build,"56 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Old Quarter,Millers Court,58,345000,2018-10-16,New Build,"58 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Classis Lake,The Cedars,29,357000,2018-10-15,Second-Hand,"29 The Cedars, Classis Lake",51.88586099008718,-8.62822296864587
Carrigrohane,Bridgewater,16,435000,2018-10-11,Second-Hand,"16 Bridgewater, Carrigrohane",51.89118108080445,-8.570433423222292
Old Quarter,Millers Court,108,460000,2018-09-27,New Build,"108 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Maglin,Glencool Villas,11,304000,2018-09-27,Second-Hand,"11 Glencool Villas, Maglin",51.88128516801954,-8.59394691502851
Coolroe,The Green,61,111500,2018-09-26,Second-Hand,"61 The Green, Coolroe",51.885279789132504,-8.622716969745719
Classis Lake,The Oaks,23,400000,2021-03-16,Second-Hand,"23 The Oaks, Classis Lake",51.88586099008718,-8.62822296864587
Coolroe,Coolroe Heights,32,282000,2021-03-08,Second-Hand,"32 Coolroe Heights, Coolroe",51.885279789132504,-8.622716969745719
The Quadrants,North East,125,182500,2021-03-02,Second-Hand,"125 North East, The Quadrants",51.8890702782036,-8.589706799326772
Rosewood,Rosewood,9,320000,2021-03-01,Second-Hand,"9 Rosewood, Rosewood",51.88865181082447,-8.575978970851866
Rosewood,Rosewood,10,277000,2021-02-26,Second-Hand,"10 Rosewood, Rosewood",51.88865181082447,-8.575978970851866
Beech Park,Beech Park,69,252500,2021-02-23,Second-Hand,"69 Beech Park, Beech Park",51.884462825784524,-8.586660730369518
Town Center,Church View,43,112500,2021-02-16,Second-Hand,"43 Church View, Town Center",51.8878563321983,-8.600737381727024
Old Quarter,Coopers Grange Old Quarter,58,267000,2018-09-25,Second-Hand,"58 Coopers Grange Old Quarter, Old Quarter",51.89114003596089,-8.59633561033392
Beech Park,Beech Park,67,340000,2018-09-18,Second-Hand,"67 Beech Park, Beech Park",51.884462825784524,-8.586660730369518
Old Quarter,Millers Court,107,465000,2018-09-18,New Build,"107 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Inniscarra View,Hawthorn Avenue,13,257000,2018-09-18,Second-Hand,"13 Hawthorn Avenue, Inniscarra View",51.88901621244116,-8.572065214668026
Leecourt,Leecourt,93,252000,2018-09-06,Second-Hand,"93 Leecourt, Leecourt",51.8915162277775,-8.581342570851831
Old Quarter,Leslies Arch,107,300000,2018-09-03,Second-Hand,"107 Leslies Arch, Old Quarter",51.89114003596089,-8.59633561033392
Maglin,Glincoole Gardens,20,280000,2018-09-03,Second-Hand,"20 Glincoole Gardens, Maglin",51.88128516801954,-8.59394691502851
Coolroe,Coolroe Court,7,422500,2018-08-31,New Build,"7 Coolroe Court, Coolroe",51.885279789132504,-8.622716969745719
Inniscarra View,Whitetholn Avenue,24,310000,2018-08-27,Second-Hand,"24 Whitetholn Avenue, Inniscarra View",51.88901621244116,-8.572065214668026
The Crescent,The Crescent,17,275000,2018-08-24,Second-Hand,"17 The Crescent, The Crescent",51.88974689003794,-8.592724974545812
Old Quarter,Coopers Grange,73,347000,2021-02-15,Second-Hand,"73 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
The Crescent,The Crescent,54,255000,2021-02-09,Second-Hand,"54 The Crescent, The Crescent",51.88974689003794,-8.592724974545812
Westcourt,Westcourt Heights,37,285000,2021-02-05,Second-Hand,"37 Westcourt Heights, Westcourt",51.88681255417706,-8.616295628522487
West Village,The Meadows,9,250000,2021-02-04,Second-Hand,"9 The Meadows, West Village",51.88675485217772,-8.606397553304374
Old Quarter,Leslies Arch,114,280000,2021-02-04,Second-Hand,"114 Leslies Arch, Old Quarter",51.89114003596089,-8.59633561033392
