,address,area,baths,beds,lat,link,long,popularity,price,property_type,size,number,matcher,address_sold,full_address,price_sold,date,price_difference,annual_avg_price_difference
0,106 Millers Court Old Quarter,Old Quarter,2.0,3.0,51.89120011526423,Mitula,-8.597460712163135,0,640000,None,0,106,Millers,Millers Court,"106 Millers Court, Old Quarter",640000.0,2021-05-31,0.0,0.020885362824269477
1,11 The Avenue Coolroe Heights,Coolroe,2.0,3.0,51.8852797891325,Mitula,-8.622716969745719,0,475000,None,0,11,Avenue,The Avenue,"11 The Avenue, Coolroe",425000.0,2018-10-17,-0.10526315789473684,-0.12186234817813765
2,78 Leslies Arch Old Quarter Ballincollig Co Cork P31 N603,Old Quarter,3.0,4.0,51.89120011526423,Mitula,-8.597460712163135,0,440000,None,0,78,Leslies,Leslies Arch,"78 Leslies Arch, Old Quarter",370000.0,2019-08-08,-0.1590909090909091,-0.013652709601293585
3,8 Wyndham Downs,Wyndham Downs,2.0,3.0,51.885942955874135,Mitula,-8.620296147557605,0,385000,None,0,8,Wyndham,Wyndham Downs,"8 Wyndham Downs, Wyndham Downs",395000.0,2021-07-28,0.025974025974025976,0.020885362824269477
4,4 Aylsbury Lawn  Ballincollig  Co. Cork,Aylsbury,3.0,5.0,51.88284449037205,None,-8.620440916875387,0,385000, Detached House,0,4,Aylsbury,Aylsbury Lawn,"4 Aylsbury Lawn, Aylsbury",360000.0,2019-08-12,-0.06493506493506493,-0.013652709601293585
5,28 Waltham Abbey  Old Quarter  Ballincollig  Co. Cork,Old Quarter,3.0,3.0,51.89120011526423,None,-8.597460712163135,0,365000, Semi-Detached House,0,28,Waltham,Waltham Abbey,"28 Waltham Abbey, Old Quarter",344900.0,2021-01-21,-0.05506849315068493,0.020885362824269477
6,28 Waltham Abbey  Old Quarter  Ballincollig  Co. Cork,Old Quarter,3.0,3.0,51.89120011526423,None,-8.597460712163135,0,365000, Semi-Detached House,0,28,Waltham,Waltham Abbey,"28 Waltham Abbey, Old Quarter",339200.0,2019-09-23,-0.07068493150684932,-0.013652709601293585
7,92 The Green  Coolroe Meadows  Ballincollig  Co. Cork,Coolroe,3.0,4.0,51.8852797891325,None,-8.622716969745719,0,350000, Semi-Detached House,0,92,Green,The Green,"92 The Green, Coolroe",330000.0,2019-11-11,-0.05714285714285714,-0.013652709601293585
8,4 Carriganarra  Ballincollig  Co. Cork,Carriganarra,1.0,4.0,51.88456579585057,None,-8.579854607281877,0,350000,Bungalow for sale,0,4,Carriganarra,Carriganarra,"4 Carriganarra, Carriganarra",325000.0,2019-10-30,-0.07142857142857142,-0.013652709601293585
9,69 Coopers Grange Old Quarter,Old Quarter,1.0,3.0,51.89120011526423,Mitula,-8.597460712163135,0,330000,None,0,69,Coopers,Coopers Grange,"69 Coopers Grange, Old Quarter",340000.0,2021-06-03,0.030303030303030304,0.020885362824269477
10,35 The Lawn  Coolroe Meadows  Ballincollig  Co. Cork,Coolroe,3.0,4.0,51.8852797891325,None,-8.622716969745719,0,330000, End of Terrace House,0,35,Lawn,The Lawn,"35 The Lawn, Coolroe",332000.0,2019-07-12,0.006060606060606061,-0.013652709601293585
11,63 The Cloisters,The Cloisters,2.0,3.0,51.88453436126935,Mitula,-8.578108099687265,0,325000,None,0,63,Cloisters,The Cloisters,"63 The Cloisters, The Cloisters",280000.0,2018-07-06,-0.13846153846153847,-0.12186234817813765
12,63 The Cloisters,The Cloisters,2.0,3.0,51.88453436126935,Mitula,-8.578108099687265,0,325000,None,0,63,Cloisters,The Cloisters,"63 The Cloisters, The Cloisters",330000.0,2021-07-08,0.015384615384615385,0.020885362824269477
13,12 Glincool Gardens  Ballincollig  Co. Cork,Maglin,2.0,3.0,51.88135112776452,None,-8.59523805920491,0,325000, Detached House,0,12,Glincool,Glincool Gardens,"12 Glincool Gardens, Maglin",305000.0,2021-01-26,-0.06153846153846154,0.020885362824269477
14,30 Wyndham Downs  Ballincollig  Co. Cork,Wyndham Downs,2.0,3.0,51.885942955874135,None,-8.620296147557605,0,325000,Bungalow for sale,0,30,Wyndham,Wyndham Downs,"30 Wyndham Downs, Wyndham Downs",325000.0,2019-10-02,0.0,-0.013652709601293585
15,21 Aylsbury,Aylsbury,1.0,3.0,51.88284449037205,Mitula,-8.620440916875387,0,320000,None,0,21,Aylsbury,Aylsbury,"21 Aylsbury, Aylsbury",320000.0,2020-03-19,0.0,0.0029641507319180735
16,8 Rosewood  Ballincollig  Co. Cork,Rosewood,2.0,3.0,51.88865181082447,None,-8.575978970851866,0,320000, Semi-Detached House,0,8,Rosewood,Rosewood,"8 Rosewood, Rosewood",306000.0,2019-09-13,-0.04375,-0.013652709601293585
17,11 Glincool Grove  Glincool  Ballincollig  Co. Cork,Maglin,3.0,4.0,51.88135112776452,None,-8.59523805920491,0,310000, Detached House,0,11,Glincool,Glincool Grove,"11 Glincool Grove, Maglin",303000.0,2020-03-18,-0.02258064516129032,0.0029641507319180735
18,11 Glincool Grove  Glincool  Ballincollig  Co. Cork,Maglin,3.0,4.0,51.88135112776452,None,-8.59523805920491,0,310000, Detached House,0,11,Glincool,Glincool Grove,"11 Glincool Grove, Maglin",273000.0,2020-07-28,-0.11935483870967742,0.0029641507319180735
19,32 Coolroe Heights,Coolroe,3.0,3.0,51.8852797891325,Mitula,-8.622716969745719,0,295000,None,0,32,Coolroe,Coolroe Heights,"32 Coolroe Heights, Coolroe",282000.0,2021-03-08,-0.04406779661016949,0.020885362824269477
20,27 Cranford Pines,Beech Park,3.0,3.0,51.88446282578453,Mitula,-8.586660730369518,0,295000,None,0,27,Cranford,Cranford Pines,"27 Cranford Pines, Beech Park",290000.0,2020-11-13,-0.01694915254237288,0.0029641507319180735
