,address,day_count,difference
0,"1 Manor Avenue, Grange Manor, Ovens, Co. Cork",42,-113.0
1,"104 Caisleán Grove, Ballincollig, Co. Cork",42,2054.0
2,"126 Caisleán Way, Ballincollig, Co. Cork",42,6062.0
3,"14 Leemount Terrace, Carrigrohane, Co. Cork",42,1562.0
4,"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",42,-3136.0
5,"15 Glincool Grove, Ballincollig, Co. Cork",42,3846.0
6,"17 Coolroe Heights, Ballincollig, Co. Cork",42,1825.0
7,"17 Manor Lawn, Grange Manor, Ovens, Co. Cork",42,0.0
8,"194 The Willows, Ballincollig, Co. Cork",42,0.0
9,"2 Glendower Court, Ballincollig, Co. Cork",42,-1334.0
10,"2 The Stables, Coolroe, Ballincollig, Co. Cork",42,2656.0
11,"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",42,1829.0
12,"21 Leesdale Drive, Ballincollig, Co. Cork",42,4363.0
13,"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",42,248.0
14,"25 Highfield Square, Ballincollig, Co. Cork",42,823.0
15,"25 Innishmore Drive, Ballincollig, Co. Cork",42,0.0
16,"36 Castlepark, Ballincollig, Co. Cork",42,-3797.0
17,"36 Westcourt Heights, Ballincollig, Co. Cork",42,-5030.0
18,"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",42,-2570.0
19,"43 The Close, Coolroe Meadows, Ballincollig, Co. Cork",42,2605.0
20,"46 Oaklands, Ballincollig, Co. Cork",42,2647.0
21,"5 Farran View Cottages, Clashanure, Ovens, Co. Cork",42,-47984.0
22,"50 Old Court, Greenfields, Ballincollig, Co. Cork",42,739.0
23,"50 The Cloisters, Ballincollig, Co. Cork",42,2218.0
24,"58 Westcourt Heights, Ballincollig, Co. Cork",42,1232.0
25,"7 The Stables, Coolroe, Ballincollig, Co. Cork",42,6234.0
26,"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",42,-3203.0
27,"8 Manor Grove, Grange Manor, Ovens, Co. Cork",42,1120.0
28,"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",42,-2112.0
29,"9 Highfield Crescent, Ballincollig, Co. Cork",42,957.0
30,"9 Rosewood, Ballincollig, Co. Cork",42,2384.0
31,"92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",42,249.0
32,"94 Castlepark, Ballincollig, Co. Cork",42,0.0
33,"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",42,-2589.0
34,"Farran Ovens, Ballincollig, Co. Cork",42,2359.0
35,"Fatima, Poulavone, Ballincollig, Co. Cork",42,1364.0
36,"Padua, 10 Glincool Park, Ballincollig, Co. Cork",42,2148.0
37,"The Bungalow, Coolroe, Ballincollig, Co. Cork",42,654.0
38,"Vesna, 57 Rosewood, Ballincollig, Co. Cork",42,-5502.0
