area,address,number,price,date,size,transaction_type,full_address,lat,long
Maglin,"15 Limeworth, Ballincollig",15,745000,2010-01-11,1-38 m2,second-hand,"15 15 Limeworth, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
Old Quarter,"111 Coopers Grange, Old Quarter, Ballincollig",111,358590,2010-01-14,125-1000 m2,new,"111 111 Coopers Grange, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Shalimar Court,"Apartment 3, Shalimar Court, Ballincollig",,265000,2010-01-18,38-125 m2,new," Apartment 3, Shalimar Court, Ballincollig, Shalimar Court",51.88896130535807,-8.578969730369383
Church View,"23, Oaklands, Ballincollig",23,200000,2010-01-20,1-38 m2,second-hand,"23 23, Oaklands, Ballincollig, Church View",51.88549636879165,-8.592625889887055
Westcourt,"37 Westcourt Heights, Ballincollig",37,230000,2010-02-19,1-38 m2,second-hand,"37 37 Westcourt Heights, Ballincollig, Westcourt",51.88681255417706,-8.616295628522487
Church View,"2 Churchview, Ballincollig",2,250000,2010-02-25,1-38 m2,second-hand,"2 2 Churchview, Ballincollig, Church View",51.88549636879165,-8.592625889887055
Fionn Laoi,"27 Riversedge, Fionn Laoi, Ballincollig",27,275000,2010-02-26,38-125 m2,new,"27 27 Riversedge, Fionn Laoi, Ballincollig, Fionn Laoi",51.89295672639931,-8.577244778805012
Carrigrohane,"12 The Crescent, Highfield Park, Carrigrohane",12,263436,2010-03-01,38-125 m2,new,"12 12 The Crescent, Highfield Park, Carrigrohane, Carrigrohane",51.89118108080445,-8.570433423222292
The Quadrants,"168 The Quadrants, Ballincollig",168,170000,2010-03-01,38-125 m2,new,"168 168 The Quadrants, Ballincollig, The Quadrants",51.8890702782036,-8.589706799326772
Shalimar Court,"Apt. 4 Shalimar Court, Pulavone, Ballincollig",Apt.,251101,2010-03-11,125-1000 m2,new,"Apt. Apt. 4 Shalimar Court, Pulavone, Ballincollig, Shalimar Court",51.88896130535807,-8.578969730369383
Fionn Laoi,"14 Rivers Court, Fionn Laoi, Ballincollig",14,202000,2010-03-12,38-125 m2,new,"14 14 Rivers Court, Fionn Laoi, Ballincollig, Fionn Laoi",51.89295672639931,-8.577244778805012
Maglin,"33 Limeworth, Carriganarra, Ballincollig",33,715000,2010-03-12,125-1000 m2,new,"33 33 Limeworth, Carriganarra, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
Fionn Laoi,"29 Riversedge, Fionn Laoi, Ballincollig",29,280000,2010-03-18,38-125 m2,new,"29 29 Riversedge, Fionn Laoi, Ballincollig, Fionn Laoi",51.89295672639931,-8.577244778805012
Coolroe Heights,"4 Avon Court, Ballincollig",4,295000,2010-03-23,1-38 m2,second-hand,"4 4 Avon Court, Ballincollig, Coolroe Heights",51.8915162277775,-8.581342570851831
The Cloisters,"11 The Cloisters, Ballincollig",11,240000,2010-03-26,1-38 m2,second-hand,"11 11 The Cloisters, Ballincollig, The Cloisters",51.88453436126935,-8.578108099687265
