brand,file_type,counter_dict,year,month,week,module_link,budget,module_title,phase_title
Stellaris,Orbit,"{'0': 52, '1': 43, '2': 28, '3': 5, '4': 19, '5': 12, '6': 16, '7': 2, '8': 8, '9': 12, 'a': 169, 'b': 38, 'c': 100, 'd': 74, 'e': 277, 'f': 30, 'g': 61, 'h': 111, 'i': 171, 'j': 0, 'k': 19, 'l': 142, 'm': 37, 'n': 148, 'o': 173, 'p': 58, 'q': 0, 'r': 173, 's': 151, 't': 225, 'u': 61, 'v': 9, 'w': 20, 'x': 23, 'y': 6, 'z': 1}",2020,3,10,nptkjzpwjqjttxtw,2474,Gascogine-12,YR-62 Gascogine-12
FusionWave,Orbit,"{'0': 1029, '1': 413, '2': 321, '3': 228, '4': 218, '5': 446, '6': 172, '7': 138, '8': 134, '9': 137, 'a': 758, 'b': 149, 'c': 455, 'd': 352, 'e': 1327, 'f': 177, 'g': 254, 'h': 388, 'i': 867, 'j': 2, 'k': 45, 'l': 624, 'm': 371, 'n': 740, 'o': 875, 'p': 528, 'q': 50, 'r': 760, 's': 853, 't': 825, 'u': 254, 'v': 64, 'w': 138, 'x': 24, 'y': 201, 'z': 167}",2020,3,10,xlrljhrzkhnw,14484,Base Module,VI-25 Base Module
Stellaris,Orbit,"{'0': 14, '1': 24, '2': 14, '3': 13, '4': 11, '5': 6, '6': 6, '7': 4, '8': 5, '9': 3, 'a': 67, 'b': 9, 'c': 28, 'd': 26, 'e': 58, 'f': 12, 'g': 23, 'h': 9, 'i': 41, 'j': 5, 'k': 8, 'l': 42, 'm': 39, 'n': 62, 'o': 63, 'p': 35, 'q': 0, 'r': 63, 's': 24, 't': 50, 'u': 13, 'v': 8, 'w': 25, 'x': 7, 'y': 2, 'z': 0}",2020,3,10,psjtzrlpprw,819,External Tank,VT-46 External Tank
Stellaris,Orbit,"{'0': 92, '1': 43, '2': 37, '3': 32, '4': 30, '5': 9, '6': 20, '7': 8, '8': 6, '9': 8, 'a': 230, 'b': 22, 'c': 175, 'd': 116, 'e': 462, 'f': 38, 'g': 44, 'h': 51, 'i': 279, 'j': 9, 'k': 40, 'l': 147, 'm': 118, 'n': 236, 'o': 202, 'p': 60, 'q': 20, 'r': 255, 's': 242, 't': 291, 'u': 94, 'v': 56, 'w': 12, 'x': 8, 'y': 33, 'z': 24}",2020,3,10,wqqnpjqvxztjw,3549,Base Module,YW-63 Base Module
Stellaris,Orbit,"{'0': 69, '1': 50, '2': 27, '3': 24, '4': 21, '5': 23, '6': 19, '7': 10, '8': 21, '9': 18, 'a': 172, 'b': 44, 'c': 107, 'd': 63, 'e': 236, 'f': 30, 'g': 35, 'h': 68, 'i': 132, 'j': 1, 'k': 21, 'l': 115, 'm': 80, 'n': 137, 'o': 165, 'p': 67, 'q': 8, 'r': 121, 's': 111, 't': 213, 'u': 60, 'v': 12, 'w': 45, 'x': 11, 'y': 15, 'z': 5}",2020,3,10,srrrxkxvqq,2356,Gascogine-12,XT-45 Gascogine-12
Stellaris,Orbit,"{'0': 14, '1': 26, '2': 50, '3': 9, '4': 9, '5': 27, '6': 8, '7': 3, '8': 6, '9': 2, 'a': 326, 'b': 36, 'c': 174, 'd': 170, 'e': 425, 'f': 92, 'g': 76, 'h': 109, 'i': 282, 'j': 1, 'k': 44, 'l': 162, 'm': 74, 'n': 234, 'o': 267, 'p': 191, 'q': 26, 'r': 217, 's': 170, 't': 306, 'u': 131, 'v': 47, 'w': 37, 'x': 23, 'y': 31, 'z': 24}",2020,3,10,lxhttthjxk,3829,External Tank,VS-63 External Tank
Stellaris,Orbit,"{'0': 4, '1': 4, '2': 6, '3': 1, '4': 1, '5': 1, '6': 1, '7': 0, '8': 1, '9': 0, 'a': 50, 'b': 16, 'c': 25, 'd': 30, 'e': 62, 'f': 26, 'g': 12, 'h': 8, 'i': 32, 'j': 0, 'k': 1, 'l': 44, 'm': 4, 'n': 24, 'o': 52, 'p': 17, 'q': 0, 'r': 31, 's': 16, 't': 47, 'u': 6, 'v': 6, 'w': 1, 'x': 0, 'y': 4, 'z': 3}",2020,3,10,qtvmkxmpjxhtpw,536,Gascogine-12,TV-43 Gascogine-12
Stellaris,Orbit,"{'0': 5, '1': 8, '2': 8, '3': 2, '4': 1, '5': 1, '6': 4, '7': 1, '8': 2, '9': 3, 'a': 72, 'b': 16, 'c': 51, 'd': 47, 'e': 122, 'f': 22, 'g': 27, 'h': 25, 'i': 80, 'j': 0, 'k': 14, 'l': 53, 'm': 21, 'n': 88, 'o': 104, 'p': 29, 'q': 0, 'r': 74, 's': 53, 't': 97, 'u': 38, 'v': 20, 'w': 4, 'x': 8, 'y': 4, 'z': 6}",2020,3,10,mtvshwnz,1110,Gascogine-12,TS-42 Gascogine-12
Stellaris,Orbit,"{'0': 96, '1': 104, '2': 72, '3': 45, '4': 38, '5': 49, '6': 29, '7': 13, '8': 8, '9': 13, 'a': 244, 'b': 28, 'c': 186, 'd': 135, 'e': 557, 'f': 53, 'g': 55, 'h': 69, 'i': 309, 'j': 7, 'k': 42, 'l': 138, 'm': 114, 'n': 270, 'o': 229, 'p': 67, 'q': 31, 'r': 295, 's': 259, 't': 304, 'u': 126, 'v': 68, 'w': 13, 'x': 8, 'y': 31, 'z': 19}",2020,3,10,sqmlqtslmjqq,4124,Base Module,YY-54 Base Module
FusionWave,Orbit,"{'0': 10, '1': 34, '2': 13, '3': 11, '4': 13, '5': 16, '6': 16, '7': 5, '8': 11, '9': 13, 'a': 336, 'b': 85, 'c': 196, 'd': 215, 'e': 664, 'f': 109, 'g': 102, 'h': 238, 'i': 361, 'j': 11, 'k': 70, 'l': 229, 'm': 81, 'n': 421, 'o': 435, 'p': 200, 'q': 15, 'r': 317, 's': 264, 't': 445, 'u': 160, 'v': 52, 'w': 76, 'x': 6, 'y': 94, 'z': 0}",2020,3,10,jqllqlzjllnk,5324,External Tank,TX-41 External Tank
