brand,file_type,counter_dict,year,month,week,module_link,budget,module_title,phase_title
ModuleX,Ground,"{'e': 98, 'o': 89, 't': 89, 'n': 78, 's': 77, 'a': 74, 'i': 72, 'd': 58, 'w': 47, 'l': 47, 'r': 43, 'c': 35, 'u': 34, 'p': 31, 'h': 30, 'f': 27, '1': 20, 'm': 17, 'g': 17, 'b': 13, 'k': 11, '8': 7, 'y': 7, '3': 5, '4': 5, '2': 5, '7': 4, 'v': 3, '0': 2, 'x': 2, '5': 1, '6': 0, 'q': 0, 'z': 0, 'j': 0, '9': 0}",2020,3,11,xtsskxmvwq,1048,Gascogine-12,XX-55 Gascogine-12
ModuleX,Ground,"{'e': 293, 't': 278, 'r': 217, 's': 212, 'o': 202, 'a': 200, 'n': 166, 'i': 155, 'l': 111, 'c': 104, 'h': 80, 'u': 77, 'd': 69, 'p': 63, 'f': 61, 'w': 49, 'm': 49, 'b': 47, 'y': 33, 'g': 32, 'v': 30, 'q': 25, 'k': 9, 'j': 7, '0': 5, '1': 3, '3': 2, '4': 2, 'x': 2, 'z': 1, '6': 0, '8': 0, '2': 0, '7': 0, '9': 0, '5': 0}",2020,3,11,mstrmmhlsjvsq,2584,Gascogine-12,TH-16 Gascogine-12
ModuleX,Ground,"{'e': 212, 't': 187, 'o': 141, 'r': 133, 'n': 130, 's': 124, 'a': 122, 'i': 112, 'd': 69, 'c': 67, 'm': 63, 'l': 62, 'w': 54, 'h': 53, 'p': 52, 'f': 48, 'u': 43, 'g': 18, 'k': 17, 'y': 16, '3': 10, '0': 9, 'v': 8, 'b': 7, 'x': 7, '5': 6, '1': 5, 'q': 2, '2': 2, '4': 0, '6': 0, '8': 0, 'z': 0, '7': 0, 'j': 0, '9': 0}",2020,3,11,nnwqzpxrwvmxklq,1779,Gascogine-12,TX-23 Gascogine-12
ModuleX,Ground,"{'e': 109, 't': 81, 'i': 77, 'o': 55, 'c': 51, 'r': 45, 'n': 45, 's': 45, 'd': 44, 'l': 44, 'a': 38, 'u': 23, 'f': 21, 'h': 20, 'v': 15, 'p': 15, 'w': 12, 'y': 12, 'm': 11, 'k': 11, 'g': 10, 'b': 3, 'x': 3, 'z': 2, '2': 1, '1': 1, 'j': 1, '3': 0, '4': 0, '6': 0, '8': 0, '0': 0, 'q': 0, '7': 0, '9': 0, '5': 0}",2020,3,11,tqttjmpsh,795,Gascogine-12,RS-66 Gascogine-12
ModuleX,Ground,"{'e': 265, 't': 193, 'n': 176, 'o': 174, 'i': 153, 'r': 153, 'a': 138, 'l': 130, 's': 128, 'c': 122, 'd': 113, 'p': 111, 'w': 88, 'u': 79, 'h': 63, 'f': 58, 'b': 37, '1': 35, 'm': 33, '8': 28, '3': 24, 'g': 22, 'y': 21, '4': 19, '5': 17, 'k': 16, '2': 16, '6': 15, '9': 15, 'v': 12, '0': 12, '7': 7, 'x': 6, 'z': 4, 'q': 2, 'j': 0}",2020,3,11,vjnnrhmrnskm,2485,Gascogine-12,HV-13 Gascogine-12
ModuleX,Ground,"{'e': 97, 't': 70, 'i': 62, 'n': 61, 'a': 54, 'o': 51, 's': 41, 'r': 38, 'c': 35, 'l': 35, 'h': 25, 'd': 21, 'm': 21, 'p': 20, 'u': 15, 'g': 15, 'w': 14, 'f': 13, 'y': 8, 'v': 7, 'k': 4, '0': 4, 'b': 4, '3': 2, '2': 2, '1': 2, '7': 2, '4': 1, '9': 1, '5': 1, '6': 0, '8': 0, 'q': 0, 'x': 0, 'z': 0, 'j': 0}",2020,3,11,pnhvsmvvvt,726,Gascogine-12,IT-64 Gascogine-12
ModuleX,Ground,"{'e': 142, 't': 123, 'o': 121, 'r': 104, 's': 101, 'n': 93, 'i': 90, 'a': 84, 'd': 59, 'w': 51, 'l': 41, 'c': 40, 'p': 40, 'h': 39, 'f': 35, 'm': 34, 'u': 34, 'y': 17, 'g': 15, 'k': 14, 'b': 14, 'v': 12, '8': 9, '1': 9, 'q': 4, '5': 4, '4': 3, 'x': 3, '3': 2, '6': 1, '7': 1, '0': 0, '2': 0, 'z': 0, 'j': 0, '9': 0}",2020,3,11,zvszxkhslsq,1339,Gascogine-12,WW-45 Gascogine-12
ModuleX,Ground,"{'w': 14, 'i': 13, 'o': 11, 'n': 11, 's': 9, 'd': 7, 'r': 6, 'f': 6, 'e': 6, 'a': 5, 't': 5, 'g': 4, 'l': 4, 'h': 3, 'u': 3, '1': 3, 'c': 2, '8': 2, 'k': 1, '0': 1, 'b': 1, '7': 1, '3': 0, '4': 0, 'm': 0, '6': 0, 'v': 0, 'q': 0, '2': 0, 'x': 0, 'z': 0, 'y': 0, 'j': 0, 'p': 0, '9': 0, '5': 0}",2020,3,11,mhrvmvxzvvw,118,Gascogine-12,VR-15 Gascogine-12
ModuleX,Ground,"{'e': 216, 't': 183, 'o': 137, 'r': 136, 'n': 127, 's': 124, 'a': 121, 'i': 110, 'd': 69, 'c': 67, 'm': 63, 'l': 59, 'w': 54, 'h': 53, 'p': 52, 'f': 49, 'u': 42, 'g': 18, 'k': 17, 'y': 16, '3': 10, 'v': 8, 'x': 7, 'b': 6, '5': 6, '8': 5, '0': 4, '1': 4, 'q': 2, '2': 2, '4': 0, '6': 0, 'z': 0, '7': 0, 'j': 0, '9': 0}",2020,3,11,qxzmqrplqzp,1767,Gascogine-12,VH-21 Gascogine-12
ModuleX,Ground,"{'n': 6, 'e': 6, 'a': 6, 's': 5, 't': 5, 'i': 3, 'b': 3, 'g': 2, 'l': 2, 'p': 2, 'h': 1, 'u': 1, 'k': 1, 'o': 1, '3': 0, '4': 0, 'w': 0, 'd': 0, 'm': 0, '6': 0, 'c': 0, 'v': 0, 'r': 0, '8': 0, '0': 0, 'q': 0, '2': 0, 'f': 0, '1': 0, 'x': 0, 'z': 0, 'y': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2020,3,11,wntjvwtlw,44,Gascogine-12,XY-54 Gascogine-12
