brand,file_type,counter_dict,year,month,week,module_link,budget,module_title,phase_title
ModuleX,Ground,"{'t': 23, 'o': 20, 'e': 20, 'n': 17, 's': 16, 'a': 14, 'r': 12, 'i': 11, 'p': 8, 'l': 7, 'w': 6, 'c': 6, 'f': 6, 'd': 5, 'h': 5, 'm': 5, 'u': 5, 'y': 4, 'v': 3, 'g': 3, 'b': 3, '3': 0, '4': 0, '6': 0, '8': 0, 'k': 0, '0': 0, 'q': 0, '2': 0, '1': 0, 'x': 0, 'z': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2020,3,12,ssntmwq,199,Gascogine-12,WX-65 Gascogine-12
ModuleX,Ground,"{'e': 57, 't': 44, 's': 43, 'a': 41, 'r': 39, 'c': 36, 'o': 36, 'n': 34, 'i': 33, 'h': 22, 'f': 19, 'd': 15, 'l': 14, 'p': 13, 'u': 12, 'm': 9, 'y': 9, 'k': 8, 'g': 8, 'b': 7, 'w': 4, 'v': 3, 'q': 1, 'j': 1, '3': 0, '4': 0, '6': 0, '8': 0, '0': 0, '2': 0, '1': 0, 'x': 0, 'z': 0, '7': 0, '9': 0, '5': 0}",2020,3,12,vvvvxjxwxp,508,Ship Module,TR-14 Ship Module
ModuleX,Ground,"{'e': 99, 't': 57, 'n': 51, 'i': 45, 'o': 45, 'r': 44, 's': 44, 'c': 38, 'a': 37, 'd': 28, 'u': 24, 'h': 23, 'm': 18, 'l': 17, 'f': 17, 'v': 16, 'b': 16, 'p': 14, 'g': 9, 'y': 6, 'w': 3, 'k': 3, '5': 3, '1': 2, '3': 1, '4': 1, '8': 1, '0': 1, '2': 1, 'x': 1, 'z': 1, 'j': 1, '6': 0, 'q': 0, '7': 0, '9': 0}",2020,3,12,tjhzqhtzq,667,Ship Module,VY-52 Ship Module
ModuleX,Ground,"{'e': 186, 't': 165, 'a': 110, 'i': 88, 'r': 82, 's': 74, 'n': 73, 'o': 70, 'u': 66, 'c': 66, 'd': 65, 'b': 56, 'h': 50, 'l': 31, 'f': 25, 'p': 21, 'm': 16, 'y': 16, 'v': 15, 'g': 13, 'w': 6, 'j': 4, 'k': 2, 'q': 1, '1': 1, 'x': 1, '3': 0, '4': 0, '6': 0, '8': 0, '0': 0, '2': 0, 'z': 0, '7': 0, '9': 0, '5': 0}",2020,3,12,qhlnxkzpnqjmr,1303,Ship Module,XH-26 Ship Module
ModuleX,Ground,"{'e': 78, 't': 76, 'o': 48, 'r': 38, 'n': 36, 'c': 34, 'i': 33, 'a': 30, 'h': 28, 's': 27, 'd': 19, 'v': 15, 'u': 14, 'b': 12, 'l': 12, 'p': 11, 'm': 10, 'f': 10, 'g': 7, 'y': 5, 'k': 4, 'x': 4, 'j': 4, 'w': 2, '0': 2, '5': 1, '3': 0, '4': 0, '6': 0, '8': 0, 'q': 0, '2': 0, '1': 0, 'z': 0, '7': 0, '9': 0}",2020,3,12,vlwqkshxjrpr,560,Ship Module,RR-43 Ship Module
ModuleX,Ground,"{'e': 81, 'o': 55, 'n': 54, 't': 52, 's': 51, 'i': 49, 'a': 43, 'c': 39, 'r': 35, 'd': 31, 'u': 24, 'h': 22, 'm': 22, 'l': 15, 'b': 12, 'p': 12, 'f': 11, 'v': 8, 'g': 8, 'w': 7, 'y': 3, 'k': 2, '3': 0, '4': 0, '6': 0, '8': 0, '0': 0, 'q': 0, '2': 0, '1': 0, 'x': 0, 'z': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2020,3,12,kstnwnvtwqp,636,Ship Module,YT-23 Ship Module
ModuleX,Ground,"{'e': 110, 't': 67, 'o': 65, 'a': 61, 'i': 60, 'n': 60, 's': 48, 'd': 45, 'c': 37, 'r': 37, 'l': 32, 'h': 26, 'm': 22, 'p': 21, 'b': 20, 'v': 19, 'u': 17, 'f': 15, 'g': 10, 'k': 8, 'y': 8, 'w': 3, 'x': 3, '3': 0, '4': 0, '6': 0, '8': 0, '0': 0, 'q': 0, '2': 0, '1': 0, 'z': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2020,3,12,vzrhnrkkq,794,Ship Module,ST-32 Ship Module
ModuleX,Ground,"{'e': 96, 't': 60, 'o': 56, 'i': 54, 'n': 51, 's': 48, 'a': 45, 'r': 37, 'u': 34, 'g': 26, 'p': 24, 'd': 23, 'c': 23, 'l': 21, 'h': 20, 'm': 14, 'w': 10, 'b': 6, 'q': 6, 'f': 5, 'v': 4, 'k': 2, 'y': 2, 'x': 1, '3': 0, '4': 0, '6': 0, '8': 0, '0': 0, '2': 0, '1': 0, 'z': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2020,3,12,zjpvkmqrksjwq,668,Ship Module,VT-55 Ship Module
ModuleX,Ground,"{'e': 108, 'o': 71, 's': 64, 't': 64, 'r': 61, 'a': 59, 'n': 50, 'c': 48, 'i': 44, 'u': 34, 'l': 31, 'm': 28, 'h': 27, 'd': 19, 'b': 17, 'f': 13, 'y': 12, 'w': 10, 'p': 10, 'v': 8, 'g': 8, 'k': 2, 'x': 2, 'q': 1, '3': 0, '4': 0, '6': 0, '8': 0, '0': 0, '2': 0, '1': 0, 'z': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2020,3,12,mmpzsw,791,Ship Module,HI-16 Ship Module
ModuleX,Ground,"{'e': 122, 's': 64, 't': 64, 'i': 62, 'n': 57, 'a': 56, 'o': 53, 'r': 49, 'd': 40, 'c': 39, 'u': 27, 'g': 25, 'l': 25, 'h': 20, 'm': 19, 'p': 19, 'b': 17, 'f': 10, 'y': 9, 'q': 7, 'v': 6, 'j': 6, 'w': 4, 'k': 2, '3': 0, '4': 0, '6': 0, '8': 0, '0': 0, '2': 0, '1': 0, 'x': 0, 'z': 0, '7': 0, '9': 0, '5': 0}",2020,3,12,zssszjtnqq,802,Ship Module,RV-41 Ship Module
ModuleX,Ground,"{'e': 207, 'o': 127, 'a': 127, 't': 122, 'r': 115, 'i': 110, 's': 105, 'n': 94, 'd': 79, 'l': 71, 'c': 67, 'm': 50, 'f': 47, 'g': 36, 'b': 35, 'p': 32, 'h': 29, 'u': 27, 'y': 24, 'v': 19, 'w': 12, 'x': 7, 'k': 5, 'q': 2, '3': 0, '4': 0, '6': 0, '8': 0, '0': 0, '2': 0, '1': 0, 'z': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2020,3,12,xvqtrrtpvvwknkz,1549,Ship Module,TH-61 Ship Module
ModuleX,Ground,"{'e': 63, 'o': 39, 't': 36, 'i': 34, 's': 33, 'n': 30, 'a': 28, 'c': 26, 'r': 26, 'd': 18, 'l': 18, 'p': 17, 'h': 14, 'm': 14, 'u': 14, 'g': 14, 'f': 9, 'b': 7, 'v': 3, 'q': 3, 'k': 1, 'x': 1, 'y': 1, '3': 0, '4': 0, 'w': 0, '6': 0, '8': 0, '0': 0, '2': 0, '1': 0, 'z': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2020,3,12,qstvzwjvlntmrs,449,Ship Module,VV-11 Ship Module
ModuleX,Ground,"{'s': 99, 'e': 98, 'o': 93, 't': 91, 'i': 70, 'n': 70, 'a': 69, 'c': 50, 'r': 46, 'u': 43, 'l': 42, 'p': 39, 'h': 38, 'f': 26, 'd': 25, 'm': 24, 'g': 13, 'v': 11, 'b': 10, 'y': 10, 'w': 8, 'x': 8, '0': 2, 'z': 2, '8': 1, '1': 1, '3': 0, '4': 0, '6': 0, 'k': 0, 'q': 0, '2': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2020,3,12,nljxlkn,989,Ship Module,SI-23 Ship Module
ModuleX,Ground,"{'e': 162, 't': 116, 'i': 89, 'o': 81, 'n': 80, 'a': 77, 'r': 76, 's': 63, 'l': 48, 'c': 43, 'h': 41, 'd': 39, 'm': 38, 'u': 20, 'v': 20, 'p': 20, 'g': 19, 'f': 19, 'b': 17, 'w': 12, 'y': 10, '0': 6, 'x': 6, '4': 5, '2': 5, '8': 3, 'q': 3, '5': 3, 'k': 2, '3': 1, '6': 1, '1': 1, 'z': 0, '7': 0, 'j': 0, '9': 0}",2020,3,12,whqlwpnpp,1126,Ship Module,VI-61 Ship Module
ModuleX,Ground,"{'e': 95, 'o': 75, 's': 68, 't': 67, 'a': 59, 'n': 56, 'i': 54, 'r': 51, 'm': 46, 'c': 46, 'u': 45, 'f': 36, 'd': 34, 'h': 22, 'p': 20, 'l': 17, '0': 14, 'v': 11, 'b': 11, 'y': 11, 'x': 10, '5': 6, 'w': 5, 'g': 5, 'k': 4, '2': 3, '4': 2, '1': 1, '3': 0, '6': 0, '8': 0, 'q': 0, 'z': 0, '7': 0, 'j': 0, '9': 0}",2020,3,12,twrshlx,874,Ship Module,WX-51 Ship Module
ModuleX,Ground,"{'e': 145, 't': 131, '0': 115, 's': 110, 'a': 103, 'o': 83, 'i': 78, 'n': 74, 'r': 68, 'c': 66, 'l': 59, 'u': 52, 'h': 49, 'd': 47, 'p': 44, 'm': 36, 'f': 36, 'w': 25, 'v': 24, '2': 20, '3': 19, 'b': 17, '1': 16, '6': 15, 'x': 15, 'g': 13, '9': 8, 'y': 6, 'z': 4, '5': 2, '8': 1, 'k': 1, 'j': 1, '4': 0, 'q': 0, '7': 0}",2020,3,12,wllhlzhzhwmw,1483,Ship Module,HI-31 Ship Module
ModuleX,Ground,"{'e': 225, 't': 189, 'o': 129, 'a': 113, 's': 103, 'r': 95, 'n': 94, 'i': 83, 'u': 82, 'c': 77, 'h': 75, 'd': 60, 'b': 55, 'l': 53, 'm': 39, 'p': 32, 'y': 31, 'f': 28, 'g': 22, 'v': 18, 'w': 16, '1': 5, '0': 4, '3': 3, 'x': 3, '8': 2, 'k': 2, '2': 2, '4': 1, '6': 1, 'z': 1, 'q': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2020,3,12,nwsjwmjkq,1643,Ship Module,HI-55 Ship Module
ModuleX,Ground,"{'e': 537, 't': 357, 'n': 318, 'o': 293, 's': 274, 'a': 253, 'i': 241, 'c': 231, 'r': 225, 'd': 150, 'm': 138, 'l': 133, 'h': 126, 'u': 123, 'b': 117, 'f': 90, 'p': 90, 'g': 78, '0': 45, 'w': 41, 'v': 41, 'y': 35, '1': 28, '2': 26, '6': 16, '4': 15, '5': 12, '3': 11, 'k': 9, 'x': 9, '8': 8, 'q': 3, '7': 3, '9': 3, 'j': 1, 'z': 0}",2020,3,12,zrpshlkjvjrw,4080,Ship Module,RW-65 Ship Module
ModuleX,Ground,"{'e': 30, 'o': 27, 's': 27, 'r': 26, 't': 26, 'n': 24, 'c': 22, 'a': 20, 'u': 13, 'm': 12, 'i': 12, 'p': 11, 'l': 10, 'f': 10, 'b': 9, 'h': 7, 'd': 5, 'g': 5, 'w': 2, '1': 2, 'v': 1, 'k': 1, 'x': 1, 'y': 1, 'j': 1, '3': 0, '4': 0, '6': 0, '8': 0, '0': 0, 'q': 0, '2': 0, 'z': 0, '7': 0, '9': 0, '5': 0}",2020,3,12,xmhrzkjkx,305,Ship Module,WH-56 Ship Module
ModuleX,Ground,"{'e': 305, 't': 304, 'n': 214, 'o': 210, 'a': 188, 'r': 164, 'i': 159, 's': 143, 'c': 125, 'l': 102, 'p': 93, 'h': 73, 'd': 70, 'u': 55, 'f': 50, 'm': 45, 'w': 42, 'y': 30, 'g': 28, 'b': 23, 'v': 22, 'k': 19, 'x': 6, '1': 4, '0': 3, 'z': 3, '3': 1, '4': 1, 'q': 1, '2': 1, '7': 1, '9': 1, '5': 1, '6': 0, '8': 0, 'j': 0}",2020,3,12,mqprpkjrtxq,2487,Gascogine-12,WI-22 Gascogine-12
ModuleX,Ground,"{'e': 273, 't': 269, 'o': 185, 's': 168, 'a': 166, 'r': 154, 'i': 146, 'n': 144, 'c': 101, 'l': 101, 'p': 90, 'u': 89, 'h': 76, 'd': 74, 'f': 72, 'm': 39, 'g': 29, 'b': 29, 'v': 27, 'y': 14, '1': 13, 'w': 12, '0': 10, '5': 7, 'x': 5, 'k': 4, '3': 2, '4': 1, '8': 1, 'q': 1, '2': 1, '7': 1, 'j': 1, '6': 0, 'z': 0, '9': 0}",2020,3,12,kxxwvkrjzq,2305,Ship Module,WS-25 Ship Module
ModuleX,Ground,"{'e': 52, 't': 43, 's': 33, 'a': 33, 'n': 32, 'o': 31, 'i': 29, 'r': 29, 'l': 23, 'd': 17, 'c': 15, 'p': 14, 'w': 12, 'm': 11, 'f': 11, 'u': 9, 'g': 9, 'b': 9, 'h': 8, 'y': 6, 'v': 3, 'k': 3, '1': 3, '2': 2, '3': 1, '8': 1, '0': 1, 'q': 1, 'x': 1, '7': 1, '4': 0, '6': 0, 'z': 0, 'j': 0, '9': 0, '5': 0}",2020,3,12,wtsmzhjjwvh,443,Gascogine-12,YY-45 Gascogine-12
ModuleX,Ground,"{'e': 75, 'r': 62, 's': 55, 't': 54, 'o': 50, 'a': 45, 'n': 41, 'i': 40, 'l': 38, 'u': 26, 'p': 21, 'f': 17, 'd': 16, 'c': 15, 'v': 15, 'h': 12, 'q': 11, 'm': 10, 'y': 9, 'g': 8, 'w': 6, 'k': 4, '2': 3, '0': 2, 'b': 2, '1': 2, '4': 1, 'x': 1, '3': 0, '6': 0, '8': 0, 'z': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2020,3,12,hvvsjwlsqpw,641,Gascogine-12,XS-11 Gascogine-12
