brand,file_type,counter_dict,year,month,week,module_link,budget,module_title,phase_title
FusionWave,Ground,"{'o': 25, 'n': 17, 'c': 17, 't': 13, 'a': 8, 's': 8, 'r': 6, 'w': 6, 'l': 6, 'i': 4, 'h': 4, 'j': 3, 'f': 3, 'm': 3, 'u': 2, 'e': 1, 'y': 1, 'b': 1, '7': 0, '0': 0, '4': 0, 'k': 0, 'g': 0, 'q': 0, '6': 0, '5': 0, '8': 0, '3': 0, 'p': 0, 'x': 0, '2': 0, '1': 0, 'z': 0, 'd': 0, '9': 0, 'v': 0}",2020,3,13,wwrkqsq,128,Ship Module,XY-13 Ship Module
FusionWave,Ground,"{'e': 63, 't': 54, 'o': 45, 'a': 32, 'i': 32, 's': 31, 'n': 24, 'h': 20, 'l': 18, 'r': 17, 'd': 17, 'f': 15, 'c': 14, 'p': 11, 'm': 10, 'u': 9, 'y': 6, 'g': 5, 'z': 5, 'v': 5, 'b': 4, 'w': 1, '7': 0, '0': 0, '4': 0, 'k': 0, 'q': 0, '6': 0, '5': 0, 'j': 0, '8': 0, '3': 0, 'x': 0, '2': 0, '1': 0, '9': 0}",2020,3,13,tkpmqjmpzwmjw,438,Ship Module,WY-36 Ship Module
FusionWave,Ground,"{'e': 65, 't': 63, 'o': 38, 'a': 35, 'n': 32, 'i': 31, 'r': 31, 's': 28, 'm': 20, 'h': 19, 'c': 19, 'u': 18, 'p': 16, 'd': 14, 'l': 13, 'f': 11, 'g': 10, 'y': 7, 'v': 6, 'b': 4, 'z': 4, 'w': 2, '7': 0, '0': 0, '4': 0, 'k': 0, 'q': 0, '6': 0, '5': 0, 'j': 0, '8': 0, '3': 0, 'x': 0, '2': 0, '1': 0, '9': 0}",2020,3,13,njvkhnnlmq,486,Ship Module,SI-16 Ship Module
FusionWave,Ground,"{'e': 195, 't': 133, 'o': 85, 'n': 68, 's': 64, 'h': 59, 'i': 56, 'r': 51, 'a': 47, 'g': 33, 'd': 22, 'p': 20, 'c': 20, 'v': 20, 'u': 19, 'z': 19, 'f': 18, 'l': 17, 'w': 15, 'b': 10, 'm': 9, '1': 6, '2': 4, '0': 2, '5': 2, 'y': 2, '7': 0, '4': 0, 'k': 0, 'q': 0, '6': 0, 'j': 0, '8': 0, '3': 0, 'x': 0, '9': 0}",2020,3,13,sjxkrvvstxkq,996,Ship Module,RT-65 Ship Module
FusionWave,Ground,"{'e': 68, 't': 50, 'o': 44, 'n': 31, 'r': 26, 'h': 26, 's': 26, 'a': 21, 'i': 21, 'd': 18, 'c': 14, 'p': 12, 'u': 12, 'z': 11, 'm': 11, 'v': 9, 'g': 7, 'f': 4, 'l': 4, 'w': 2, 'b': 2, '7': 0, '0': 0, '4': 0, 'k': 0, 'q': 0, '6': 0, '5': 0, 'j': 0, '8': 0, '3': 0, 'x': 0, 'y': 0, '2': 0, '1': 0, '9': 0}",2020,3,13,sjwkzwmwq,419,Ship Module,HH-62 Ship Module
FusionWave,Ground,"{'e': 72, 't': 68, 's': 59, 'o': 53, 'n': 39, 'r': 34, 'a': 31, 'i': 30, 'm': 29, 'c': 27, 'p': 24, 'h': 23, 'l': 23, 'u': 17, 'y': 12, 'd': 11, 'g': 10, 'v': 10, 'b': 9, 'f': 8, 'w': 7, 'q': 4, 'z': 4, '7': 0, '0': 0, '4': 0, 'k': 0, '6': 0, '5': 0, 'j': 0, '8': 0, '3': 0, 'x': 0, '2': 0, '1': 0, '9': 0}",2020,3,13,wkxvmnv,604,Ship Module,SY-45 Ship Module
FusionWave,Ground,"{'e': 48, 't': 40, 's': 33, 'o': 30, 'n': 29, 'h': 27, 'r': 18, 'i': 16, 'a': 15, 'd': 14, 'l': 13, 'u': 12, 'f': 11, 'w': 10, 'm': 10, 'y': 7, 'c': 7, 'b': 6, 'g': 4, 'p': 4, 'z': 3, 'v': 3, '1': 1, '7': 0, '0': 0, '4': 0, 'k': 0, 'q': 0, '6': 0, '5': 0, 'j': 0, '8': 0, '3': 0, 'x': 0, '2': 0, '9': 0}",2020,3,13,hkmvspqtw,361,Ship Module,YS-65 Ship Module
FusionWave,Ground,"{'e': 47, 't': 41, 's': 37, 'i': 33, 'o': 29, 'n': 27, 'a': 25, 'd': 25, 'r': 20, 'h': 19, 'u': 17, 'p': 14, 'c': 14, 'l': 13, 'm': 8, 'f': 7, 'y': 7, 'b': 6, 'g': 4, 'z': 3, 'w': 2, 'v': 2, 'k': 1, 'q': 1, 'j': 1, '7': 0, '0': 0, '4': 0, '6': 0, '5': 0, '8': 0, '3': 0, 'x': 0, '2': 0, '1': 0, '9': 0}",2020,3,13,pnqzmkrxxqwqvq,403,Ship Module,IY-34 Ship Module
FusionWave,Ground,"{'e': 136, 'o': 133, 't': 113, 'i': 101, 'n': 93, 's': 82, 'r': 74, 'a': 71, 'd': 60, 'h': 57, 'f': 51, 'c': 48, 'm': 42, 'u': 38, 'l': 32, 'p': 22, 'g': 21, 'y': 12, 'q': 10, 'b': 10, 'w': 8, '1': 7, '2': 5, 'v': 3, '5': 2, 'k': 1, 'z': 1, '7': 0, '0': 0, '4': 0, '6': 0, 'j': 0, '8': 0, '3': 0, 'x': 0, '9': 0}",2020,3,13,szjlpslssxzmkhkq,1233,Ship Module,HT-32 Ship Module
FusionWave,Ground,"{'e': 147, 'o': 112, 't': 102, 'i': 95, 'n': 84, 's': 64, 'a': 60, 'r': 59, 'm': 58, 'd': 47, 'c': 42, 'u': 39, 'l': 38, 'h': 34, 'p': 34, 'v': 24, 'f': 14, 'w': 13, '2': 13, 'b': 9, 'y': 8, 'x': 7, 'z': 7, 'g': 6, '0': 3, '5': 3, '3': 3, '4': 1, 'q': 1, '7': 0, 'k': 0, '6': 0, 'j': 0, '8': 0, '1': 0, '9': 0}",2020,3,13,nxjxnl,1127,Ship Module,IW-11 Ship Module
