brand,file_type,counter_dict,year,month,week,module_link,budget,module_title,phase_title
FusionWave,Orbit,"{'0': 1560, '1': 665, '2': 604, '3': 566, '4': 344, '5': 406, '6': 253, '7': 307, '8': 159, '9': 181, 'a': 913, 'b': 243, 'c': 553, 'd': 520, 'e': 1303, 'f': 288, 'g': 220, 'h': 488, 'i': 896, 'j': 41, 'k': 63, 'l': 689, 'm': 346, 'n': 944, 'o': 1128, 'p': 559, 'q': 27, 'r': 1082, 's': 866, 't': 1114, 'u': 377, 'v': 163, 'w': 156, 'x': 15, 'y': 179, 'z': 66}",2020,3,14,sjxrnpxkwxrw,18284,Base Module,WH-35 Base Module
ModuleX,Ground,"{'s': 4, 't': 2, 'i': 2, 'a': 1, 'd': 1, 'e': 1, 'c': 1, 'g': 1, 'p': 1, 'o': 1, 'n': 1, 'y': 0, 'h': 0, '5': 0, '0': 0, 'b': 0, 'q': 0, 'k': 0, 'v': 0, '1': 0, 'z': 0, '9': 0, '6': 0, '8': 0, 'u': 0, 'f': 0, 'r': 0, '2': 0, 'l': 0, '4': 0, 'x': 0, 'm': 0, 'w': 0, 'j': 0, '7': 0, '3': 0}",2020,3,14,hrqkzpjsqrq,16,Base Module,YW-12 Base Module
ModuleX,Ground,"{'e': 3, 'c': 3, 't': 2, 'p': 2, 'o': 2, 'h': 1, 's': 1, 'b': 1, 'l': 1, 'j': 1, 'n': 1, 'y': 0, '5': 0, 'a': 0, 'd': 0, '0': 0, 'q': 0, 'k': 0, 'v': 0, '1': 0, 'i': 0, 'z': 0, '9': 0, '6': 0, '8': 0, 'u': 0, 'f': 0, 'r': 0, 'g': 0, '2': 0, '4': 0, 'x': 0, 'm': 0, 'w': 0, '7': 0, '3': 0}",2020,3,14,mlkzjwskssq,18,Base Module,HR-45 Base Module
ModuleX,Ground,"{'t': 5, 'e': 3, 'o': 3, 'a': 2, 'b': 2, 'i': 2, 'c': 2, 'm': 2, 'd': 1, 's': 1, 'u': 1, 'r': 1, 'l': 1, 'j': 1, 'n': 1, 'y': 0, 'h': 0, '5': 0, '0': 0, 'q': 0, 'k': 0, 'v': 0, '1': 0, 'z': 0, '9': 0, '6': 0, '8': 0, 'f': 0, 'g': 0, '2': 0, '4': 0, 'p': 0, 'x': 0, 'w': 0, '7': 0, '3': 0}",2020,3,14,zklpwmlpzjpxwqw,28,Base Module,SX-56 Base Module
ModuleX,Ground,"{'t': 5, 'a': 4, 'i': 3, 'e': 2, 'u': 2, 'l': 2, 'n': 2, 'd': 1, 's': 1, 'b': 1, 'r': 1, 'g': 1, 'p': 1, 'o': 1, 'y': 0, 'h': 0, '5': 0, '0': 0, 'q': 0, 'k': 0, 'v': 0, '1': 0, 'z': 0, '9': 0, '6': 0, '8': 0, 'f': 0, 'c': 0, '2': 0, '4': 0, 'x': 0, 'm': 0, 'w': 0, 'j': 0, '7': 0, '3': 0}",2020,3,14,jzhzsvqxnl,27,Base Module,WW-23 Base Module
ModuleX,Ground,"{'t': 6, 'a': 4, 'u': 3, 'e': 2, 'i': 2, 'l': 2, 'o': 2, 'd': 1, 's': 1, 'b': 1, 'r': 1, 'g': 1, 'p': 1, 'n': 1, 'y': 0, 'h': 0, '5': 0, '0': 0, 'q': 0, 'k': 0, 'v': 0, '1': 0, 'z': 0, '9': 0, '6': 0, '8': 0, 'f': 0, 'c': 0, '2': 0, '4': 0, 'x': 0, 'm': 0, 'w': 0, 'j': 0, '7': 0, '3': 0}",2020,3,14,pnlrztrxw,28,Base Module,HS-44 Base Module
ModuleX,Ground,"{'a': 4, 't': 3, 'o': 3, 'd': 2, 'u': 2, 'l': 2, 'm': 2, 'n': 2, 'e': 1, 's': 1, 'i': 1, 'c': 1, 'g': 1, 'p': 1, 'y': 0, 'h': 0, '5': 0, '0': 0, 'b': 0, 'q': 0, 'k': 0, 'v': 0, '1': 0, 'z': 0, '9': 0, '6': 0, '8': 0, 'f': 0, 'r': 0, '2': 0, '4': 0, 'x': 0, 'w': 0, 'j': 0, '7': 0, '3': 0}",2020,3,14,htzlrnsnnppvrjvq,26,Base Module,WH-64 Base Module
ModuleX,Ground,"{'a': 5, 't': 4, 'e': 3, 'l': 3, 'i': 2, 'u': 2, 'd': 1, 's': 1, 'b': 1, 'v': 1, 'r': 1, 'g': 1, 'o': 1, 'n': 1, 'y': 0, 'h': 0, '5': 0, '0': 0, 'q': 0, 'k': 0, '1': 0, 'z': 0, '9': 0, '6': 0, '8': 0, 'f': 0, 'c': 0, '2': 0, '4': 0, 'p': 0, 'x': 0, 'm': 0, 'w': 0, 'j': 0, '7': 0, '3': 0}",2020,3,14,tlzzkmtq,27,Base Module,VS-32 Base Module
ModuleX,Ground,"{'a': 5, 'l': 3, 'd': 2, 'e': 2, 'm': 2, 'o': 2, 'n': 2, 't': 1, 's': 1, 'v': 1, 'i': 1, 'u': 1, 'c': 1, 'g': 1, 'y': 0, 'h': 0, '5': 0, '0': 0, 'b': 0, 'q': 0, 'k': 0, '1': 0, 'z': 0, '9': 0, '6': 0, '8': 0, 'f': 0, 'r': 0, '2': 0, '4': 0, 'p': 0, 'x': 0, 'w': 0, 'j': 0, '7': 0, '3': 0}",2020,3,14,tnzpszjnsmzkwk,25,Base Module,YV-41 Base Module
ModuleX,Ground,"{'t': 5, 'e': 5, 'a': 3, 'i': 3, 'd': 2, 'b': 2, 'c': 2, 's': 1, 'v': 1, 'u': 1, 'r': 1, 'l': 1, 'n': 1, 'y': 0, 'h': 0, '5': 0, '0': 0, 'q': 0, 'k': 0, '1': 0, 'z': 0, '9': 0, '6': 0, '8': 0, 'f': 0, 'g': 0, '2': 0, '4': 0, 'p': 0, 'x': 0, 'm': 0, 'w': 0, 'j': 0, '7': 0, '3': 0, 'o': 0}",2020,3,14,rhkwwtvwzrmvw,28,Base Module,IX-35 Base Module
