brand,file_type,counter_dict,year,month,week,module_link,budget,module_title,phase_title
Tekno,Orbit,"{'0': 287, '1': 276, '2': 198, '3': 102, '4': 109, '5': 128, '6': 70, '7': 56, '8': 42, '9': 85, 'a': 1121, 'b': 174, 'c': 746, 'd': 582, 'e': 1754, 'f': 384, 'g': 192, 'h': 591, 'i': 1009, 'j': 20, 'k': 129, 'l': 609, 'm': 463, 'n': 967, 'o': 1199, 'p': 497, 'q': 9, 'r': 1009, 's': 821, 't': 1464, 'u': 486, 'v': 191, 'w': 212, 'x': 56, 'y': 246, 'z': 22}",2020,4,15,wrnzr,16306,Gascogine-12,ST-36 Gascogine-12
Tekno,Orbit,"{'0': 365, '1': 338, '2': 235, '3': 132, '4': 153, '5': 164, '6': 89, '7': 72, '8': 58, '9': 130, 'a': 1366, 'b': 204, 'c': 826, 'd': 691, 'e': 2037, 'f': 547, 'g': 244, 'h': 640, 'i': 1185, 'j': 20, 'k': 151, 'l': 707, 'm': 529, 'n': 1134, 'o': 1480, 'p': 638, 'q': 9, 'r': 1269, 's': 927, 't': 1693, 'u': 573, 'v': 224, 'w': 222, 'x': 66, 'y': 280, 'z': 24}",2020,4,15,klxvwzzwmnjw,19422,Gascogine-12,IT-14 Gascogine-12
Tekno,Orbit,"{'0': 199, '1': 196, '2': 137, '3': 77, '4': 76, '5': 87, '6': 39, '7': 27, '8': 27, '9': 67, 'a': 751, 'b': 116, 'c': 540, 'd': 371, 'e': 1236, 'f': 293, 'g': 141, 'h': 366, 'i': 744, 'j': 17, 'k': 75, 'l': 415, 'm': 334, 'n': 706, 'o': 880, 'p': 400, 'q': 7, 'r': 711, 's': 597, 't': 1048, 'u': 351, 'v': 140, 'w': 145, 'x': 39, 'y': 153, 'z': 10}",2020,4,15,qtlknhmptkjvkq,11518,Gascogine-12,XV-22 Gascogine-12
Tekno,Orbit,"{'0': 230, '1': 212, '2': 168, '3': 88, '4': 91, '5': 104, '6': 55, '7': 29, '8': 29, '9': 77, 'a': 872, 'b': 137, 'c': 590, 'd': 434, 'e': 1388, 'f': 359, 'g': 170, 'h': 411, 'i': 822, 'j': 17, 'k': 89, 'l': 459, 'm': 373, 'n': 796, 'o': 1013, 'p': 449, 'q': 7, 'r': 824, 's': 664, 't': 1166, 'u': 389, 'v': 165, 'w': 155, 'x': 48, 'y': 178, 'z': 10}",2020,4,15,lnqrl,13068,Gascogine-12,XI-24 Gascogine-12
Tekno,Orbit,"{'0': 226, '1': 210, '2': 155, '3': 97, '4': 90, '5': 107, '6': 47, '7': 31, '8': 29, '9': 79, 'a': 850, 'b': 123, 'c': 581, 'd': 430, 'e': 1381, 'f': 353, 'g': 160, 'h': 402, 'i': 800, 'j': 17, 'k': 88, 'l': 448, 'm': 370, 'n': 768, 'o': 1002, 'p': 448, 'q': 7, 'r': 823, 's': 664, 't': 1139, 'u': 375, 'v': 165, 'w': 154, 'x': 46, 'y': 171, 'z': 10}",2020,4,15,tjqwrmqwhpr,12846,Gascogine-12,TW-16 Gascogine-12
Tekno,Orbit,"{'0': 200, '1': 197, '2': 136, '3': 78, '4': 76, '5': 84, '6': 39, '7': 27, '8': 27, '9': 68, 'a': 752, 'b': 107, 'c': 540, 'd': 371, 'e': 1237, 'f': 293, 'g': 141, 'h': 366, 'i': 745, 'j': 17, 'k': 75, 'l': 417, 'm': 335, 'n': 706, 'o': 880, 'p': 400, 'q': 7, 'r': 711, 's': 599, 't': 1048, 'u': 351, 'v': 140, 'w': 145, 'x': 48, 'y': 153, 'z': 11}",2020,4,15,tvrrtpswp,11527,Gascogine-12,WW-55 Gascogine-12
Septellar,Ground,"{'e': 141, 't': 107, 'i': 106, 'n': 90, 'a': 89, 's': 81, 'o': 74, 'r': 71, 'd': 56, 'l': 54, 'h': 43, 'p': 41, 'u': 30, 'm': 28, 'c': 27, 'g': 19, 'y': 18, 'f': 15, 'v': 14, 'b': 11, 'w': 8, 'q': 5, 'k': 4, 'z': 3, 'j': 2, 'x': 2, '7': 0, '8': 0, '1': 0, '2': 0, '3': 0, '0': 0, '5': 0, '4': 0, '9': 0, '6': 0}",2020,4,15,mzxrnnmsrrnk,1139,Base Module,VX-33 Base Module
Septellar,Ground,"{'e': 112, 'i': 107, 'n': 105, 'o': 101, 't': 93, 'a': 86, 'r': 82, 's': 75, 'l': 61, 'c': 49, 'd': 41, 'u': 38, 'p': 35, 'h': 34, 'm': 26, 'f': 22, 'w': 20, 'g': 19, 'b': 15, 'y': 13, 'j': 5, 'k': 4, 'q': 3, 'z': 3, 'v': 3, 'x': 2, '7': 0, '8': 0, '1': 0, '2': 0, '3': 0, '0': 0, '5': 0, '4': 0, '9': 0, '6': 0}",2020,4,15,hnmkznhsmtpxw,1154,Base Module,WY-36 Base Module
Septellar,Ground,"{'e': 72, 't': 66, 'o': 61, 'n': 61, 'i': 60, 'a': 39, 'r': 36, 'c': 31, 's': 28, 'h': 28, 'm': 24, 'u': 23, 'l': 22, 'p': 22, 'f': 17, 'd': 16, 'b': 11, 'y': 11, 'g': 8, 'w': 6, 'v': 6, 'q': 5, 'j': 4, 'k': 2, '7': 0, '8': 0, '1': 0, '2': 0, '3': 0, '0': 0, 'x': 0, 'z': 0, '5': 0, '4': 0, '9': 0, '6': 0}",2020,4,15,zpqrzkhpw,659,Base Module,TH-56 Base Module
Septellar,Ground,"{'n': 25, 't': 25, 'a': 23, 'c': 22, 'i': 20, 'o': 17, 'e': 17, 's': 17, 'r': 16, 'l': 13, '5': 12, 'u': 9, '1': 8, 'h': 8, 'm': 7, 'd': 7, 'p': 7, '0': 6, '4': 6, 'k': 3, 'g': 3, '7': 2, 'j': 2, 'w': 2, 'f': 1, 'b': 1, '2': 1, '3': 1, 'x': 1, '8': 0, 'q': 0, 'y': 0, 'z': 0, 'v': 0, '9': 0, '6': 0}",2020,4,15,ztrtmpljw,282,Base Module,VW-14 Base Module
