brand,file_type,counter_dict,year,month,week,module_link,budget,module_title,phase_title
Accelena,Orbit,"{'0': 417, '1': 252, '2': 156, '3': 70, '4': 249, '5': 67, '6': 51, '7': 64, '8': 24, '9': 72, 'a': 1458, 'b': 170, 'c': 738, 'd': 672, 'e': 1821, 'f': 393, 'g': 229, 'h': 304, 'i': 1169, 'j': 8, 'k': 89, 'l': 848, 'm': 580, 'n': 1254, 'o': 1103, 'p': 483, 'q': 22, 'r': 1227, 's': 1004, 't': 1263, 'u': 455, 'v': 162, 'w': 176, 'x': 90, 'y': 270, 'z': 18}",2020,4,16,jslnhrlrswq,17428,Base Module,WW-52 Base Module
Septellar,Ground,"{'e': 55, 't': 36, 's': 35, 'r': 30, 'i': 28, 'a': 28, 'n': 23, 'o': 22, 'h': 17, 'c': 16, 'd': 16, 'p': 16, 'g': 13, 'm': 12, 'b': 9, 'l': 9, 'u': 8, 'f': 5, 'y': 5, 'k': 3, 'q': 2, 'v': 2, 'w': 2, '1': 1, '4': 0, '3': 0, 'j': 0, '2': 0, '6': 0, '7': 0, '9': 0, 'z': 0, '0': 0, 'x': 0, '8': 0, '5': 0}",2020,4,16,xmtpmsqwksnw,393,Base Module,YV-43 Base Module
Septellar,Ground,"{'s': 4, 'n': 2, 'i': 2, 't': 2, 'r': 2, 'e': 2, 'c': 1, 'o': 1, 'u': 1, 'b': 1, 'y': 1, 'l': 1, 'm': 1, 'a': 1, 'q': 0, '1': 0, '4': 0, '3': 0, 'h': 0, 'g': 0, 'f': 0, 'j': 0, 'v': 0, 'k': 0, 'd': 0, 'w': 0, '2': 0, '6': 0, '7': 0, '9': 0, 'z': 0, '0': 0, 'p': 0, 'x': 0, '8': 0, '5': 0}",2020,4,16,rvvtqhpjxqxtrq,22,Base Module,HW-46 Base Module
Septellar,Ground,"{'n': 2, 'e': 2, 'c': 1, 'o': 1, 't': 1, 'r': 1, 'u': 1, 'l': 1, 'm': 1, 'a': 1, 'q': 0, '1': 0, '4': 0, '3': 0, 'h': 0, 'g': 0, 'f': 0, 'j': 0, 'v': 0, 'k': 0, 'd': 0, 'w': 0, '2': 0, '6': 0, '7': 0, '9': 0, 'i': 0, 'z': 0, '0': 0, 'p': 0, 's': 0, 'x': 0, 'b': 0, '8': 0, 'y': 0, '5': 0}",2020,4,16,ktntlvxq,12,Base Module,RT-11 Base Module
Septellar,Ground,"{'e': 85, 't': 82, 'i': 75, 'n': 74, 'o': 73, 'r': 43, 's': 43, 'a': 41, 'c': 38, 'h': 35, 'l': 27, 'u': 23, 'm': 23, 'd': 22, 'p': 22, 'g': 20, 'f': 19, 'y': 14, 'b': 11, 'w': 9, 'v': 8, 'j': 5, 'q': 4, 'k': 3, 'x': 1, '1': 0, '4': 0, '3': 0, '2': 0, '6': 0, '7': 0, '9': 0, 'z': 0, '0': 0, '8': 0, '5': 0}",2020,4,16,jtrrmqxlpq,800,Base Module,YS-31 Base Module
Septellar,Ground,"{'e': 112, 'i': 107, 'n': 106, 'o': 102, 't': 94, 'a': 86, 'r': 82, 's': 75, 'l': 61, 'c': 49, 'd': 41, 'u': 38, 'p': 35, 'h': 34, 'm': 26, 'f': 22, 'w': 20, 'g': 19, 'b': 15, 'y': 13, 'j': 5, 'k': 4, 'q': 3, 'v': 3, 'z': 3, 'x': 2, '1': 0, '4': 0, '3': 0, '2': 0, '6': 0, '7': 0, '9': 0, '0': 0, '8': 0, '5': 0}",2020,4,16,hvmjzpstwlkkq,1157,Base Module,RS-24 Base Module
Septellar,Ground,"{'e': 140, 'i': 107, 't': 107, 'n': 90, 'a': 89, 's': 80, 'o': 74, 'r': 71, 'd': 56, 'l': 54, 'h': 43, 'p': 41, 'u': 30, 'm': 28, 'c': 27, 'g': 19, 'y': 18, 'f': 15, 'v': 14, 'b': 11, 'w': 8, 'q': 5, 'k': 4, 'z': 3, 'j': 2, 'x': 2, '1': 0, '4': 0, '3': 0, '2': 0, '6': 0, '7': 0, '9': 0, '0': 0, '8': 0, '5': 0}",2020,4,16,rqsjhmqwmkkx,1138,Base Module,IX-22 Base Module
Septellar,Ground,"{'t': 2, 'n': 1, 'o': 1, 'i': 1, 'p': 1, 'r': 1, 'm': 1, 'a': 1, 'q': 0, 'c': 0, '1': 0, '4': 0, '3': 0, 'h': 0, 'g': 0, 'f': 0, 'j': 0, 'v': 0, 'k': 0, 'd': 0, 'w': 0, '2': 0, '6': 0, '7': 0, '9': 0, 'z': 0, '0': 0, 'u': 0, 's': 0, 'e': 0, 'x': 0, 'b': 0, '8': 0, 'y': 0, '5': 0, 'l': 0}",2020,4,16,jjwxkvvjzjjpw,9,Base Module,VY-62 Base Module
Septellar,Ground,"{'e': 5, 'n': 2, 'g': 2, 'i': 2, 's': 2, 'l': 2, 'a': 2, 'f': 1, 'd': 1, 't': 1, 'r': 1, 'u': 1, 'y': 1, 'q': 0, 'c': 0, 'o': 0, '1': 0, '4': 0, '3': 0, 'h': 0, 'j': 0, 'v': 0, 'k': 0, 'w': 0, '2': 0, '6': 0, '7': 0, '9': 0, 'z': 0, '0': 0, 'p': 0, 'x': 0, 'b': 0, '8': 0, '5': 0, 'm': 0}",2020,4,16,jpkrkrzqjjv,23,Base Module,SY-41 Base Module
Tekno,Ground,"{'e': 133, 't': 123, 'a': 122, 'n': 121, 'c': 111, 'o': 111, 's': 100, 'i': 98, 'r': 75, 'l': 73, 'u': 68, 'p': 63, 'm': 61, 'd': 52, '0': 43, '4': 31, 'h': 26, '5': 25, '2': 24, 'y': 22, '1': 20, '3': 19, 'f': 19, 'w': 19, 'b': 19, 'v': 18, 'x': 18, 'g': 13, '8': 12, '7': 10, '6': 9, '9': 8, 'k': 4, 'z': 3, 'q': 1, 'j': 1}",2020,4,16,pklhllmjvxjq,1675,Space Lift,WS-64 Space Lift
Tekno,Ground,"{'n': 30, 'o': 27, 't': 27, 'e': 24, 'i': 23, 'r': 22, 'l': 22, 'c': 19, 'd': 18, 'p': 16, 's': 16, 'a': 16, 'u': 15, '0': 12, 'm': 11, '1': 10, '3': 10, '4': 9, 'b': 8, '2': 7, 'g': 5, 'y': 5, 'k': 4, '7': 4, '8': 4, '5': 4, 'x': 3, 'h': 2, 'v': 2, 'w': 2, '6': 2, 'f': 1, '9': 1, 'q': 0, 'j': 0, 'z': 0}",2020,4,16,xrjpw,381,Space Lift,TT-44 Space Lift
Tekno,Ground,"{'t': 23, 'e': 23, 'o': 17, 'i': 17, 'n': 15, 'a': 15, 's': 13, 'r': 12, 'p': 10, 'l': 8, 'c': 7, 'u': 7, 'h': 6, 'm': 6, 'f': 5, 'y': 4, 'w': 3, '4': 2, 'd': 2, '0': 2, 'x': 2, '5': 2, 'j': 1, 'v': 1, 'q': 0, '1': 0, '3': 0, 'g': 0, 'k': 0, '2': 0, '6': 0, '7': 0, '9': 0, 'z': 0, 'b': 0, '8': 0}",2020,4,16,zqtwwmxxmlkrswrq,203,Space Lift,WX-42 Space Lift
Tekno,Ground,"{'e': 77, 'o': 74, 't': 72, 'a': 61, 'l': 58, 'n': 57, 's': 56, 'i': 53, 'r': 48, 'u': 48, 'd': 37, 'c': 33, 'p': 24, 'm': 24, 'y': 23, 'b': 15, 'h': 14, 'f': 14, 'g': 12, 'w': 11, 'v': 4, 'k': 4, 'q': 3, '4': 1, 'j': 1, '0': 1, 'x': 1, '5': 1, '1': 0, '3': 0, '2': 0, '6': 0, '7': 0, '9': 0, 'z': 0, '8': 0}",2020,4,16,nhkltnnppn,827,Space Lift,RW-62 Space Lift
Septellar,Ground,"{'e': 63, 'o': 44, 's': 42, 't': 41, 'n': 39, 'r': 39, 'i': 36, 'a': 26, 'c': 25, 'h': 23, 'l': 21, 'd': 20, 'u': 18, 'p': 16, 'm': 15, 'g': 11, 'f': 11, '0': 10, 'b': 10, 'y': 5, '1': 4, '2': 4, '5': 4, '4': 3, '6': 3, '3': 2, 'v': 2, 'k': 2, 'q': 1, 'w': 1, '7': 1, 'x': 1, 'j': 0, '9': 0, 'z': 0, '8': 0}",2020,4,16,rhwjpxstwxjrrq,543,Base Module,WY-36 Base Module
Tekno,Ground,"{'o': 48, 't': 45, 'e': 45, 'n': 35, 's': 34, 'i': 33, 'l': 30, 'r': 29, 'u': 27, 'a': 27, 'p': 19, 'c': 18, 'm': 17, 'y': 13, 'd': 11, '4': 9, 'w': 8, 'h': 7, 'f': 7, '0': 7, '5': 7, 'x': 5, '1': 4, 'b': 4, '3': 3, 'g': 3, '2': 3, '6': 3, '8': 2, 'q': 1, 'v': 1, '7': 1, '9': 1, 'j': 0, 'k': 0, 'z': 0}",2020,4,16,vzskntrnmq,507,Space Lift,YH-35 Space Lift
Tekno,Ground,"{'n': 27, 'o': 23, 'i': 22, 'l': 22, 't': 21, 'r': 21, 'e': 21, 'c': 19, 'd': 15, 's': 15, 'm': 15, 'a': 15, '0': 14, 'p': 13, '1': 12, '4': 11, '2': 10, 'u': 9, '3': 8, 'b': 8, 'g': 5, 'y': 5, 'v': 4, 'k': 4, 'w': 4, '7': 4, '8': 4, '5': 4, 'h': 2, '6': 2, 'f': 1, '9': 1, 'x': 1, 'q': 0, 'j': 0, 'z': 0}",2020,4,16,txzphnrthlnkjx,362,Space Lift,RY-41 Space Lift
Tekno,Ground,"{'e': 21, 't': 17, 'o': 15, 'i': 13, 'r': 12, 'n': 11, 's': 11, 'a': 11, 'p': 8, 'c': 7, 'l': 6, 'm': 6, 'f': 5, 'h': 4, 'w': 3, 'u': 3, '4': 2, 'd': 2, '0': 2, 'y': 2, '5': 2, 'j': 1, 'v': 1, 'q': 0, '1': 0, '3': 0, 'g': 0, 'k': 0, '2': 0, '6': 0, '7': 0, '9': 0, 'z': 0, 'x': 0, 'b': 0, '8': 0}",2020,4,16,trmppkwp,165,Space Lift,YH-34 Space Lift
