brand,file_type,counter_dict,year,month,week,module_link,budget,module_title,phase_title
Lumaliel,Orbit,"{'0': 535, '1': 183, '2': 194, '3': 87, '4': 158, '5': 77, '6': 79, '7': 142, '8': 91, '9': 107, 'a': 2600, 'b': 421, 'c': 1432, 'd': 1304, 'e': 3108, 'f': 515, 'g': 372, 'h': 548, 'i': 2310, 'j': 13, 'k': 84, 'l': 1417, 'm': 673, 'n': 2191, 'o': 2115, 'p': 859, 'q': 31, 'r': 1911, 's': 1853, 't': 2564, 'u': 904, 'v': 296, 'w': 351, 'x': 83, 'y': 307, 'z': 27}",2020,4,17,jqvnzvmzjqh,29942,Base Module,VR-56 Base Module
Tekno,Ground,"{'t': 44, 'o': 34, 'e': 28, 'r': 25, 'a': 24, 'i': 21, 's': 19, 'n': 19, 'l': 16, 'c': 14, 'h': 13, 'd': 9, 'm': 8, 'f': 7, 'g': 7, 'v': 6, '2': 6, '0': 6, 'p': 6, 'u': 5, 'b': 3, '5': 3, '8': 3, 'y': 3, '1': 3, '6': 2, '4': 1, 'z': 1, 'w': 1, '9': 0, 'k': 0, '7': 0, 'q': 0, '3': 0, 'j': 0, 'x': 0}",2020,4,17,hsqvhzvtq,337,Space Lift,SY-22 Space Lift
Tekno,Ground,"{'t': 19, 'i': 18, 'o': 18, 'e': 17, 'n': 14, 'h': 11, 'a': 11, 'f': 10, 'g': 10, 'c': 9, 'l': 9, 's': 7, 'd': 6, 'r': 6, 'u': 5, 'm': 5, 'w': 4, '2': 3, 'p': 3, 'q': 2, '8': 2, 'v': 1, '1': 1, '9': 0, 'k': 0, '7': 0, 'b': 0, '5': 0, '6': 0, '4': 0, 'y': 0, '3': 0, 'j': 0, 'z': 0, '0': 0, 'x': 0}",2020,4,17,tvwrmmkjxt,191,Space Lift,WY-43 Space Lift
Tekno,Ground,"{'t': 29, 'e': 25, 'i': 18, 'o': 17, 'r': 16, 's': 15, 'a': 15, 'n': 14, 'h': 10, 'c': 10, 'f': 7, 'l': 6, 'p': 6, 'm': 4, 'w': 4, 'u': 2, 'v': 1, '2': 1, '8': 1, 'j': 1, '9': 0, 'k': 0, '7': 0, 'b': 0, '5': 0, 'q': 0, '6': 0, '4': 0, 'd': 0, 'g': 0, 'y': 0, '3': 0, 'z': 0, '0': 0, '1': 0, 'x': 0}",2020,4,17,ppthnrjq,202,Space Lift,RI-43 Space Lift
Tekno,Ground,"{'o': 65, 'e': 47, 'n': 45, 't': 44, 'c': 38, 'i': 38, 'a': 34, 'f': 29, 'h': 24, 'l': 24, 'r': 24, 'g': 23, 's': 20, '1': 18, 'd': 17, 'v': 10, '2': 10, 'u': 9, 'm': 9, '8': 7, '3': 7, '0': 7, 'p': 7, '9': 6, 'b': 6, '5': 6, 'w': 5, 'k': 3, 'q': 1, '4': 1, '7': 0, '6': 0, 'y': 0, 'j': 0, 'z': 0, 'x': 0}",2020,4,17,rvhnkrzvhw,584,Space Lift,TH-42 Space Lift
Tekno,Ground,"{'a': 31, 'e': 30, 'o': 28, 'n': 26, 't': 25, '0': 22, 'l': 21, 'i': 20, 'c': 18, 'r': 18, 's': 15, 'f': 12, '1': 12, 'd': 11, 'h': 10, 'm': 10, '2': 9, '3': 8, 'u': 7, '8': 7, '6': 6, 'g': 6, 'v': 5, 'p': 5, '7': 3, 'b': 3, '5': 3, '4': 3, '9': 2, 'k': 1, 'q': 1, 'w': 1, 'x': 1, 'y': 0, 'j': 0, 'z': 0}",2020,4,17,mqlvtskzqjrtpzq,380,Space Lift,YW-16 Space Lift
Tekno,Ground,"{'t': 40, 'o': 32, 'e': 30, 'i': 25, 'a': 25, 'n': 22, 'r': 22, 's': 21, 'l': 18, 'c': 12, 'h': 11, 'm': 9, 'f': 8, 'p': 8, 'g': 7, 'v': 5, 'u': 5, 'd': 5, '2': 3, '3': 3, '1': 3, 'b': 2, '5': 2, 'y': 2, '6': 1, 'w': 1, '9': 0, 'k': 0, '7': 0, 'q': 0, '8': 0, '4': 0, 'j': 0, 'z': 0, '0': 0, 'x': 0}",2020,4,17,lsvnjprvpw,322,Space Lift,YS-51 Space Lift
Tekno,Ground,"{'e': 26, 't': 24, 'o': 20, 'a': 19, 'i': 16, 'n': 12, 'd': 12, 'l': 12, 'r': 10, 'c': 9, 's': 9, 'u': 8, 'h': 7, 'v': 6, 'p': 6, 'w': 5, 'b': 4, 'g': 4, 'f': 3, '2': 2, 'm': 2, '0': 2, '4': 1, 'j': 1, '1': 1, 'x': 1, '9': 0, 'k': 0, '7': 0, '5': 0, 'q': 0, '8': 0, '6': 0, 'y': 0, '3': 0, 'z': 0}",2020,4,17,zklphpq,222,Space Lift,XT-25 Space Lift
Tekno,Ground,"{'t': 13, 'o': 12, 'a': 10, 'e': 8, 'r': 8, 's': 7, 'n': 7, 'i': 7, 'l': 7, 'f': 5, 'v': 3, 'c': 3, 'u': 3, '2': 3, 'm': 3, 'g': 3, 'h': 2, '3': 2, 'p': 2, 'b': 1, 'y': 1, '1': 1, '9': 0, 'k': 0, '7': 0, '5': 0, 'q': 0, '8': 0, '6': 0, '4': 0, 'd': 0, 'j': 0, 'z': 0, '0': 0, 'w': 0, 'x': 0}",2020,4,17,vwqqwrxqmrw,111,Space Lift,RW-15 Space Lift
Tekno,Ground,"{'n': 17, 'i': 14, 'o': 14, 'a': 13, 't': 10, 'c': 9, 'e': 9, 's': 6, 'g': 6, 'l': 5, 'f': 4, 'd': 4, 'p': 4, 'h': 3, 'r': 3, 'k': 1, 'v': 1, 'u': 1, 'm': 1, '9': 0, '7': 0, 'b': 0, '5': 0, '2': 0, 'q': 0, '8': 0, '6': 0, '4': 0, 'y': 0, '3': 0, 'j': 0, 'z': 0, '0': 0, 'w': 0, '1': 0, 'x': 0}",2020,4,17,rqnpjnknzlswzzwj,125,Space Lift,XH-25 Space Lift
Tekno,Ground,"{'t': 21, 'e': 20, 'o': 17, 'c': 14, 'i': 14, 'h': 12, 'a': 12, 's': 10, 'f': 10, 'n': 10, 'l': 10, '1': 9, 'r': 8, 'g': 7, '3': 6, '2': 5, 'm': 5, 'd': 5, 'b': 4, 'w': 4, 'u': 3, '0': 3, 'p': 3, '5': 2, '4': 2, '9': 1, 'y': 1, 'k': 0, 'v': 0, '7': 0, 'q': 0, '8': 0, '6': 0, 'j': 0, 'z': 0, 'x': 0}",2020,4,17,tzjvzssrtpjxq,218,Space Lift,VV-32 Space Lift
Tekno,Ground,"{'t': 19, 'a': 18, 'o': 16, 'e': 15, 'c': 12, 'l': 12, 's': 11, 'r': 11, 'i': 10, 'n': 8, '2': 7, 'd': 6, 'u': 5, 'm': 5, '1': 5, '4': 4, '0': 4, 'p': 4, 'v': 3, 'b': 3, 'f': 3, 'h': 2, '5': 2, '8': 2, 'g': 2, '3': 2, '9': 1, 'k': 1, '7': 1, 'y': 1, 'x': 1, 'q': 0, '6': 0, 'j': 0, 'z': 0, 'w': 0}",2020,4,17,jstwxhwr,196,Space Lift,IV-44 Space Lift
Tekno,Ground,"{'t': 10, 'a': 10, 'r': 10, 'o': 10, 'n': 9, 'i': 8, 'c': 7, 'd': 7, 'w': 7, 's': 6, 'e': 5, 'h': 4, 'u': 4, 'y': 4, 'l': 4, 'b': 3, 'f': 2, 'm': 2, 'p': 2, 'v': 1, 'g': 1, 'j': 1, '9': 0, 'k': 0, '7': 0, '5': 0, '2': 0, 'q': 0, '8': 0, '6': 0, '4': 0, '3': 0, 'z': 0, '0': 0, '1': 0, 'x': 0}",2020,4,17,spmswjkpjwvttx,117,Space Lift,SV-22 Space Lift
