brand,file_type,counter_dict,year,month,week,module_link,budget,module_title,phase_title
Septellar,Orbit,"{'0': 802, '1': 281, '2': 364, '3': 118, '4': 132, '5': 118, '6': 82, '7': 113, '8': 62, '9': 76, 'a': 712, 'b': 92, 'c': 610, 'd': 320, 'e': 1132, 'f': 335, 'g': 182, 'h': 334, 'i': 596, 'j': 69, 'k': 56, 'l': 448, 'm': 263, 'n': 783, 'o': 909, 'p': 399, 'q': 4, 'r': 630, 's': 588, 't': 940, 'u': 267, 'v': 212, 'w': 156, 'x': 12, 'y': 82, 'z': 31}",2020,4,18,xrhswqrtslxw,12310,Gascogine-12,WX-64 Gascogine-12
Tekno,Ground,"{'s': 50, 'e': 39, 'u': 38, 'a': 37, 't': 37, 'm': 36, 'i': 35, 'o': 32, 'b': 30, 'd': 27, 'r': 26, 'l': 19, 'n': 19, '1': 15, '0': 14, 'p': 13, '2': 10, 'c': 9, 'h': 9, 'g': 5, '5': 4, 'f': 3, 'x': 3, '8': 3, '3': 3, 'w': 1, '4': 1, '6': 1, '7': 0, '9': 0, 'k': 0, 'j': 0, 'y': 0, 'q': 0, 'z': 0, 'v': 0}",2020,4,18,wrlzw,519,Gascogine-12,WR-12 Gascogine-12
Tekno,Ground,"{'e': 84, 't': 84, 'r': 78, 's': 78, 'i': 62, 'o': 61, 'a': 56, '1': 53, 'd': 49, 'm': 47, '0': 46, 'b': 46, 'n': 43, 'h': 42, 'f': 33, 'c': 33, 'u': 33, '2': 23, 'l': 21, '3': 19, '4': 18, '8': 17, '5': 17, 'p': 14, 'w': 12, '7': 10, 'g': 10, 'v': 9, '9': 8, '6': 7, 'x': 6, 'y': 6, 'k': 3, 'q': 1, 'j': 0, 'z': 0}",2020,4,18,xnmkqkjq,1129,Gascogine-12,YX-13 Gascogine-12
Tekno,Ground,"{'e': 493, 'r': 483, 'a': 365, 'i': 315, 'o': 312, 's': 311, 't': 300, 'm': 273, '0': 262, 'd': 257, 'n': 240, '1': 229, 'h': 223, 'u': 181, 'l': 179, '6': 143, 'b': 138, 'c': 124, '5': 105, 'f': 101, 'p': 101, '2': 97, 'w': 96, '9': 94, '4': 65, 'g': 61, '3': 55, 'y': 51, 'v': 39, '8': 33, '7': 32, 'x': 19, 'z': 8, 'k': 2, 'q': 1, 'j': 0}",2020,4,18,lmspqznxv,5788,Gascogine-12,RS-33 Gascogine-12
Tekno,Ground,"{'r': 35, 'i': 30, 'a': 25, 'e': 24, 'm': 23, 'f': 21, 'o': 20, 's': 19, 't': 17, 'b': 14, 'n': 12, '0': 9, 'h': 9, 'd': 9, 'u': 9, 'w': 8, 'l': 7, '2': 6, '9': 6, '5': 6, '1': 6, 'c': 4, '8': 4, '6': 4, '7': 2, 'v': 2, 'g': 2, 'p': 2, 'x': 1, '3': 1, 'k': 0, 'j': 0, 'y': 0, 'q': 0, '4': 0, 'z': 0}",2020,4,18,khvjtnprwq,337,Gascogine-12,HH-23 Gascogine-12
Tekno,Ground,"{'r': 74, 't': 56, 'a': 51, 'i': 51, 'e': 46, '0': 44, 'b': 43, 'm': 39, 'h': 36, 'o': 35, 'l': 30, '1': 29, '7': 28, 's': 27, 'u': 20, 'c': 19, '3': 19, 'd': 19, 'n': 16, 'p': 13, 'f': 9, '2': 7, 'w': 3, 'g': 3, 'x': 2, '9': 2, 'k': 2, '4': 2, '5': 2, '6': 2, 'v': 2, 'y': 1, '8': 0, 'j': 0, 'q': 0, 'z': 0}",2020,4,18,nkkzpqnkjtrvtj,732,Gascogine-12,YX-44 Gascogine-12
Tekno,Ground,"{'o': 14, 't': 8, 'l': 7, '2': 6, 'c': 5, 'r': 5, 's': 5, 'e': 4, 'h': 3, 'b': 3, 'f': 2, 'w': 2, 'n': 2, '3': 2, 'd': 2, 'm': 2, 'u': 2, 'p': 2, 'g': 1, 'a': 1, 'i': 1, '0': 0, '7': 0, 'x': 0, '9': 0, 'k': 0, '8': 0, 'j': 0, 'y': 0, 'q': 0, '4': 0, '5': 0, 'z': 0, '6': 0, 'v': 0, '1': 0}",2020,4,18,nljxstkhn,79,Gascogine-12,TH-56 Gascogine-12
Tekno,Ground,"{'s': 48, 't': 41, 'u': 40, 'e': 38, 'a': 37, 'i': 37, 'm': 35, 'b': 32, 'o': 31, 'd': 27, 'r': 26, 'l': 19, 'n': 19, '1': 19, '0': 15, 'p': 13, '2': 12, 'h': 11, 'c': 8, '8': 5, 'g': 5, '3': 4, '5': 4, 'f': 3, 'x': 3, 'k': 2, '6': 2, 'w': 1, '4': 1, '7': 0, '9': 0, 'j': 0, 'y': 0, 'q': 0, 'z': 0, 'v': 0}",2020,4,18,mtjrqq,538,Gascogine-12,RT-16 Gascogine-12
Tekno,Ground,"{'t': 86, 'e': 82, 's': 80, 'r': 79, 'o': 62, 'i': 62, 'a': 56, '1': 54, '0': 49, 'd': 49, 'b': 46, 'm': 46, 'h': 45, 'n': 44, 'f': 35, 'u': 34, 'c': 31, '2': 26, 'l': 20, '3': 20, '8': 18, '4': 18, '5': 18, 'p': 14, 'w': 13, 'g': 11, '7': 10, 'v': 9, '9': 8, '6': 7, 'x': 6, 'y': 6, 'k': 2, 'q': 1, 'j': 0, 'z': 0}",2020,4,18,pmrrtlxrj,1147,Gascogine-12,RV-55 Gascogine-12
Tekno,Ground,"{'r': 586, 'e': 570, 'a': 453, 'o': 416, 's': 386, 'i': 374, 't': 369, 'm': 325, '0': 319, 'n': 306, 'd': 295, 'h': 273, '1': 273, 'u': 213, 'l': 206, '6': 179, 'f': 176, 'b': 165, 'c': 153, 'p': 129, '2': 124, 'w': 118, '5': 118, '9': 109, '4': 88, 'g': 82, '3': 68, 'y': 60, 'v': 49, '8': 37, '7': 36, 'x': 21, 'z': 8, 'k': 3, 'q': 1, 'j': 0}",2020,4,18,kpwjhmwtll,7088,Gascogine-12,TS-41 Gascogine-12
