brand,file_type,counter_dict,year,month,week,module_link,budget,module_title,phase_title
Lunarex,Ground,"{'e': 5, 'n': 3, 'm': 2, 'r': 2, 'a': 2, 't': 2, 's': 1, 'i': 1, 'p': 1, 'g': 1, 'o': 0, '8': 0, 'q': 0, 'w': 0, 'l': 0, 'u': 0, 'h': 0, 'x': 0, '4': 0, '5': 0, 'c': 0, 'y': 0, '0': 0, '1': 0, '2': 0, 'd': 0, '6': 0, 'z': 0, '9': 0, '3': 0, 'f': 0, 'k': 0, 'v': 0, 'b': 0, 'j': 0, '7': 0}",2020,5,19,jhshjhr,20,Base Module,YS-31 Base Module
Tekno,Ground,"{'e': 39, 't': 26, 'n': 21, 's': 18, 'o': 16, 'r': 16, 'a': 13, 'i': 13, 'c': 12, 'p': 8, 'd': 8, 'm': 7, 'h': 6, 'l': 5, 'g': 5, 'w': 4, 'u': 4, 'f': 4, 'y': 3, '0': 3, '1': 3, 'b': 2, 'z': 1, 'v': 1, '8': 0, 'q': 0, 'x': 0, '4': 0, '5': 0, '2': 0, '6': 0, '9': 0, '3': 0, 'k': 0, 'j': 0, '7': 0}",2020,5,19,jnwklwml,238,Space Lift,HV-65 Space Lift
Tekno,Ground,"{'e': 34, 't': 32, 'o': 29, 's': 24, 'r': 23, 'n': 23, 'a': 22, 'c': 20, 'i': 19, 'l': 11, 'p': 10, 'f': 10, 'h': 9, 'd': 8, 'u': 7, 'w': 5, 'g': 5, 'y': 4, 'b': 4, 'm': 3, 'v': 3, '8': 2, '0': 2, 'z': 2, 'k': 2, '4': 1, '5': 1, '1': 1, '2': 1, '3': 1, 'j': 1, 'q': 0, 'x': 0, '6': 0, '9': 0, '7': 0}",2020,5,19,xzspmltzpzw,319,Space Lift,XW-62 Space Lift
Tekno,Ground,"{'e': 85, 'r': 64, 'n': 49, 't': 46, '1': 39, 'o': 34, 'a': 34, 'i': 31, 's': 30, 'c': 27, 'm': 24, 'l': 24, 'd': 20, 'u': 18, 'p': 16, '2': 14, 'g': 12, 'z': 12, '0': 11, 'h': 10, '4': 8, 'w': 7, 'b': 7, 'k': 5, '8': 4, 'x': 3, 'y': 3, 'f': 2, '6': 1, '9': 1, '3': 1, 'q': 0, '5': 0, 'v': 0, 'j': 0, '7': 0}",2020,5,19,tvnmzlmvwhq,642,Space Lift,IY-26 Space Lift
Tekno,Ground,"{'e': 19, 't': 18, 'a': 13, 'i': 13, 'n': 12, 'o': 11, 'r': 11, 'c': 9, 's': 8, 'p': 6, 'h': 5, 'f': 5, 'l': 4, 'm': 2, 'w': 2, '0': 2, '1': 2, 'u': 1, 'y': 1, 'g': 1, 'v': 1, 'j': 1, '8': 0, 'q': 0, 'x': 0, '4': 0, '5': 0, '2': 0, 'd': 0, '6': 0, 'z': 0, '9': 0, '3': 0, 'k': 0, 'b': 0, '7': 0}",2020,5,19,mzwhztnlz,147,Space Lift,YH-12 Space Lift
Tekno,Ground,"{'e': 123, 't': 92, 'n': 84, 'o': 78, 'r': 76, 'i': 75, 'a': 70, 's': 62, 'c': 51, 'p': 35, 'm': 32, 'd': 31, 'l': 28, 'u': 27, 'h': 24, '1': 24, 'g': 20, 'f': 18, 'w': 15, '0': 13, 'v': 11, 'b': 11, '5': 10, 'y': 9, '2': 9, '4': 8, 'x': 7, 'z': 7, '3': 5, '8': 4, 'q': 3, '6': 3, '9': 3, 'k': 2, 'j': 1, '7': 0}",2020,5,19,trjpmwqtzmtv,1071,Space Lift,TX-23 Space Lift
Tekno,Ground,"{'o': 10, 'r': 10, 'a': 10, 't': 10, 'n': 9, 'i': 8, 'w': 7, 'c': 7, 'd': 7, 's': 6, 'e': 5, 'l': 4, 'u': 4, 'h': 4, 'y': 4, 'b': 3, 'm': 2, 'p': 2, 'f': 2, 'g': 1, 'v': 1, 'j': 1, '8': 0, 'q': 0, 'x': 0, '4': 0, '5': 0, '0': 0, '1': 0, '2': 0, '6': 0, 'z': 0, '9': 0, '3': 0, 'k': 0, '7': 0}",2020,5,19,vkqjtpxqnkhz,117,Space Lift,XH-61 Space Lift
Tekno,Ground,"{'t': 34, 's': 27, 'o': 25, 'e': 24, 'r': 17, 'c': 16, 'a': 12, 'i': 12, 'u': 11, 'h': 11, 'n': 9, 'p': 7, 'm': 6, 'l': 6, 'f': 6, 'w': 5, 'd': 5, 'b': 3, 'y': 2, 'j': 2, 'g': 1, 'v': 1, '8': 0, 'q': 0, 'x': 0, '4': 0, '5': 0, '0': 0, '1': 0, '2': 0, '6': 0, 'z': 0, '9': 0, '3': 0, 'k': 0, '7': 0}",2020,5,19,qljlrxtqtwq,242,Space Lift,XV-53 Space Lift
Tekno,Ground,"{'o': 12, 't': 12, 'i': 10, 'e': 9, 'r': 8, 's': 8, 'n': 8, 'a': 7, 'c': 5, 'p': 5, 'd': 5, 'u': 3, 'h': 3, 'g': 3, 'f': 3, 'l': 2, 'm': 1, 'q': 1, 'w': 1, '0': 1, '1': 1, '8': 0, 'x': 0, '4': 0, '5': 0, 'y': 0, '2': 0, '6': 0, 'z': 0, '9': 0, '3': 0, 'k': 0, 'v': 0, 'b': 0, 'j': 0, '7': 0}",2020,5,19,wktrkmsqjxqmnw,108,Space Lift,SH-33 Space Lift
Tekno,Ground,"{'o': 25, 'n': 17, 'c': 17, 't': 13, 's': 8, 'a': 8, 'r': 6, 'w': 6, 'l': 6, 'h': 4, 'i': 4, 'm': 3, 'f': 3, 'j': 3, 'u': 2, 'y': 1, 'b': 1, 'e': 1, '8': 0, 'q': 0, 'x': 0, '4': 0, '5': 0, 'p': 0, '0': 0, 'g': 0, '1': 0, '2': 0, 'd': 0, '6': 0, 'z': 0, '9': 0, '3': 0, 'k': 0, 'v': 0, '7': 0}",2020,5,19,kqnzwzlmjvlrklhjvq,128,Space Lift,HS-21 Space Lift
Lunarex,Ground,"{'s': 3, 't': 3, 'l': 2, 'a': 2, 'n': 2, 'i': 2, 'o': 1, 'm': 1, 'y': 1, 'e': 1, '8': 0, 'q': 0, 'r': 0, 'w': 0, 'u': 0, 'h': 0, 'x': 0, '4': 0, '5': 0, 'c': 0, 'p': 0, '0': 0, 'g': 0, '1': 0, '2': 0, 'd': 0, '6': 0, 'z': 0, '9': 0, '3': 0, 'f': 0, 'k': 0, 'v': 0, 'b': 0, 'j': 0, '7': 0}",2020,5,19,kjjvpkrv,18,Base Module,SW-24 Base Module
Lunarex,Ground,"{'t': 4, 'g': 2, 'e': 2, 'r': 1, 's': 1, 'a': 1, 'n': 1, 'i': 1, 'd': 1, 'o': 0, '8': 0, 'm': 0, 'q': 0, 'w': 0, 'l': 0, 'u': 0, 'h': 0, 'x': 0, '4': 0, '5': 0, 'c': 0, 'p': 0, 'y': 0, '0': 0, '1': 0, '2': 0, '6': 0, 'z': 0, '9': 0, '3': 0, 'f': 0, 'k': 0, 'v': 0, 'b': 0, 'j': 0, '7': 0}",2020,5,19,wqltsmsmjqw,14,Base Module,WY-23 Base Module
Lunarex,Ground,"{'o': 2, 's': 2, 'n': 2, 'i': 2, 't': 2, 'm': 1, 'r': 1, 'a': 1, 'u': 1, 'c': 1, 'y': 1, 'g': 1, 'f': 1, 'e': 1, '8': 0, 'q': 0, 'w': 0, 'l': 0, 'h': 0, 'x': 0, '4': 0, '5': 0, 'p': 0, '0': 0, '1': 0, '2': 0, 'd': 0, '6': 0, 'z': 0, '9': 0, '3': 0, 'k': 0, 'v': 0, 'b': 0, 'j': 0, '7': 0}",2020,5,19,lxqjzkwsxjqxrkw,19,Base Module,XI-46 Base Module
Lunarex,Ground,"{'w': 2, 'i': 2, 'o': 1, 'l': 1, 'n': 1, 'd': 1, 'v': 1, 'e': 1, '8': 0, 'm': 0, 'q': 0, 'r': 0, 's': 0, 'a': 0, 'u': 0, 'h': 0, 'x': 0, '4': 0, '5': 0, 'c': 0, 'p': 0, 'y': 0, '0': 0, 'g': 0, '1': 0, 't': 0, '2': 0, '6': 0, 'z': 0, '9': 0, '3': 0, 'f': 0, 'k': 0, 'b': 0, 'j': 0, '7': 0}",2020,5,19,nxxnnpjrkjs,10,Base Module,WR-15 Base Module
Lunarex,Ground,"{'w': 2, 'o': 1, 'r': 1, 's': 1, 'a': 1, 'h': 1, 'n': 1, 'i': 1, 'c': 1, 'd': 1, 'e': 1, '8': 0, 'm': 0, 'q': 0, 'l': 0, 'u': 0, 'x': 0, '4': 0, '5': 0, 'p': 0, 'y': 0, '0': 0, 'g': 0, '1': 0, 't': 0, '2': 0, '6': 0, 'z': 0, '9': 0, '3': 0, 'f': 0, 'k': 0, 'v': 0, 'b': 0, 'j': 0, '7': 0}",2020,5,19,wvhpw,12,Base Module,RV-32 Base Module
Tekno,Ground,"{'n': 27, 'o': 23, 's': 16, 'a': 15, 'e': 15, 'c': 14, 'i': 13, 't': 13, 'r': 10, 'h': 7, 'g': 7, 'l': 6, 'u': 6, 'j': 6, 'm': 5, 'w': 5, 'p': 5, '2': 5, 'd': 4, '3': 4, '4': 3, '5': 3, '0': 3, '1': 2, 'f': 2, '8': 1, 'x': 1, 'y': 1, 'k': 1, 'v': 1, '7': 1, 'q': 0, '6': 0, 'z': 0, '9': 0, 'b': 0}",2020,5,19,rjmntlrkln,225,Space Lift,HI-34 Space Lift
FusionWave,Orbit,"{'0': 6282, '1': 5218, '2': 4200, '3': 2471, '4': 2307, '5': 3192, '6': 1723, '7': 1543, '8': 1703, '9': 1192, 'a': 15203, 'b': 2899, 'c': 9451, 'd': 8418, 'e': 24944, 'f': 4387, 'g': 4234, 'h': 7140, 'i': 16163, 'j': 462, 'k': 950, 'l': 10740, 'm': 6443, 'n': 16354, 'o': 17420, 'p': 7701, 'q': 643, 'r': 14762, 's': 16759, 't': 20429, 'u': 7256, 'v': 2566, 'w': 2908, 'x': 1006, 'y': 3346, 'z': 225}",2020,5,19,rxlmzhhkqq,252640,Base Module,XW-61 Base Module
Tekno,Ground,"{'o': 12, 't': 12, 'i': 10, 'e': 10, 'r': 8, 's': 8, 'n': 8, 'a': 7, 'p': 5, 'd': 5, 'c': 4, 'u': 3, 'h': 3, 'g': 3, 'f': 3, 'l': 2, 'm': 1, 'q': 1, 'w': 1, '0': 1, '2': 1, '8': 0, 'x': 0, '4': 0, '5': 0, 'y': 0, '1': 0, '6': 0, 'z': 0, '9': 0, '3': 0, 'k': 0, 'v': 0, 'b': 0, 'j': 0, '7': 0}",2020,5,19,lswlxxvtnpwq,108,Base Module,YR-42 Base Module
Tekno,Ground,"{'e': 86, 'r': 68, 'n': 41, 'o': 40, 's': 39, 'a': 39, 'i': 37, 't': 34, '1': 33, 'c': 29, 'm': 26, 'u': 26, 'l': 24, 'd': 22, 'p': 17, 'g': 17, '2': 16, 'z': 15, '0': 14, 'k': 10, 'w': 9, '4': 8, 'b': 8, 'h': 7, '8': 6, 'y': 6, 'f': 5, '6': 2, 'x': 1, 'v': 1, 'q': 0, '5': 0, '9': 0, '3': 0, 'j': 0, '7': 0}",2020,5,19,hhlvstvttjvpnks,686,Base Module,TI-33 Base Module
Tekno,Ground,"{'e': 25, 't': 21, 'n': 16, 'i': 16, 'r': 15, 'a': 14, 'o': 12, 's': 10, 'c': 7, 'p': 7, 'h': 6, 'l': 5, 'f': 5, 'm': 4, 'u': 3, '0': 2, '2': 2, 'd': 2, 'w': 1, 'y': 1, 'v': 1, 'j': 1, '8': 0, 'q': 0, 'x': 0, '4': 0, '5': 0, 'g': 0, '1': 0, '6': 0, 'z': 0, '9': 0, '3': 0, 'k': 0, 'b': 0, '7': 0}",2020,5,19,vqxzrvlrrq,176,Base Module,XY-24 Base Module
Tekno,Ground,"{'e': 123, 't': 104, 'i': 103, 'r': 90, 'n': 78, 'a': 76, 'o': 64, 's': 61, 'c': 51, 'm': 48, 'u': 37, 'l': 33, 'd': 32, 'h': 30, 'p': 30, 'f': 22, '0': 21, '1': 18, 'y': 17, '5': 16, 'g': 16, '2': 15, 'b': 15, '3': 14, 'w': 10, '6': 7, 'v': 7, '4': 6, '7': 6, 'x': 5, 'z': 4, 'q': 3, '9': 3, '8': 2, 'k': 2, 'j': 1}",2020,5,19,hrlswtjtrpnw,1170,Base Module,RH-36 Base Module
Tekno,Ground,"{'o': 25, 'n': 17, 'c': 17, 't': 13, 's': 8, 'a': 8, 'r': 6, 'w': 6, 'l': 6, 'h': 4, 'i': 4, 'm': 3, 'f': 3, 'j': 3, 'u': 2, 'y': 1, 'b': 1, 'e': 1, '8': 0, 'q': 0, 'x': 0, '4': 0, '5': 0, 'p': 0, '0': 0, 'g': 0, '1': 0, '2': 0, 'd': 0, '6': 0, 'z': 0, '9': 0, '3': 0, 'k': 0, 'v': 0, '7': 0}",2020,5,19,mxsrmvswvzq,128,Base Module,WS-53 Base Module
Tekno,Ground,"{'t': 34, 's': 27, 'o': 25, 'e': 24, 'r': 17, 'c': 16, 'a': 12, 'i': 12, 'u': 11, 'h': 11, 'n': 9, 'p': 7, 'm': 6, 'l': 6, 'f': 6, 'w': 5, 'd': 5, 'b': 3, 'y': 2, 'j': 2, 'g': 1, 'v': 1, '8': 0, 'q': 0, 'x': 0, '4': 0, '5': 0, '0': 0, '1': 0, '2': 0, '6': 0, 'z': 0, '9': 0, '3': 0, 'k': 0, '7': 0}",2020,5,19,pnztxpzkszsmt,242,Base Module,IR-41 Base Module
Tekno,Ground,"{'n': 27, 'o': 23, 's': 16, 'a': 15, 'e': 15, 'c': 14, 'i': 13, 't': 13, 'r': 10, 'h': 7, 'g': 7, 'l': 6, 'u': 6, 'j': 6, 'm': 5, 'w': 5, 'p': 5, '2': 5, 'd': 4, '3': 4, '4': 3, '5': 3, '0': 3, '1': 2, 'f': 2, '8': 1, 'x': 1, 'y': 1, 'k': 1, 'v': 1, '7': 1, 'q': 0, '6': 0, 'z': 0, '9': 0, 'b': 0}",2020,5,19,tzwpvxqqpmjz,225,Base Module,WV-54 Base Module
Tekno,Ground,"{'e': 30, 'a': 26, 't': 25, 'n': 24, 'o': 22, 's': 21, 'r': 20, 'i': 15, 'l': 14, 'c': 12, 'd': 12, 'u': 10, 'm': 8, 'h': 7, 'p': 7, 'f': 6, 'y': 5, 'g': 5, 'b': 3, '0': 2, '1': 2, 'v': 2, '8': 1, '2': 1, 'z': 1, '3': 1, 'q': 0, 'w': 0, 'x': 0, '4': 0, '5': 0, '6': 0, '9': 0, 'k': 0, 'j': 0, '7': 0}",2020,5,19,knslzxlwvml,282,Base Module,SY-36 Base Module
Tekno,Ground,"{'o': 10, 'r': 10, 'a': 10, 't': 10, 'n': 9, 'i': 8, 'w': 7, 'c': 7, 'd': 7, 's': 6, 'e': 5, 'l': 4, 'u': 4, 'h': 4, 'y': 4, 'b': 3, 'm': 2, 'p': 2, 'f': 2, 'g': 1, 'v': 1, 'j': 1, '8': 0, 'q': 0, 'x': 0, '4': 0, '5': 0, '0': 0, '1': 0, '2': 0, '6': 0, 'z': 0, '9': 0, '3': 0, 'k': 0, '7': 0}",2020,5,19,jmzqmpvpw,117,Base Module,HY-43 Base Module
Tekno,Ground,"{'e': 77, 't': 54, 'r': 43, 'i': 37, 'a': 33, 'n': 33, 's': 31, 'o': 25, 'm': 22, 'u': 19, 'h': 19, 'd': 19, 'l': 13, 'p': 13, 'y': 9, 'c': 8, '0': 7, 'g': 7, '2': 6, 'f': 6, 'b': 4, 'w': 2, '1': 2, 'v': 2, 'q': 1, 'x': 1, '8': 0, '4': 0, '5': 0, '6': 0, 'z': 0, '9': 0, '3': 0, 'k': 0, 'j': 0, '7': 0}",2020,5,19,snrwqhwwmtr,493,Base Module,TI-66 Base Module
