brand,file_type,counter_dict,year,month,week,module_link,budget,module_title,phase_title
CraftWarp,Orbit,"{'0': 20, '1': 38, '2': 28, '3': 18, '4': 16, '5': 21, '6': 8, '7': 11, '8': 4, '9': 10, 'a': 170, 'b': 24, 'c': 77, 'd': 52, 'e': 201, 'f': 38, 'g': 44, 'h': 49, 'i': 129, 'j': 8, 'k': 5, 'l': 111, 'm': 95, 'n': 106, 'o': 150, 'p': 73, 'q': 1, 'r': 123, 's': 131, 't': 186, 'u': 52, 'v': 21, 'w': 24, 'x': 5, 'y': 41, 'z': 3}",2016,1,53,rljnltpvxmptmrmw,2093,Gascogine-12,WW-36 Gascogine-12
CraftWarp,Orbit,"{'0': 21, '1': 33, '2': 37, '3': 18, '4': 12, '5': 23, '6': 11, '7': 12, '8': 5, '9': 10, 'a': 206, 'b': 32, 'c': 85, 'd': 59, 'e': 210, 'f': 40, 'g': 48, 'h': 47, 'i': 148, 'j': 7, 'k': 6, 'l': 123, 'm': 101, 'n': 116, 'o': 164, 'p': 91, 'q': 1, 'r': 156, 's': 104, 't': 184, 'u': 57, 'v': 24, 'w': 22, 'x': 6, 'y': 33, 'z': 1}",2016,1,53,pjvtqqkwws,2253,Gascogine-12,TR-21 Gascogine-12
CraftWarp,Orbit,"{'0': 22, '1': 29, '2': 40, '3': 17, '4': 12, '5': 26, '6': 8, '7': 11, '8': 5, '9': 10, 'a': 210, 'b': 32, 'c': 84, 'd': 62, 'e': 222, 'f': 45, 'g': 48, 'h': 50, 'i': 151, 'j': 7, 'k': 6, 'l': 126, 'm': 106, 'n': 121, 'o': 174, 'p': 93, 'q': 1, 'r': 165, 's': 104, 't': 196, 'u': 61, 'v': 25, 'w': 23, 'x': 7, 'y': 34, 'z': 1}",2016,1,53,vwwjvnmk,2334,Gascogine-12,YW-34 Gascogine-12
CraftWarp,Orbit,"{'0': 20, '1': 35, '2': 32, '3': 18, '4': 16, '5': 25, '6': 7, '7': 17, '8': 3, '9': 10, 'a': 189, 'b': 26, 'c': 79, 'd': 59, 'e': 204, 'f': 35, 'g': 48, 'h': 45, 'i': 140, 'j': 7, 'k': 5, 'l': 118, 'm': 100, 'n': 112, 'o': 154, 'p': 81, 'q': 1, 'r': 141, 's': 131, 't': 190, 'u': 53, 'v': 26, 'w': 22, 'x': 4, 'y': 42, 'z': 3}",2016,1,53,qqpsnkwjmq,2198,Gascogine-12,SW-11 Gascogine-12
CraftWarp,Orbit,"{'0': 20, '1': 17, '2': 26, '3': 5, '4': 12, '5': 10, '6': 3, '7': 8, '8': 3, '9': 3, 'a': 61, 'b': 6, 'c': 35, 'd': 18, 'e': 64, 'f': 3, 'g': 14, 'h': 25, 'i': 56, 'j': 1, 'k': 1, 'l': 45, 'm': 22, 'n': 45, 'o': 45, 'p': 30, 'q': 1, 'r': 31, 's': 37, 't': 62, 'u': 19, 'v': 15, 'w': 9, 'x': 1, 'y': 14, 'z': 0}",2016,1,53,njjkxwpxqxh,767,Gascogine-12,HR-55 Gascogine-12
CraftWarp,Orbit,"{'0': 20, '1': 18, '2': 26, '3': 4, '4': 11, '5': 10, '6': 4, '7': 6, '8': 3, '9': 4, 'a': 61, 'b': 3, 'c': 35, 'd': 15, 'e': 63, 'f': 3, 'g': 16, 'h': 25, 'i': 58, 'j': 1, 'k': 1, 'l': 44, 'm': 22, 'n': 47, 'o': 40, 'p': 30, 'q': 1, 'r': 29, 's': 39, 't': 62, 'u': 16, 'v': 15, 'w': 9, 'x': 1, 'y': 14, 'z': 0}",2016,1,53,tqrlvtvwktw,756,Gascogine-12,IV-35 Gascogine-12
CraftWarp,Orbit,"{'0': 4, '1': 11, '2': 9, '3': 6, '4': 3, '5': 3, '6': 3, '7': 0, '8': 0, '9': 1, 'a': 458, 'b': 85, 'c': 246, 'd': 194, 'e': 670, 'f': 150, 'g': 120, 'h': 193, 'i': 422, 'j': 3, 'k': 26, 'l': 244, 'm': 146, 'n': 419, 'o': 630, 'p': 157, 'q': 20, 'r': 378, 's': 335, 't': 540, 'u': 265, 'v': 71, 'w': 93, 'x': 32, 'y': 147, 'z': 8}",2016,1,53,mvzmsprw,6092,Gascogine-12,IT-32 Gascogine-12
CraftWarp,Orbit,"{'0': 18, '1': 22, '2': 12, '3': 7, '4': 6, '5': 12, '6': 1, '7': 5, '8': 1, '9': 5, 'a': 73, 'b': 8, 'c': 27, 'd': 22, 'e': 65, 'f': 10, 'g': 12, 'h': 29, 'i': 56, 'j': 1, 'k': 1, 'l': 49, 'm': 33, 'n': 43, 'o': 46, 'p': 28, 'q': 1, 'r': 35, 's': 57, 't': 69, 'u': 14, 'v': 7, 'w': 17, 'x': 3, 'y': 24, 'z': 0}",2016,1,53,lrntkzsrjw,819,Base Module,XS-15 Base Module
CraftWarp,Orbit,"{'0': 21, '1': 28, '2': 44, '3': 17, '4': 12, '5': 21, '6': 8, '7': 16, '8': 6, '9': 10, 'a': 201, 'b': 31, 'c': 83, 'd': 56, 'e': 208, 'f': 35, 'g': 52, 'h': 46, 'i': 145, 'j': 7, 'k': 6, 'l': 122, 'm': 105, 'n': 115, 'o': 171, 'p': 93, 'q': 1, 'r': 148, 's': 100, 't': 190, 'u': 55, 'v': 26, 'w': 20, 'x': 6, 'y': 36, 'z': 1}",2016,1,53,pmpwwjlhx,2242,Gascogine-12,VH-45 Gascogine-12
CraftWarp,Orbit,"{'0': 22, '1': 28, '2': 35, '3': 18, '4': 12, '5': 21, '6': 10, '7': 16, '8': 5, '9': 11, 'a': 199, 'b': 31, 'c': 88, 'd': 55, 'e': 206, 'f': 41, 'g': 44, 'h': 47, 'i': 142, 'j': 6, 'k': 6, 'l': 118, 'm': 99, 'n': 113, 'o': 166, 'p': 86, 'q': 1, 'r': 147, 's': 104, 't': 189, 'u': 57, 'v': 24, 'w': 21, 'x': 7, 'y': 33, 'z': 1}",2016,1,53,qvrzxvsjhq,2209,Gascogine-12,WV-46 Gascogine-12
