brand,file_type,counter_dict,year,month,week,module_link,budget,module_title,phase_title
CraftWarp,Orbit,"{'0': 13, '1': 15, '2': 14, '3': 6, '4': 7, '5': 4, '6': 2, '7': 2, '8': 3, '9': 4, 'a': 129, 'b': 25, 'c': 67, 'd': 43, 'e': 139, 'f': 25, 'g': 33, 'h': 44, 'i': 114, 'j': 4, 'k': 4, 'l': 88, 'm': 50, 'n': 80, 'o': 111, 'p': 54, 'q': 2, 'r': 96, 's': 127, 't': 137, 'u': 31, 'v': 18, 'w': 21, 'x': 2, 'y': 42, 'z': 0}",2017,1,52,twvxwtwqnq,1556,Gascogine-12,TR-46 Gascogine-12
Septellar,Orbit,"{'0': 102, '1': 83, '2': 58, '3': 26, '4': 41, '5': 36, '6': 22, '7': 26, '8': 12, '9': 23, 'a': 818, 'b': 143, 'c': 596, 'd': 427, 'e': 1473, 'f': 226, 'g': 198, 'h': 376, 'i': 833, 'j': 44, 'k': 90, 'l': 533, 'm': 385, 'n': 1073, 'o': 1093, 'p': 314, 'q': 30, 'r': 838, 's': 922, 't': 1217, 'u': 448, 'v': 73, 'w': 185, 'x': 50, 'y': 120, 'z': 11}",2017,1,52,mkhnqkwnhkrstrq,12945,Gascogine-12,YT-13 Gascogine-12
Septellar,Orbit,"{'0': 152, '1': 94, '2': 74, '3': 36, '4': 36, '5': 48, '6': 21, '7': 37, '8': 15, '9': 27, 'a': 901, 'b': 194, 'c': 576, 'd': 525, 'e': 1671, 'f': 287, 'g': 198, 'h': 476, 'i': 906, 'j': 43, 'k': 105, 'l': 630, 'm': 436, 'n': 1096, 'o': 1208, 'p': 342, 'q': 30, 'r': 935, 's': 1029, 't': 1402, 'u': 492, 'v': 91, 'w': 218, 'x': 78, 'y': 122, 'z': 12}",2017,1,52,nnswkprzpwxj,14543,Gascogine-12,TS-62 Gascogine-12
CraftWarp,Orbit,"{'0': 20, '1': 30, '2': 31, '3': 14, '4': 14, '5': 20, '6': 3, '7': 4, '8': 6, '9': 11, 'a': 178, 'b': 20, 'c': 85, 'd': 57, 'e': 201, 'f': 35, 'g': 53, 'h': 45, 'i': 135, 'j': 6, 'k': 5, 'l': 105, 'm': 105, 'n': 97, 'o': 139, 'p': 80, 'q': 1, 'r': 151, 's': 128, 't': 177, 'u': 49, 'v': 17, 'w': 23, 'x': 5, 'y': 42, 'z': 0}",2017,1,52,xlvqvkkhxsw,2092,Gascogine-12,HR-43 Gascogine-12
CraftWarp,Orbit,"{'0': 34, '1': 34, '2': 30, '3': 14, '4': 11, '5': 24, '6': 8, '7': 8, '8': 5, '9': 8, 'a': 236, 'b': 35, 'c': 137, 'd': 97, 'e': 280, 'f': 44, 'g': 60, 'h': 65, 'i': 216, 'j': 5, 'k': 8, 'l': 161, 'm': 103, 'n': 194, 'o': 252, 'p': 100, 'q': 0, 'r': 198, 's': 120, 't': 288, 'u': 76, 'v': 27, 'w': 42, 'x': 5, 'y': 37, 'z': 5}",2017,1,52,zqlspmkmh,2967,Gascogine-12,SR-64 Gascogine-12
CraftWarp,Orbit,"{'0': 17, '1': 16, '2': 14, '3': 8, '4': 9, '5': 7, '6': 3, '7': 4, '8': 5, '9': 6, 'a': 75, 'b': 5, 'c': 54, 'd': 22, 'e': 80, 'f': 3, 'g': 18, 'h': 41, 'i': 76, 'j': 4, 'k': 1, 'l': 50, 'm': 45, 'n': 52, 'o': 80, 'p': 34, 'q': 0, 'r': 51, 's': 90, 't': 93, 'u': 15, 'v': 9, 'w': 12, 'x': 3, 'y': 28, 'z': 1}",2017,1,52,qjnjhnmvrqtmhx,1031,Gascogine-12,IR-51 Gascogine-12
Lunarex,Orbit,"{'0': 41, '1': 89, '2': 94, '3': 57, '4': 36, '5': 27, '6': 14, '7': 24, '8': 39, '9': 27, 'a': 594, 'b': 100, 'c': 346, 'd': 266, 'e': 847, 'f': 120, 'g': 105, 'h': 168, 'i': 561, 'j': 9, 'k': 30, 'l': 319, 'm': 206, 'n': 466, 'o': 520, 'p': 221, 'q': 21, 'r': 523, 's': 413, 't': 555, 'u': 165, 'v': 152, 'w': 108, 'x': 46, 'y': 67, 'z': 6}",2017,1,52,xsxxlvshvlvq,7382,Base Module,XI-54 Base Module
Lunarex,Orbit,"{'0': 52, '1': 94, '2': 98, '3': 49, '4': 33, '5': 28, '6': 21, '7': 24, '8': 40, '9': 29, 'a': 620, 'b': 108, 'c': 360, 'd': 276, 'e': 891, 'f': 131, 'g': 110, 'h': 179, 'i': 590, 'j': 9, 'k': 30, 'l': 337, 'm': 204, 'n': 489, 'o': 549, 'p': 245, 'q': 24, 'r': 538, 's': 431, 't': 579, 'u': 187, 'v': 159, 'w': 117, 'x': 46, 'y': 68, 'z': 6}",2017,1,52,wtzlwxtvht,7751,Base Module,IV-16 Base Module
CraftWarp,Orbit,"{'0': 3, '1': 9, '2': 6, '3': 6, '4': 3, '5': 2, '6': 3, '7': 1, '8': 5, '9': 3, 'a': 330, 'b': 39, 'c': 176, 'd': 139, 'e': 623, 'f': 80, 'g': 80, 'h': 245, 'i': 336, 'j': 2, 'k': 39, 'l': 195, 'm': 152, 'n': 390, 'o': 507, 'p': 118, 'q': 5, 'r': 306, 's': 340, 't': 526, 'u': 271, 'v': 30, 'w': 77, 'x': 13, 'y': 158, 'z': 0}",2017,1,52,qjjtpsmtw,5218,Gascogine-12,IW-52 Gascogine-12
CraftWarp,Orbit,"{'0': 35, '1': 41, '2': 32, '3': 12, '4': 18, '5': 16, '6': 5, '7': 11, '8': 7, '9': 8, 'a': 623, 'b': 79, 'c': 349, 'd': 359, 'e': 1272, 'f': 247, 'g': 220, 'h': 419, 'i': 734, 'j': 24, 'k': 32, 'l': 360, 'm': 314, 'n': 676, 'o': 762, 'p': 242, 'q': 14, 'r': 594, 's': 609, 't': 1008, 'u': 368, 'v': 90, 'w': 134, 'x': 57, 'y': 178, 'z': 4}",2017,1,52,kznlklwpk,9953,External Tank,XI-31 External Tank
