brand,file_type,counter_dict,year,month,week,module_link,budget,module_title,phase_title
Tekno,Ground,"{'e': 47, 't': 39, 's': 30, 'i': 26, 'n': 26, 'a': 26, 'c': 24, 'o': 23, 'l': 17, 'r': 13, 'h': 12, 'd': 10, 'w': 9, 'p': 9, 'u': 7, 'b': 7, 'y': 7, 'm': 6, 'k': 6, 'g': 6, 'v': 2, 'f': 1, 'x': 1, '3': 0, '4': 0, '6': 0, '8': 0, '0': 0, 'q': 0, '2': 0, '1': 0, 'z': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2018,1,1,llqnhkpkqvp,354,Gascogine-12,XY-31 Gascogine-12
Tekno,Ground,"{'e': 47, 'd': 24, 't': 24, 's': 22, 'n': 21, 'r': 20, 'a': 17, 'i': 15, 'o': 13, 'c': 11, 'h': 9, 'b': 7, 'p': 7, 'l': 6, 'w': 5, 'k': 4, 'g': 4, 'f': 4, 'm': 3, 'u': 3, 'y': 2, 'v': 1, '3': 0, '4': 0, '6': 0, '8': 0, '0': 0, 'q': 0, '2': 0, '1': 0, 'x': 0, 'z': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2018,1,1,mzkhlnxmnwwzw,269,Gascogine-12,YW-62 Gascogine-12
Tekno,Ground,"{'e': 131, 't': 104, 'a': 100, 'i': 79, 'n': 76, 'r': 67, 'o': 61, 'd': 57, 's': 51, 'c': 50, 'l': 35, 'h': 32, 'b': 32, 'g': 29, 'u': 26, 'm': 20, 'f': 19, 'p': 14, 'v': 10, 'w': 9, 'y': 7, 'k': 4, 'q': 2, '8': 1, 'x': 1, '3': 0, '4': 0, '6': 0, '0': 0, '2': 0, '1': 0, 'z': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2018,1,1,mrthmskjz,1017,Gascogine-12,IV-61 Gascogine-12
Tekno,Ground,"{'e': 77, 't': 71, 'a': 49, 'o': 48, 's': 45, 'i': 44, 'r': 42, 'c': 41, 'l': 36, 'n': 35, 'h': 27, 'u': 25, 'd': 20, 'f': 11, 'v': 10, 'y': 10, 'w': 8, 'g': 8, 'p': 8, 'm': 5, 'b': 4, 'k': 1, '3': 0, '4': 0, '6': 0, '8': 0, '0': 0, 'q': 0, '2': 0, '1': 0, 'x': 0, 'z': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2018,1,1,kzjhxqww,625,Gascogine-12,YI-44 Gascogine-12
Tekno,Ground,"{'t': 45, 'o': 43, 'a': 40, 'n': 39, 'e': 35, 'c': 34, 'i': 27, 'u': 22, 'd': 19, 'r': 19, 'l': 16, 's': 16, 'm': 14, 'f': 13, 'h': 11, 'p': 9, 'y': 8, 'b': 7, 'w': 4, 'g': 4, '1': 4, '2': 3, '0': 2, 'k': 1, 'x': 1, 'z': 1, '3': 0, '4': 0, '6': 0, 'v': 0, '8': 0, 'q': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2018,1,1,wrwhmjhk,437,Gascogine-12,IW-23 Gascogine-12
Tekno,Ground,"{'o': 68, 'r': 64, 'a': 64, 'e': 58, 'i': 52, 'n': 51, 't': 51, 'l': 33, 'd': 29, 's': 26, 'm': 25, 'p': 24, 'h': 20, 'u': 16, 'c': 14, 'f': 14, 'g': 11, 'w': 8, 'b': 7, 'v': 4, 'y': 3, '2': 2, '1': 2, 'z': 2, 'k': 1, '3': 0, '4': 0, '6': 0, '8': 0, '0': 0, 'q': 0, 'x': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2018,1,1,nqrkwxsnk,649,Gascogine-12,XT-51 Gascogine-12
Tekno,Ground,"{'t': 133, 'e': 128, 'a': 83, 'o': 64, 'i': 59, 'n': 58, 's': 55, 'c': 51, 'r': 39, 'd': 32, 'h': 32, 'u': 30, 'p': 26, 'l': 21, 'v': 17, 'w': 14, 'g': 14, 'y': 13, 'm': 12, 'b': 11, 'f': 10, 'k': 3, 'x': 1, '3': 0, '4': 0, '6': 0, '8': 0, '0': 0, 'q': 0, '2': 0, '1': 0, 'z': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2018,1,1,pjvmkshjr,906,Gascogine-12,YH-21 Gascogine-12
Tekno,Ground,"{'a': 81, 't': 81, 'e': 76, 'n': 73, 'o': 72, 'i': 50, 'r': 49, 's': 46, 'c': 32, 'u': 27, 'l': 26, 'h': 21, 'y': 20, 'g': 18, 'd': 17, 'm': 17, 'p': 17, 'w': 10, 'v': 9, 'b': 7, 'f': 7, 'x': 5, 'k': 1, '2': 1, '3': 0, '4': 0, '6': 0, '8': 0, '0': 0, 'q': 0, '1': 0, 'z': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2018,1,1,swpvvsnptrw,763,Gascogine-12,XH-32 Gascogine-12
Tekno,Ground,"{'e': 41, 't': 33, 'n': 28, 'd': 23, 'i': 23, 'a': 22, 'o': 19, 'h': 16, 'c': 16, 'l': 12, 's': 12, 'w': 10, 'm': 8, 'u': 7, 'b': 6, 'r': 5, 'f': 5, 'p': 5, 'y': 4, 'v': 3, 'k': 3, 'x': 3, 'g': 1, '3': 0, '4': 0, '6': 0, '8': 0, '0': 0, 'q': 0, '2': 0, '1': 0, 'z': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2018,1,1,wprxxpsmpzq,305,Gascogine-12,YR-14 Gascogine-12
Tekno,Ground,"{'e': 76, 's': 36, 'l': 35, 'a': 35, 't': 34, 'n': 29, 'o': 28, 'i': 27, 'r': 21, 'h': 18, 'c': 18, 'd': 17, 'g': 17, 'y': 13, 'p': 13, 'u': 11, 'm': 10, 'w': 6, 'b': 6, 'f': 3, 'v': 2, 'k': 2, 'x': 1, '3': 0, '4': 0, '6': 0, '8': 0, '0': 0, 'q': 0, '2': 0, '1': 0, 'z': 0, '7': 0, 'j': 0, '9': 0, '5': 0}",2018,1,1,tjvrwsqpm,458,Gascogine-12,RT-61 Gascogine-12
