brand,file_type,counter_dict,year,month,week,module_link,budget,module_title,phase_title
Astronomo,Orbit,"{'0': 2924, '1': 2316, '2': 1595, '3': 919, '4': 1258, '5': 1742, '6': 468, '7': 320, '8': 352, '9': 313, 'a': 4624, 'b': 680, 'c': 2324, 'd': 2067, 'e': 7016, 'f': 987, 'g': 896, 'h': 1555, 'i': 3961, 'j': 38, 'k': 170, 'l': 2663, 'm': 1492, 'n': 3556, 'o': 3313, 'p': 2214, 'q': 76, 'r': 3929, 's': 3253, 't': 4688, 'u': 1446, 'v': 1296, 'w': 615, 'x': 431, 'y': 788, 'z': 109}",2019,1,1,ttplqrzkv,66394,Base Module,IR-16 Base Module
Lunarex,Orbit,"{'0': 370, '1': 123, '2': 120, '3': 62, '4': 126, '5': 25, '6': 94, '7': 9, '8': 142, '9': 4, 'a': 72, 'b': 8, 'c': 38, 'd': 188, 'e': 164, 'f': 27, 'g': 19, 'h': 25, 'i': 111, 'j': 2, 'k': 2, 'l': 95, 'm': 23, 'n': 60, 'o': 59, 'p': 67, 'q': 5, 'r': 55, 's': 57, 't': 367, 'u': 31, 'v': 8, 'w': 11, 'x': 6, 'y': 9, 'z': 3}",2019,1,1,jnnzlztrrnq,2587,Base Module,WI-21 Base Module
Lunarex,Orbit,"{'0': 590, '1': 233, '2': 248, '3': 155, '4': 779, '5': 39, '6': 245, '7': 17, '8': 472, '9': 3, 'a': 485, 'b': 12, 'c': 73, 'd': 44, 'e': 291, 'f': 27, 'g': 11, 'h': 28, 'i': 172, 'j': 1, 'k': 2, 'l': 209, 'm': 33, 'n': 75, 'o': 83, 'p': 131, 'q': 9, 'r': 471, 's': 72, 't': 454, 'u': 45, 'v': 8, 'w': 16, 'x': 10, 'y': 12, 'z': 3}",2019,1,1,llstwnsrkk,5558,Base Module,XS-55 Base Module
Lunarex,Orbit,"{'0': 271, '1': 129, '2': 254, '3': 97, '4': 92, '5': 25, '6': 106, '7': 9, '8': 144, '9': 3, 'a': 219, 'b': 6, 'c': 37, 'd': 33, 'e': 167, 'f': 167, 'g': 11, 'h': 19, 'i': 111, 'j': 1, 'k': 1, 'l': 97, 'm': 23, 'n': 58, 'o': 60, 'p': 62, 'q': 5, 'r': 55, 's': 43, 't': 191, 'u': 29, 'v': 8, 'w': 10, 'x': 6, 'y': 9, 'z': 3}",2019,1,1,smlvpplvw,2561,Base Module,SV-12 Base Module
Astronomo,Orbit,"{'0': 3850, '1': 3339, '2': 2308, '3': 1456, '4': 1723, '5': 2251, '6': 684, '7': 483, '8': 451, '9': 508, 'a': 4842, 'b': 706, 'c': 2177, 'd': 2114, 'e': 6971, 'f': 1035, 'g': 1018, 'h': 1527, 'i': 4156, 'j': 41, 'k': 202, 'l': 2821, 'm': 1555, 'n': 3640, 'o': 3449, 'p': 2602, 'q': 69, 'r': 4215, 's': 3476, 't': 4781, 'u': 1443, 'v': 1483, 'w': 750, 'x': 633, 'y': 883, 'z': 93}",2019,1,1,spljqnvvq,73735,Base Module,VT-65 Base Module
Lunarex,Orbit,"{'0': 283, '1': 118, '2': 260, '3': 80, '4': 107, '5': 26, '6': 73, '7': 9, '8': 130, '9': 4, 'a': 233, 'b': 12, 'c': 43, 'd': 32, 'e': 156, 'f': 23, 'g': 16, 'h': 25, 'i': 120, 'j': 2, 'k': 3, 'l': 92, 'm': 24, 'n': 69, 'o': 67, 'p': 76, 'q': 5, 'r': 209, 's': 54, 't': 184, 'u': 35, 'v': 8, 'w': 14, 'x': 6, 'y': 9, 'z': 3}",2019,1,1,whxlkqxp,2610,Base Module,RT-21 Base Module
Astronomo,Orbit,"{'0': 113, '1': 224, '2': 118, '3': 86, '4': 126, '5': 67, '6': 104, '7': 60, '8': 55, '9': 35, 'a': 984, 'b': 153, 'c': 573, 'd': 462, 'e': 1706, 'f': 321, 'g': 247, 'h': 430, 'i': 1090, 'j': 19, 'k': 173, 'l': 741, 'm': 329, 'n': 995, 'o': 862, 'p': 491, 'q': 35, 'r': 1037, 's': 807, 't': 1147, 'u': 258, 'v': 137, 'w': 193, 'x': 56, 'y': 174, 'z': 23}",2019,1,1,qxwsmmwrsk,14431,Base Module,SY-25 Base Module
Astronomo,Orbit,"{'0': 776, '1': 641, '2': 398, '3': 244, '4': 261, '5': 326, '6': 251, '7': 165, '8': 149, '9': 101, 'a': 1209, 'b': 235, 'c': 624, 'd': 612, 'e': 1633, 'f': 268, 'g': 324, 'h': 336, 'i': 1097, 'j': 76, 'k': 71, 'l': 608, 'm': 389, 'n': 1216, 'o': 1068, 'p': 625, 'q': 22, 'r': 869, 's': 948, 't': 1451, 'u': 341, 'v': 280, 'w': 222, 'x': 90, 'y': 224, 'z': 18}",2019,1,1,pxwtmjsln,18168,Base Module,SV-12 Base Module
CraftWarp,Orbit,"{'0': 30, '1': 37, '2': 35, '3': 6, '4': 17, '5': 16, '6': 8, '7': 9, '8': 5, '9': 10, 'a': 170, 'b': 26, 'c': 77, 'd': 58, 'e': 193, 'f': 16, 'g': 36, 'h': 69, 'i': 158, 'j': 3, 'k': 4, 'l': 109, 'm': 78, 'n': 113, 'o': 132, 'p': 77, 'q': 2, 'r': 103, 's': 113, 't': 171, 'u': 39, 'v': 42, 'w': 33, 'x': 9, 'y': 25, 'z': 0}",2019,1,1,slqsvnssxvwmv,2029,Gascogine-12,RY-22 Gascogine-12
Astronomo,Orbit,"{'0': 29, '1': 66, '2': 35, '3': 17, '4': 17, '5': 29, '6': 12, '7': 8, '8': 0, '9': 15, 'a': 428, 'b': 58, 'c': 212, 'd': 180, 'e': 635, 'f': 153, 'g': 84, 'h': 171, 'i': 482, 'j': 9, 'k': 21, 'l': 231, 'm': 184, 'n': 446, 'o': 369, 'p': 174, 'q': 18, 'r': 351, 's': 353, 't': 525, 'u': 136, 'v': 35, 'w': 78, 'x': 9, 'y': 91, 'z': 60}",2019,1,1,vlhrnsjjzktw,5721,Base Module,WV-42 Base Module
Lunarex,Orbit,"{'0': 25, '1': 44, '2': 18, '3': 31, '4': 39, '5': 28, '6': 10, '7': 16, '8': 28, '9': 0, 'a': 287, 'b': 25, 'c': 127, 'd': 139, 'e': 370, 'f': 48, 'g': 55, 'h': 101, 'i': 240, 'j': 1, 'k': 11, 'l': 106, 'm': 120, 'n': 187, 'o': 201, 'p': 79, 'q': 26, 'r': 167, 's': 189, 't': 269, 'u': 78, 'v': 39, 'w': 41, 'x': 26, 'y': 19, 'z': 3}",2019,1,1,lzllrwphjmwnw,3193,Gascogine-12,XW-14 Gascogine-12
Accelena,Orbit,"{'0': 132, '1': 96, '2': 102, '3': 38, '4': 43, '5': 35, '6': 14, '7': 17, '8': 29, '9': 15, 'a': 492, 'b': 108, 'c': 360, 'd': 287, 'e': 890, 'f': 130, 'g': 123, 'h': 261, 'i': 453, 'j': 43, 'k': 82, 'l': 301, 'm': 199, 'n': 446, 'o': 511, 'p': 216, 'q': 15, 'r': 496, 's': 451, 't': 688, 'u': 260, 'v': 127, 'w': 93, 'x': 55, 'y': 101, 'z': 19}",2019,1,1,skltqkwmqqzsv,7728,Gascogine-12,VY-56 Gascogine-12
FusionWave,Orbit,"{'0': 7074, '1': 4943, '2': 4431, '3': 2979, '4': 2475, '5': 3370, '6': 1771, '7': 1750, '8': 2060, '9': 2117, 'a': 3019, 'b': 1035, 'c': 1314, 'd': 1022, 'e': 3041, 'f': 995, 'g': 825, 'h': 697, 'i': 2026, 'j': 103, 'k': 279, 'l': 1758, 'm': 1182, 'n': 2221, 'o': 2425, 'p': 1196, 'q': 77, 'r': 2071, 's': 2175, 't': 2466, 'u': 853, 'v': 451, 'w': 446, 'x': 293, 'y': 317, 'z': 138}",2019,1,1,rzpvsqqpsh,65395,Base Module,YY-42 Base Module
FusionWave,Orbit,"{'0': 2199, '1': 3145, '2': 1973, '3': 1586, '4': 1596, '5': 1195, '6': 1173, '7': 853, '8': 1087, '9': 1049, 'a': 5142, 'b': 1222, 'c': 3142, 'd': 2634, 'e': 8142, 'f': 1479, 'g': 1443, 'h': 2265, 'i': 4948, 'j': 108, 'k': 247, 'l': 3548, 'm': 1869, 'n': 4764, 'o': 5196, 'p': 2065, 'q': 112, 'r': 4831, 's': 4313, 't': 5662, 'u': 1512, 'v': 872, 'w': 1021, 'x': 223, 'y': 734, 'z': 153}",2019,1,1,nkxwhmlwq,83503,Base Module,XY-34 Base Module
Accelena,Orbit,"{'0': 154, '1': 46, '2': 77, '3': 12, '4': 59, '5': 27, '6': 5, '7': 19, '8': 30, '9': 142, 'a': 661, 'b': 119, 'c': 242, 'd': 280, 'e': 746, 'f': 147, 'g': 134, 'h': 185, 'i': 641, 'j': 6, 'k': 39, 'l': 421, 'm': 247, 'n': 533, 'o': 523, 'p': 206, 'q': 14, 'r': 448, 's': 492, 't': 640, 'u': 248, 'v': 68, 'w': 73, 'x': 38, 'y': 28, 'z': 5}",2019,1,1,hvltzthhj,7755,Base Module,RX-61 Base Module
