brand,file_type,counter_dict,year,month,week,module_link,budget,module_title,phase_title
Accelena,Orbit,"{'0': 304, '1': 239, '2': 215, '3': 92, '4': 129, '5': 78, '6': 58, '7': 65, '8': 108, '9': 83, 'a': 752, 'b': 237, 'c': 373, 'd': 243, 'e': 1081, 'f': 152, 'g': 135, 'h': 233, 'i': 637, 'j': 2, 'k': 20, 'l': 368, 'm': 275, 'n': 519, 'o': 427, 'p': 234, 'q': 20, 'r': 625, 's': 514, 't': 781, 'u': 182, 'v': 53, 'w': 88, 'x': 72, 'y': 211, 'z': 10}",2020,2,6,xsmnvljszw,9615,Base Module,XR-14 Base Module
Stellaris,Orbit,"{'0': 112, '1': 137, '2': 92, '3': 46, '4': 42, '5': 99, '6': 30, '7': 19, '8': 21, '9': 20, 'a': 315, 'b': 112, 'c': 197, 'd': 143, 'e': 570, 'f': 65, 'g': 59, 'h': 83, 'i': 333, 'j': 8, 'k': 45, 'l': 148, 'm': 163, 'n': 296, 'o': 243, 'p': 67, 'q': 33, 'r': 302, 's': 259, 't': 321, 'u': 134, 'v': 72, 'w': 14, 'x': 12, 'y': 34, 'z': 61}",2020,2,6,zkqmzsztmxvv,4707,Base Module,TS-23 Base Module
Accelena,Orbit,"{'0': 152, '1': 97, '2': 89, '3': 26, '4': 59, '5': 13, '6': 24, '7': 18, '8': 35, '9': 23, 'a': 467, 'b': 105, 'c': 253, 'd': 193, 'e': 606, 'f': 88, 'g': 82, 'h': 117, 'i': 361, 'j': 5, 'k': 14, 'l': 218, 'm': 141, 'n': 311, 'o': 297, 'p': 145, 'q': 12, 'r': 391, 's': 303, 't': 499, 'u': 146, 'v': 49, 'w': 50, 'x': 26, 'y': 69, 'z': 5}",2020,2,6,zzhtss,5489,Base Module,XS-21 Base Module
Tekno,Orbit,"{'0': 305, '1': 279, '2': 185, '3': 114, '4': 118, '5': 143, '6': 69, '7': 52, '8': 51, '9': 120, 'a': 1084, 'b': 170, 'c': 710, 'd': 545, 'e': 1717, 'f': 503, 'g': 225, 'h': 508, 'i': 1005, 'j': 17, 'k': 109, 'l': 523, 'm': 437, 'n': 1029, 'o': 1314, 'p': 547, 'q': 10, 'r': 1063, 's': 794, 't': 1409, 'u': 464, 'v': 212, 'w': 171, 'x': 57, 'y': 208, 'z': 31}",2020,2,6,mplmjlrrw,16298,Gascogine-12,SI-25 Gascogine-12
CraftWarp,Orbit,"{'0': 55, '1': 43, '2': 33, '3': 54, '4': 21, '5': 15, '6': 11, '7': 12, '8': 13, '9': 10, 'a': 506, 'b': 71, 'c': 294, 'd': 254, 'e': 618, 'f': 218, 'g': 102, 'h': 171, 'i': 453, 'j': 8, 'k': 24, 'l': 271, 'm': 172, 'n': 489, 'o': 478, 'p': 194, 'q': 17, 'r': 428, 's': 379, 't': 476, 'u': 178, 'v': 45, 'w': 52, 'x': 21, 'y': 83, 'z': 10}",2020,2,6,mlzrthhzprw,6279,Base Module,XH-34 Base Module
CraftWarp,Orbit,"{'0': 52, '1': 41, '2': 32, '3': 20, '4': 10, '5': 15, '6': 52, '7': 10, '8': 9, '9': 8, 'a': 506, 'b': 65, 'c': 295, 'd': 254, 'e': 622, 'f': 211, 'g': 101, 'h': 170, 'i': 455, 'j': 8, 'k': 25, 'l': 267, 'm': 170, 'n': 490, 'o': 480, 'p': 198, 'q': 17, 'r': 430, 's': 379, 't': 475, 'u': 180, 'v': 44, 'w': 54, 'x': 22, 'y': 82, 'z': 10}",2020,2,6,znhppmq,6259,Base Module,YT-16 Base Module
CraftWarp,Orbit,"{'0': 53, '1': 41, '2': 30, '3': 14, '4': 9, '5': 22, '6': 48, '7': 11, '8': 13, '9': 12, 'a': 481, 'b': 75, 'c': 306, 'd': 221, 'e': 627, 'f': 200, 'g': 97, 'h': 149, 'i': 465, 'j': 8, 'k': 23, 'l': 259, 'm': 155, 'n': 500, 'o': 535, 'p': 222, 'q': 13, 'r': 454, 's': 358, 't': 493, 'u': 174, 'v': 44, 'w': 51, 'x': 33, 'y': 61, 'z': 11}",2020,2,6,zspjlmwrxp,6268,Base Module,RR-16 Base Module
CraftWarp,Orbit,"{'0': 53, '1': 104, '2': 35, '3': 14, '4': 9, '5': 24, '6': 12, '7': 6, '8': 13, '9': 10, 'a': 573, 'b': 70, 'c': 353, 'd': 275, 'e': 738, 'f': 220, 'g': 113, 'h': 185, 'i': 517, 'j': 9, 'k': 53, 'l': 319, 'm': 219, 'n': 566, 'o': 577, 'p': 234, 'q': 20, 'r': 522, 's': 438, 't': 578, 'u': 235, 'v': 55, 'w': 59, 'x': 46, 'y': 76, 'z': 14}",2020,2,6,prjvtzxwqvk,7344,Base Module,RW-56 Base Module
CraftWarp,Orbit,"{'0': 273, '1': 173, '2': 100, '3': 59, '4': 34, '5': 63, '6': 69, '7': 24, '8': 32, '9': 20, 'a': 307, 'b': 63, 'c': 110, 'd': 104, 'e': 357, 'f': 139, 'g': 120, 'h': 121, 'i': 327, 'j': 91, 'k': 20, 'l': 167, 'm': 205, 'n': 390, 'o': 300, 'p': 131, 'q': 5, 'r': 241, 's': 240, 't': 293, 'u': 87, 'v': 35, 'w': 32, 'x': 32, 'y': 22, 'z': 2}",2020,2,6,lhnlvtjvmq,4788,Base Module,SI-52 Base Module
CraftWarp,Orbit,"{'0': 55, '1': 44, '2': 30, '3': 51, '4': 9, '5': 22, '6': 13, '7': 10, '8': 17, '9': 7, 'a': 482, 'b': 76, 'c': 315, 'd': 227, 'e': 636, 'f': 204, 'g': 97, 'h': 149, 'i': 474, 'j': 8, 'k': 23, 'l': 261, 'm': 159, 'n': 506, 'o': 549, 'p': 229, 'q': 13, 'r': 466, 's': 363, 't': 503, 'u': 179, 'v': 44, 'w': 51, 'x': 33, 'y': 61, 'z': 11}",2020,2,6,vxkvjvtvvxj,6377,Base Module,HH-66 Base Module
