brand,file_type,counter_dict,year,month,week,module_link,budget,module_title,phase_title
Septellar,Orbit,"{'0': 341, '1': 189, '2': 161, '3': 72, '4': 59, '5': 100, '6': 53, '7': 25, '8': 31, '9': 37, 'a': 984, 'b': 236, 'c': 621, 'd': 735, 'e': 1218, 'f': 172, 'g': 104, 'h': 288, 'i': 738, 'j': 34, 'k': 293, 'l': 519, 'm': 494, 'n': 783, 'o': 742, 'p': 590, 'q': 12, 'r': 977, 's': 670, 't': 923, 'u': 296, 'v': 74, 'w': 99, 'x': 58, 'y': 55, 'z': 7}",1999,12,52,vtqslmkwzw,12790,Ship Module,YY-11 Ship Module
FusionWave,Orbit,"{'0': 169, '1': 214, '2': 163, '3': 100, '4': 99, '5': 136, '6': 77, '7': 26, '8': 25, '9': 34, 'a': 591, 'b': 94, 'c': 380, 'd': 281, 'e': 913, 'f': 212, 'g': 109, 'h': 256, 'i': 501, 'j': 10, 'k': 32, 'l': 439, 'm': 341, 'n': 572, 'o': 868, 'p': 373, 'q': 12, 'r': 801, 's': 548, 't': 759, 'u': 241, 'v': 82, 'w': 185, 'x': 22, 'y': 99, 'z': 15}",1999,12,52,pwmwjqm,9779,Base Module,SR-42 Base Module
FusionWave,Orbit,"{'0': 216, '1': 219, '2': 157, '3': 94, '4': 107, '5': 147, '6': 78, '7': 30, '8': 38, '9': 48, 'a': 591, 'b': 126, 'c': 405, 'd': 304, 'e': 853, 'f': 200, 'g': 120, 'h': 219, 'i': 579, 'j': 6, 'k': 68, 'l': 464, 'm': 252, 'n': 572, 'o': 737, 'p': 296, 'q': 17, 'r': 722, 's': 548, 't': 768, 'u': 253, 'v': 47, 'w': 182, 'x': 18, 'y': 101, 'z': 19}",1999,12,52,qltjk,9601,Base Module,WT-56 Base Module
FusionWave,Orbit,"{'0': 714, '1': 478, '2': 308, '3': 240, '4': 378, '5': 438, '6': 260, '7': 78, '8': 124, '9': 62, 'a': 898, 'b': 208, 'c': 904, 'd': 590, 'e': 1448, 'f': 340, 'g': 238, 'h': 466, 'i': 902, 'j': 30, 'k': 84, 'l': 788, 'm': 418, 'n': 1024, 'o': 1378, 'p': 562, 'q': 34, 'r': 1226, 's': 828, 't': 1232, 'u': 470, 'v': 424, 'w': 334, 'x': 24, 'y': 170, 'z': 114}",1999,12,52,tkqnlsvm,18214,Base Module,XY-62 Base Module
Sistema,Orbit,"{'0': 64, '1': 149, '2': 104, '3': 102, '4': 60, '5': 65, '6': 61, '7': 33, '8': 30, '9': 34, 'a': 3198, 'b': 867, 'c': 1463, 'd': 1819, 'e': 5133, 'f': 1191, 'g': 1125, 'h': 1801, 'i': 3514, 'j': 64, 'k': 187, 'l': 1809, 'm': 1318, 'n': 2925, 'o': 3426, 'p': 1072, 'q': 25, 'r': 2794, 's': 2834, 't': 4266, 'u': 1258, 'v': 271, 'w': 902, 'x': 216, 'y': 956, 'z': 16}",1999,12,52,vsltvhwhmnrnmvm,45152,Ship Module,WV-51 Ship Module
FusionWave,Orbit,"{'0': 4745, '1': 8692, '2': 4374, '3': 3279, '4': 1947, '5': 2211, '6': 1595, '7': 1701, '8': 1343, '9': 994, 'a': 16463, 'b': 2654, 'c': 19630, 'd': 17921, 'e': 27382, 'f': 4776, 'g': 4112, 'h': 7986, 'i': 26020, 'j': 133, 'k': 1202, 'l': 10905, 'm': 6985, 'n': 15102, 'o': 18267, 'p': 6974, 'q': 480, 'r': 17011, 's': 16139, 't': 21289, 'u': 7043, 'v': 2028, 'w': 3024, 'x': 524, 'y': 3451, 'z': 254}",1999,12,52,mtvpjwhtjplqt,288636,Base Module,VH-26 Base Module
FusionWave,Orbit,"{'0': 605, '1': 569, '2': 454, '3': 220, '4': 195, '5': 354, '6': 114, '7': 190, '8': 169, '9': 82, 'a': 777, 'b': 121, 'c': 509, 'd': 421, 'e': 1038, 'f': 218, 'g': 211, 'h': 171, 'i': 793, 'j': 6, 'k': 89, 'l': 673, 'm': 322, 'n': 827, 'o': 738, 'p': 365, 'q': 24, 'r': 732, 's': 604, 't': 793, 'u': 313, 'v': 77, 'w': 145, 'x': 61, 'y': 225, 'z': 16}",1999,12,52,jshph,13221,Base Module,HY-13 Base Module
Sistema,Orbit,"{'0': 467, '1': 513, '2': 953, '3': 167, '4': 162, '5': 232, '6': 129, '7': 87, '8': 72, '9': 86, 'a': 3188, 'b': 1100, 'c': 2662, 'd': 1884, 'e': 6834, 'f': 1173, 'g': 974, 'h': 1858, 'i': 3907, 'j': 47, 'k': 225, 'l': 2031, 'm': 1748, 'n': 4741, 'o': 4270, 'p': 1063, 'q': 50, 'r': 3358, 's': 3525, 't': 4948, 'u': 2026, 'v': 516, 'w': 821, 'x': 156, 'y': 460, 'z': 21}",1999,12,52,kxzxthml,56454,Ship Module,VH-12 Ship Module
FusionWave,Orbit,"{'0': 1013, '1': 1403, '2': 1048, '3': 810, '4': 784, '5': 789, '6': 618, '7': 471, '8': 598, '9': 483, 'a': 5549, 'b': 1294, 'c': 3237, 'd': 2891, 'e': 9780, 'f': 1904, 'g': 1590, 'h': 2868, 'i': 6014, 'j': 41, 'k': 373, 'l': 4077, 'm': 1807, 'n': 5090, 'o': 5965, 'p': 2137, 'q': 175, 'r': 6102, 's': 5021, 't': 6587, 'u': 1825, 'v': 971, 'w': 815, 'x': 113, 'y': 820, 'z': 80}",1999,12,52,rjxzkmtlthxm,85143,Base Module,HH-65 Base Module
Septellar,Orbit,"{'0': 55, '1': 46, '2': 36, '3': 16, '4': 17, '5': 20, '6': 14, '7': 5, '8': 14, '9': 20, 'a': 246, 'b': 54, 'c': 200, 'd': 185, 'e': 407, 'f': 56, 'g': 76, 'h': 158, 'i': 333, 'j': 8, 'k': 38, 'l': 190, 'm': 94, 'n': 313, 'o': 323, 'p': 165, 'q': 4, 'r': 241, 's': 238, 't': 371, 'u': 108, 'v': 35, 'w': 61, 'x': 23, 'y': 27, 'z': 1}",1999,12,52,hwqstxxjqvprp,4198,Ship Module,XR-16 Ship Module
