brand,file_type,counter_dict,year,month,week,module_link,budget,module_title,phase_title
Septellar,Orbit,"{'0': 286, '1': 231, '2': 162, '3': 118, '4': 94, '5': 125, '6': 39, '7': 44, '8': 46, '9': 37, 'a': 3314, 'b': 627, 'c': 1416, 'd': 1109, 'e': 3598, 'f': 745, 'g': 568, 'h': 1291, 'i': 2295, 'j': 55, 'k': 132, 'l': 2518, 'm': 782, 'n': 2227, 'o': 2566, 'p': 989, 'q': 89, 'r': 2371, 's': 2550, 't': 2837, 'u': 1029, 'v': 873, 'w': 451, 'x': 92, 'y': 332, 'z': 36}",2020,1,1,zxtxqtk,36074,Gascogine-12,WW-64 Gascogine-12
Sistema,Ground,"{'e': 329, 'n': 284, 'o': 236, 't': 220, 'i': 197, 's': 173, 'r': 152, 'a': 149, 'd': 116, 'c': 115, 'l': 105, 'f': 102, 'u': 74, 'p': 61, 'b': 59, 'h': 58, 'm': 50, 'g': 43, 'w': 28, 'k': 28, 'v': 24, '1': 24, 'y': 21, '2': 14, '0': 8, 'q': 4, '3': 2, '6': 2, 'x': 2, '9': 2, '5': 1, '4': 0, '8': 0, 'z': 0, '7': 0, 'j': 0}",2020,1,1,skkjtrlrswkwhq,2683,Gascogine-12,WY-15 Gascogine-12
Sistema,Ground,"{'e': 69, 'n': 59, 't': 48, 'i': 46, 'o': 41, 'r': 35, 'a': 31, 's': 27, 'h': 22, 'l': 17, 'g': 15, 'd': 14, 'p': 14, 'c': 13, 'w': 11, 'u': 9, 'k': 9, 'm': 8, 'v': 7, 'b': 5, 'f': 5, 'y': 3, 'z': 2, 'j': 1, '3': 0, '4': 0, '6': 0, '8': 0, '0': 0, 'q': 0, '2': 0, '1': 0, 'x': 0, '7': 0, '9': 0, '5': 0}",2020,1,1,pnqhmpknq,511,Gascogine-12,XH-46 Gascogine-12
Sistema,Ground,"{'t': 7, 'p': 4, 'a': 3, 'c': 2, 'n': 2, 's': 2, 'e': 2, 'h': 1, 'm': 1, 'i': 1, 'o': 1, 'j': 1, '3': 0, '4': 0, 'w': 0, 'd': 0, '6': 0, 'u': 0, 'v': 0, 'r': 0, '8': 0, 'k': 0, 'g': 0, '0': 0, 'b': 0, 'l': 0, 'q': 0, '2': 0, 'f': 0, '1': 0, 'x': 0, 'z': 0, 'y': 0, '7': 0, '9': 0, '5': 0}",2020,1,1,shhkvzrnpzjr,27,Space Lift,WW-65 Space Lift
Sistema,Ground,"{'r': 10, 'o': 10, 'a': 10, 't': 10, 'n': 9, 'i': 8, 'w': 7, 'd': 7, 'c': 7, 's': 6, 'e': 5, 'h': 4, 'u': 4, 'l': 4, 'y': 4, 'b': 3, 'm': 2, 'f': 2, 'p': 2, 'v': 1, 'g': 1, 'j': 1, '3': 0, '4': 0, '6': 0, '8': 0, 'k': 0, '0': 0, 'q': 0, '2': 0, '1': 0, 'x': 0, 'z': 0, '7': 0, '9': 0, '5': 0}",2020,1,1,mxwlnzknqq,117,Space Lift,YS-14 Space Lift
Sistema,Ground,"{'e': 116, 'a': 73, 't': 69, 'i': 67, 'n': 65, 'r': 55, 's': 51, 'c': 39, 'u': 35, 'o': 35, 'l': 32, 'd': 28, 'm': 27, 'h': 24, 'p': 19, 'f': 16, 'g': 10, 'q': 9, 'w': 6, 'y': 5, 'b': 4, 'v': 3, 'x': 2, '1': 1, '5': 1, '3': 0, '4': 0, '6': 0, '8': 0, 'k': 0, '0': 0, '2': 0, 'z': 0, '7': 0, 'j': 0, '9': 0}",2020,1,1,kphnts,792,Space Lift,RI-32 Space Lift
Sistema,Ground,"{'n': 27, 'o': 23, 's': 16, 'e': 15, 'a': 15, 'c': 14, 'i': 13, 't': 13, 'r': 10, 'h': 7, 'g': 7, 'u': 6, 'l': 6, 'j': 6, 'w': 5, 'm': 5, '2': 5, 'p': 5, '3': 4, 'd': 4, '4': 3, '0': 3, '5': 3, 'f': 2, '1': 2, 'v': 1, '8': 1, 'k': 1, 'x': 1, 'y': 1, '7': 1, '6': 0, 'b': 0, 'q': 0, 'z': 0, '9': 0}",2020,1,1,rnpjntwxmw,225,Space Lift,YX-62 Space Lift
Sistema,Ground,"{'e': 363, 't': 339, 'n': 321, 'o': 313, 'i': 309, 'a': 287, 'r': 263, 's': 236, 'c': 230, 'l': 173, 'm': 169, 'p': 168, 'd': 116, 'u': 114, '0': 114, 'b': 86, '1': 72, 'h': 71, 'g': 59, 'f': 58, '2': 56, 'w': 50, 'x': 38, 'y': 38, '5': 38, '4': 35, 'v': 33, 'k': 28, '8': 22, '3': 20, '6': 20, '7': 20, '9': 20, 'z': 14, 'q': 8, 'j': 8}",2020,1,1,xtkqztj,4309,Space Lift,IV-32 Space Lift
Sistema,Ground,"{'e': 162, 'o': 139, 'r': 134, 'n': 115, 't': 112, 's': 109, 'i': 91, 'c': 85, 'a': 63, 'u': 59, 'm': 46, 'l': 46, 'd': 43, '0': 36, 'p': 35, 'b': 34, 'h': 31, 'f': 25, 'v': 22, '2': 21, 'k': 16, '1': 14, '4': 13, 'g': 11, 'x': 11, '3': 10, 'y': 10, '8': 7, 'w': 6, 'j': 4, '9': 4, '5': 3, '6': 2, 'q': 0, 'z': 0, '7': 0}",2020,1,1,wznvrzlkjwntvq,1519,Space Lift,HV-11 Space Lift
Sistema,Ground,"{'e': 63, 'o': 52, 'r': 50, 'a': 50, 't': 48, 's': 46, 'n': 45, 'i': 38, 'c': 37, 'u': 34, 'd': 32, 'p': 25, 'l': 21, '2': 16, 'm': 15, 'f': 14, 'w': 12, 'b': 11, '1': 10, 'v': 9, '4': 8, 'k': 8, '0': 8, 'h': 7, 'g': 6, 'x': 5, '6': 4, '9': 4, 'q': 3, '3': 2, 'y': 2, '5': 2, '8': 0, 'z': 0, '7': 0, 'j': 0}",2020,1,1,nkwphmqlvn,687,Space Lift,XR-35 Space Lift
