,Id,title,island,locality,price,beds,size,link,date,advert_type
0,0,2 Bedroom Apartment in Arico,Tenerife,Arico,100000,2,63,https://www.kyero.com/en/property/8204671-apartment-for-sale-arico,2020-12-29 10:29:34.799281+00:00,sale
1,1,2 Bedroom Apartment in Arona,Tenerife,Arona,70000,2,54,https://www.kyero.com/en/property/8169046-apartment-for-sale-arona,2020-12-29 10:29:34.803646+00:00,sale
2,2,3 Bedroom Apartment in Los Realejos,Tenerife,Los Realejos,121000,3,97,https://www.kyero.com/en/property/8164707-apartment-for-sale-los-realejos,2020-12-29 10:29:34.806161+00:00,sale
3,3,3 Bedroom Apartment in La Laguna,Tenerife,La Laguna,130000,3,140,https://www.kyero.com/en/property/8204664-apartment-for-sale-la-laguna,2020-12-29 10:29:34.808503+00:00,sale
4,4,2 Bedroom Apartment in San Miguel De Abona,Tenerife,San Miguel de Abona,98000,2,72,https://www.kyero.com/en/property/8121477-apartment-for-sale-san-miguel-de-abona,2020-12-29 10:29:34.810778+00:00,sale
5,5,2 Bedroom Apartment in Arona,Tenerife,Arona,106000,2,79,https://www.kyero.com/en/property/8142937-apartment-for-sale-arona,2020-12-29 10:29:34.813008+00:00,sale
6,6,4 Bedroom Apartment in La Laguna,Tenerife,La Laguna,109900,4,125,https://www.kyero.com/en/property/7746021-apartment-for-sale-la-laguna,2020-12-29 10:29:34.815183+00:00,sale
7,7,2 Bedroom Penthouse in Playa Paraiso,Tenerife,Playa Paraiso,140000,2,64,https://www.kyero.com/en/property/7744238-apartment-for-sale-playa-paraiso,2020-12-29 10:29:34.817437+00:00,sale
8,8,3 Bedroom Apartment in La Laguna,Tenerife,La Laguna,125900,3,118,https://www.kyero.com/en/property/6975944-apartment-for-sale-la-laguna,2020-12-29 10:29:34.819784+00:00,sale
9,9,4 Bedroom Apartment in Icod,Tenerife,Icod,105000,4,136,https://www.kyero.com/en/property/6529584-apartment-for-sale-icod,2020-12-29 10:29:34.822121+00:00,sale
10,10,3 Bedroom Apartment in La Laguna,Tenerife,La Laguna,145000,3,82,https://www.kyero.com/en/property/6912113-apartment-for-sale-la-laguna,2020-12-29 10:29:34.824337+00:00,sale
11,11,2 Bedroom Apartment in Puerto De Santiago,Tenerife,Puerto de Santiago,119000,2,45,https://www.kyero.com/en/property/7941081-apartment-for-sale-puerto-de-santiago,2020-12-29 10:29:34.826600+00:00,sale
12,12,2 Bedroom Apartment in Los Realejos,Tenerife,Los Realejos,109000,2,66,https://www.kyero.com/en/property/7354321-apartment-for-sale-los-realejos,2020-12-29 10:29:34.828660+00:00,sale
13,13,3 Bedroom Apartment in La Victoria De Acentejo,Tenerife,La Victoria de Acentejo,105000,3,109,https://www.kyero.com/en/property/7768786-apartment-for-sale-la-victoria-de-acentejo,2020-12-29 10:29:34.830881+00:00,sale
14,14,3 Bedroom Apartment in La Laguna,Tenerife,La Laguna,120000,3,112,https://www.kyero.com/en/property/7567259-apartment-for-sale-la-laguna,2020-12-29 10:29:34.833107+00:00,sale
15,15,3 Bedroom Apartment in Arona,Tenerife,Arona,100500,3,133,https://www.kyero.com/en/property/7566831-apartment-for-sale-arona,2020-12-29 10:29:34.835329+00:00,sale
16,16,2 Bedroom Apartment in Arona,Tenerife,Arona,116500,2,47,https://www.kyero.com/en/property/7538360-apartment-for-sale-arona,2020-12-29 10:29:34.837576+00:00,sale
