title,island,locality,price,beds,size,link,date,advert_type
2 Bedroom Apartment in Arico,Tenerife,Arico,100000,2,63,https://www.kyero.com/en/property/8204671-apartment-for-sale-arico,2020-12-29 10:29:34.799281+00:00,sale
2 Bedroom Apartment in Arona,Tenerife,Arona,70000,2,54,https://www.kyero.com/en/property/8169046-apartment-for-sale-arona,2020-12-29 10:29:34.803646+00:00,sale
3 Bedroom Apartment in Los Realejos,Tenerife,Los Realejos,121000,3,97,https://www.kyero.com/en/property/8164707-apartment-for-sale-los-realejos,2020-12-29 10:29:34.806161+00:00,sale
3 Bedroom Apartment in La Laguna,Tenerife,La Laguna,130000,3,140,https://www.kyero.com/en/property/8204664-apartment-for-sale-la-laguna,2020-12-29 10:29:34.808503+00:00,sale
2 Bedroom Apartment in San Miguel De Abona,Tenerife,San Miguel de Abona,98000,2,72,https://www.kyero.com/en/property/8121477-apartment-for-sale-san-miguel-de-abona,2020-12-29 10:29:34.810778+00:00,sale
2 Bedroom Apartment in Arona,Tenerife,Arona,106000,2,79,https://www.kyero.com/en/property/8142937-apartment-for-sale-arona,2020-12-29 10:29:34.813008+00:00,sale
4 Bedroom Apartment in La Laguna,Tenerife,La Laguna,109900,4,125,https://www.kyero.com/en/property/7746021-apartment-for-sale-la-laguna,2020-12-29 10:29:34.815183+00:00,sale
2 Bedroom Penthouse in Playa Paraiso,Tenerife,Playa Paraiso,140000,2,64,https://www.kyero.com/en/property/7744238-apartment-for-sale-playa-paraiso,2020-12-29 10:29:34.817437+00:00,sale
3 Bedroom Apartment in La Laguna,Tenerife,La Laguna,125900,3,118,https://www.kyero.com/en/property/6975944-apartment-for-sale-la-laguna,2020-12-29 10:29:34.819784+00:00,sale
4 Bedroom Apartment in Icod,Tenerife,Icod,105000,4,136,https://www.kyero.com/en/property/6529584-apartment-for-sale-icod,2020-12-29 10:29:34.822121+00:00,sale
3 Bedroom Apartment in La Laguna,Tenerife,La Laguna,145000,3,82,https://www.kyero.com/en/property/6912113-apartment-for-sale-la-laguna,2020-12-29 10:29:34.824337+00:00,sale
