island,date,advert_type,properties_total,avg_price_per_meter
Tenerife,2020-10-17 01:54:00.080868+00:00,sale,600,1561
Gran Canaria,2020-10-17 02:38:00.055830+00:00,sale,30,1895
Lanzarote,2020-10-17 03:47:00.066570+00:00,sale,480,1562
Mallorca,2020-10-17 04:36:00.064089+00:00,sale,660,1812
Tenerife,2020-10-17 05:52:00.051666+00:00,rent,599,9
Gran Canaria,2020-10-17 06:38:00.048282+00:00,rent,30,10
Lanzarote,2020-10-17 07:47:00.054088+00:00,rent,30,9
Mallorca,2020-10-17 08:36:00.052147+00:00,rent,1109,12
Tenerife,2020-10-18 01:54:00.072718+00:00,sale,604,1558
Gran Canaria,2020-10-18 02:38:00.044787+00:00,sale,249,1395
Lanzarote,2020-10-18 03:47:00.050576+00:00,sale,524,1581
Mallorca,2020-10-18 04:36:00.065771+00:00,sale,866,1797
Tenerife,2020-10-18 05:52:00.063007+00:00,rent,632,9
Gran Canaria,2020-10-18 06:38:00.049407+00:00,rent,32,10
Lanzarote,2020-10-18 07:47:00.054490+00:00,rent,32,9
Mallorca,2020-10-18 08:36:00.053643+00:00,rent,1404,12
Tenerife,2020-10-19 01:54:00.084274+00:00,sale,605,1560
Gran Canaria,2020-10-19 02:38:00.051378+00:00,sale,253,1390
Lanzarote,2020-10-19 03:47:00.034977+00:00,sale,559,1583
Mallorca,2020-10-19 04:36:00.082755+00:00,sale,872,1795
Tenerife,2020-10-19 05:52:00.063406+00:00,rent,651,9
Gran Canaria,2020-10-19 06:38:00.054105+00:00,rent,40,10
Lanzarote,2020-10-19 07:47:00.054892+00:00,rent,34,9
Mallorca,2020-10-19 08:36:00.059742+00:00,rent,1485,12
Tenerife,2020-10-20 01:54:00.094636+00:00,sale,612,1566
Gran Canaria,2020-10-20 02:38:00.046959+00:00,sale,262,1392
Lanzarote,2020-10-20 03:47:00.047744+00:00,sale,568,1586
Mallorca,2020-10-20 04:36:00.081524+00:00,sale,888,1798
Tenerife,2020-10-20 05:52:00.054265+00:00,rent,696,9
Gran Canaria,2020-10-20 06:38:00.051601+00:00,rent,70,9
