Entity,Code,Date,short_term_positivity_rate
Albania,ALB,2020-03-14,0.085
Albania,ALB,2020-03-15,0.088
Albania,ALB,2020-03-16,0.101
Albania,ALB,2020-03-17,0.092
Albania,ALB,2020-03-18,0.092
Albania,ALB,2020-03-19,0.103
Albania,ALB,2020-03-20,0.136
Albania,ALB,2020-03-21,0.139
Albania,ALB,2020-03-22,0.168
Albania,ALB,2020-03-23,0.185
Albania,ALB,2020-03-24,0.243
Albania,ALB,2020-03-25,0.336
Albania,ALB,2020-03-26,0.334
Albania,ALB,2020-03-27,0.296
Albania,ALB,2020-03-28,0.283
Albania,ALB,2020-03-29,0.244
Albania,ALB,2020-03-30,0.212
Albania,ALB,2020-03-31,0.18
Albania,ALB,2020-04-01,0.144
Albania,ALB,2020-04-02,0.133
Albania,ALB,2020-04-03,0.151
Albania,ALB,2020-04-04,0.147
Albania,ALB,2020-04-05,0.155
Albania,ALB,2020-04-06,0.148
Albania,ALB,2020-04-07,0.129
Albania,ALB,2020-04-08,0.121
Albania,ALB,2020-04-09,0.101
Albania,ALB,2020-04-10,0.083
Albania,ALB,2020-04-11,0.071
Albania,ALB,2020-04-12,0.057
Albania,ALB,2020-04-13,0.06
Albania,ALB,2020-04-14,0.059
Albania,ALB,2020-04-15,0.06
Albania,ALB,2020-04-16,0.068
Albania,ALB,2020-04-17,0.073
Albania,ALB,2020-04-18,0.069
Albania,ALB,2020-04-19,0.07
Albania,ALB,2020-04-20,0.068
Albania,ALB,2020-04-21,0.078
Albania,ALB,2020-04-22,0.082
Albania,ALB,2020-04-23,0.086
Albania,ALB,2020-04-24,0.082
Albania,ALB,2020-04-25,0.096
Albania,ALB,2020-04-26,0.094
Albania,ALB,2020-04-27,0.089
Albania,ALB,2020-04-28,0.081
Albania,ALB,2020-04-29,0.075
Albania,ALB,2020-04-30,0.063
Albania,ALB,2020-05-01,0.06
Albania,ALB,2020-05-02,0.047
Albania,ALB,2020-05-03,0.043
Albania,ALB,2020-05-04,0.044
Albania,ALB,2020-05-05,0.046
Albania,ALB,2020-05-06,0.044
Albania,ALB,2020-05-07,0.044
Albania,ALB,2020-05-08,0.044
Albania,ALB,2020-05-09,0.042
Albania,ALB,2020-05-10,0.046
Albania,ALB,2020-05-11,0.044
Albania,ALB,2020-05-12,0.037
Albania,ALB,2020-05-13,0.032
Albania,ALB,2020-05-14,0.039
Albania,ALB,2020-05-15,0.047
Albania,ALB,2020-05-16,0.051
Albania,ALB,2020-05-17,0.049
Albania,ALB,2020-05-18,0.047
Albania,ALB,2020-05-19,0.047
Albania,ALB,2020-05-20,0.056
Albania,ALB,2020-05-21,0.047
Albania,ALB,2020-05-22,0.044
Albania,ALB,2020-05-23,0.041
Albania,ALB,2020-05-24,0.042
Albania,ALB,2020-05-25,0.049
Albania,ALB,2020-05-26,0.071
Albania,ALB,2020-05-27,0.071
Albania,ALB,2020-05-28,0.087
Albania,ALB,2020-05-29,0.088
Albania,ALB,2020-05-30,0.097
Albania,ALB,2020-05-31,0.096
Albania,ALB,2020-06-01,0.093
Albania,ALB,2020-06-02,0.086
Albania,ALB,2020-06-03,0.084
Albania,ALB,2020-06-04,0.073
Albania,ALB,2020-06-05,0.073
Albania,ALB,2020-06-06,0.07
Albania,ALB,2020-06-07,0.071
Albania,ALB,2020-06-08,0.078
Albania,ALB,2020-06-09,0.082
Albania,ALB,2020-06-10,0.095
Albania,ALB,2020-06-11,0.112
Albania,ALB,2020-06-12,0.113
Albania,ALB,2020-06-13,0.127
Albania,ALB,2020-06-14,0.138
Albania,ALB,2020-06-15,0.148
Albania,ALB,2020-06-16,0.168
Albania,ALB,2020-06-17,0.17
Albania,ALB,2020-06-18,0.181
Albania,ALB,2020-06-19,0.187
Albania,ALB,2020-06-20,0.185
Albania,ALB,2020-06-21,0.194
Albania,ALB,2020-06-22,0.185
Albania,ALB,2020-06-23,0.174
Albania,ALB,2020-06-24,0.181
Albania,ALB,2020-06-25,0.181
Albania,ALB,2020-06-26,0.187
Albania,ALB,2020-06-27,0.187
Albania,ALB,2020-06-28,0.184
Albania,ALB,2020-06-29,0.187
Albania,ALB,2020-06-30,0.19
Albania,ALB,2020-07-01,0.188
Albania,ALB,2020-07-02,0.187
Albania,ALB,2020-07-03,0.195
Albania,ALB,2020-07-04,0.196
Albania,ALB,2020-07-05,0.196
Albania,ALB,2020-07-06,0.192
Albania,ALB,2020-07-07,0.191
Albania,ALB,2020-07-08,0.19
Albania,ALB,2020-07-09,0.188
Albania,ALB,2020-07-10,0.184
Albania,ALB,2020-07-11,0.19
Albania,ALB,2020-07-12,0.192
Albania,ALB,2020-07-13,0.199
Albania,ALB,2020-07-14,0.203
Albania,ALB,2020-07-15,0.211
Albania,ALB,2020-07-16,0.215
Albania,ALB,2020-07-17,0.203
Albania,ALB,2020-07-18,0.201
Albania,ALB,2020-07-19,0.206
Albania,ALB,2020-07-20,0.217
Albania,ALB,2020-07-21,0.222
Albania,ALB,2020-07-22,0.207
Albania,ALB,2020-07-23,0.206
Albania,ALB,2020-07-24,0.213
Albania,ALB,2020-07-25,0.215
Albania,ALB,2020-07-26,0.218
Albania,ALB,2020-07-27,0.213
Albania,ALB,2020-07-28,0.211
Albania,ALB,2020-07-29,0.222
Albania,ALB,2020-07-30,0.216
Albania,ALB,2020-07-31,0.212
Albania,ALB,2020-08-01,0.215
Albania,ALB,2020-08-02,0.216
Albania,ALB,2020-08-03,0.213
Albania,ALB,2020-08-04,0.214
Albania,ALB,2020-08-05,0.22
Albania,ALB,2020-08-06,0.228
Albania,ALB,2020-08-07,0.238
Albania,ALB,2020-08-08,0.239
Albania,ALB,2020-08-09,0.237
Albania,ALB,2020-08-10,0.241
Albania,ALB,2020-08-11,0.241
Albania,ALB,2020-08-12,0.237
Albania,ALB,2020-08-13,0.237
Albania,ALB,2020-08-14,0.237
Albania,ALB,2020-08-15,0.233
Albania,ALB,2020-08-16,0.226
Albania,ALB,2020-08-17,0.225
Albania,ALB,2020-08-18,0.212
Albania,ALB,2020-08-19,0.205
Albania,ALB,2020-08-20,0.197
Albania,ALB,2020-08-21,0.19
Albania,ALB,2020-08-22,0.185
Albania,ALB,2020-08-23,0.186
Albania,ALB,2020-08-24,0.182
Albania,ALB,2020-08-25,0.184
Albania,ALB,2020-08-26,0.185
Albania,ALB,2020-08-27,0.185
Albania,ALB,2020-08-28,0.18
Albania,ALB,2020-08-29,0.169
Albania,ALB,2020-08-30,0.16
Albania,ALB,2020-08-31,0.156
Albania,ALB,2020-09-01,0.147
Albania,ALB,2020-09-02,0.139
Albania,ALB,2020-09-03,0.133
Albania,ALB,2020-09-04,0.134
Albania,ALB,2020-09-05,0.141
Albania,ALB,2020-09-06,0.149
Albania,ALB,2020-09-07,0.152
Albania,ALB,2020-09-08,0.16
Albania,ALB,2020-09-09,0.165
Albania,ALB,2020-09-10,0.171
Albania,ALB,2020-09-11,0.177
Albania,ALB,2020-09-12,0.181
Albania,ALB,2020-09-13,0.183
Albania,ALB,2020-09-14,0.184
Albania,ALB,2020-09-15,0.186
Albania,ALB,2020-09-16,0.186
Albania,ALB,2020-09-17,0.183
Albania,ALB,2020-09-18,0.178
Albania,ALB,2020-09-19,0.178
Albania,ALB,2020-09-20,0.177
Albania,ALB,2020-09-21,0.176
Albania,ALB,2020-09-22,0.172
Albania,ALB,2020-09-23,0.166
Albania,ALB,2020-09-24,0.165
Albania,ALB,2020-09-25,0.166
Albania,ALB,2020-09-26,0.159
Albania,ALB,2020-09-27,0.15
Albania,ALB,2020-09-28,0.147
Albania,ALB,2020-09-29,0.146
Albania,ALB,2020-09-30,0.149
Albania,ALB,2020-10-01,0.149
Albania,ALB,2020-10-02,0.148
Albania,ALB,2020-10-03,0.15
Albania,ALB,2020-10-04,0.154
Albania,ALB,2020-10-05,0.153
Albania,ALB,2020-10-06,0.156
Albania,ALB,2020-10-07,0.159
Albania,ALB,2020-10-08,0.162
Albania,ALB,2020-10-09,0.167
Albania,ALB,2020-10-10,0.17
Albania,ALB,2020-10-11,0.173
Albania,ALB,2020-10-12,0.176
Albania,ALB,2020-10-13,0.176
Albania,ALB,2020-10-14,0.171
Albania,ALB,2020-10-15,0.173
Albania,ALB,2020-10-16,0.178
Albania,ALB,2020-10-17,0.184
Albania,ALB,2020-10-18,0.19
Albania,ALB,2020-10-19,0.194
Albania,ALB,2020-10-20,0.199
Albania,ALB,2020-10-21,0.208
Albania,ALB,2020-10-22,0.213
Albania,ALB,2020-10-23,0.215
Albania,ALB,2020-10-24,0.217
Albania,ALB,2020-10-25,0.218
Albania,ALB,2020-10-26,0.219
Albania,ALB,2020-10-27,0.221
Albania,ALB,2020-10-28,0.222
Albania,ALB,2020-10-29,0.218
Albania,ALB,2020-10-30,0.217
Albania,ALB,2020-10-31,0.212
Albania,ALB,2020-11-01,0.212
Albania,ALB,2020-11-02,0.212
Albania,ALB,2020-11-03,0.213
Albania,ALB,2020-11-04,0.214
Albania,ALB,2020-11-05,0.221
Albania,ALB,2020-11-06,0.228
Albania,ALB,2020-11-07,0.237
Albania,ALB,2020-11-08,0.242
Albania,ALB,2020-11-09,0.248
Albania,ALB,2020-11-10,0.261
Albania,ALB,2020-11-11,0.266
Albania,ALB,2020-11-12,0.269
Albania,ALB,2020-11-13,0.268
Albania,ALB,2020-11-14,0.268
Albania,ALB,2020-11-15,0.272
Albania,ALB,2020-11-16,0.275
Albania,ALB,2020-11-17,0.276
Albania,ALB,2020-11-18,0.286
Albania,ALB,2020-11-19,0.3
Albania,ALB,2020-11-20,0.32
Albania,ALB,2020-11-21,0.337
Albania,ALB,2020-11-22,0.346
Albania,ALB,2020-11-23,0.361
Albania,ALB,2020-11-24,0.365
Albania,ALB,2020-11-25,0.371
Albania,ALB,2020-11-26,0.371
Albania,ALB,2020-11-27,0.369
Albania,ALB,2020-11-28,0.369
Albania,ALB,2020-11-29,0.376
Albania,ALB,2020-11-30,0.36
Albania,ALB,2020-12-01,0.378
Albania,ALB,2020-12-02,0.38
Albania,ALB,2020-12-03,0.379
Albania,ALB,2020-12-04,0.387
Albania,ALB,2020-12-05,0.397
Albania,ALB,2020-12-06,0.399
Albania,ALB,2020-12-07,0.409
Albania,ALB,2020-12-08,0.38
Albania,ALB,2020-12-09,0.363
Albania,ALB,2020-12-10,0.355
Albania,ALB,2020-12-11,0.34
Albania,ALB,2020-12-12,0.325
Albania,ALB,2020-12-13,0.314
Albania,ALB,2020-12-14,0.309
Albania,ALB,2020-12-15,0.309
Albania,ALB,2020-12-16,0.302
Albania,ALB,2020-12-17,0.297
