date,daily_cases,country
"16 Mar
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
",53,Ireland
"17 Mar
,N/A
,N/A
,N/A
,14
,N/A
,43
,1
,0
,
,N/A
,N/A
,N/A
,0
,N/A
,
,N/A
,
,
,N/A
,N/A
,N/A
,N/A
,0
,0
,N/A
,4
,
,
",69,Ireland
"18 Mar
,N/A
,N/A
,
,4
,N/A
,53
,1
,1
,3
,
,N/A
,N/A
,1
,N/A
,2
,N/A
,5
,
,N/A
,N/A
,N/A
,N/A
,0
,5
,N/A
,2
,
,
",74,Ireland
"19 Mar
,N/A
,N/A
,0
,22
,N/A
,95
,7
,1
,9
,4
,N/A
,N/A
,0
,N/A
,1
,N/A
,-1
,
,
,N/A
,N/A
,N/A
,1
,2
,N/A
,2
,
,
",191,Ireland
"20 Mar
,N/A
,N/A
,0
,13
,N/A
,82
,4
,1
,2
,0
,
,N/A
,0
,N/A
,2
,N/A
,1
,N/A
,2
,N/A
,N/A
,
,1
,2
,N/A
,5
,
,
",126,Ireland
"21 Mar
,N/A
,N/A
,2
,3
,
,69
,8
,3
,3
,4
,0
,N/A
,3
,N/A
,2
,
,2
,N/A
,1
,N/A
,
,12
,0
,4
,N/A
,0
,
,
",102,Ireland
"22 Mar
,N/A
,N/A
,2
,19
,3
,64
,2
,3
,2
,1
,2
,N/A
,1
,N/A
,3
,3
,3
,N/A
,3
,N/A
,0
,0
,4
,1
,N/A
,6
,
,
",121,Ireland
"23 Mar
,N/A
,N/A
,1
,10
,0
,124
,5
,18
,9
,0
,1
,N/A
,0
,N/A
,2
,0
,8
,N/A
,0
,N/A
,0
,0
,2
,4
,
,11
,
,
",219,Ireland
"24 Mar
,N/A
,
,13
,21
,1
,115
,5
,5
,5
,3
,0
,N/A
,5
,N/A
,2
,5
,3
,N/A
,3
,N/A
,0
,7
,7
,4
,1
,10
,
,
",204,Ireland
"25 Mar
,N/A
,3
,1
,17
,3
,148
,12
,6
,6
,1
,1
,N/A
,12
,N/A
,4
,4
,6
,N/A
,3
,
,0
,7
,3
,10
,1
,3
,
,
",235,Ireland
"26 Mar
,N/A
,2
,5
,13
,0
,148
,6
,3
,11
,9
,1
,N/A
,10
,N/A
,3
,3
,8
,
,3
,1
,0
,10
,4
,13
,1
,6
,
,
",255,Ireland
"27 Mar
,N/A
,8
,3
,24
,9
,163
,5
,6
,5
,4
,3
,N/A
,9
,
,7
,5
,5
,3
,7
,2
,4
,9
,2
,15
,2
,7
,
,
",302,Ireland
"28 Mar
,N/A
,5
,0
,9
,12
,160
,9
,7
,3
,3
,0
,
,9
,0
,5
,2
,1
,1
,5
,0
,7
,9
,3
,3
,0
,4
,
,
",294,Ireland
"29 Mar
,N/A
,0
,6
,21
,10
,94
,9
,6
,2
,0
,1
,0
,3
,0
,5
,8
,7
,1
,0
,0
,0
,9
,-1
,7
,3
,4
,
,
",200,Ireland
"30 Mar
,N/A
,12
,5
,17
,17
,158
,2
,2
,14
,1
,1
,4
,20
,2
,7
,12
,12
,0
,6
,0
,3
,14
,4
,3
,0
,4
,
,
",295,Ireland
"31 Mar
,N/A
,3
,4
,17
,5
,193
,3
,4
,10
,0
,0
,2
,7
,2
,1
,4
,8
,4
,6
,0
,3
,6
,1
,1
,1
,7
,
,
",325,Ireland
"1 Apr
,N/A
,2
,1
,20
,9
,239
,7
,7
,13
,10
,0
,0
,2
,2
,2
,3
,14
,0
,1
,3
,1
,3
,5
,5
,2
,21
,
,
",212,Ireland
"2 Apr
,
,26
,4
,12
,3
,174
,7
,5
,33
,7
,5
,1
,20
,1
,1
,8
,5
,3
,16
,0
,1
,11
,0
,6
,2
,7
,
,
",402,Ireland
"3 Apr
,6
,9
,0
,39
,1
,239
,3
,1
,16
,19
,1
,0
,12
,0
,9
,15
,13
,3
,1
,2
,1
,23
,3
,2
,1
,20
,
,
",424,Ireland
"4 Apr
,0
,39
,6
,19
,22
,202
,4
,4
,23
,2
,3
,0
,12
,4
,1
,29
,35
,29
,2
,3
,0
,-3
,3
,13
,0
,10
,
,
",331,Ireland
"5 Apr
,0
,8
,5
,59
,11
,369
,16
,28
,25
,4
,6
,5
,3
,4
,20
,19
,27
,6
,7
,4
,0
,8
,0
,14
,1
,29
,
,
",390,Ireland
"6 Apr
,3
,6
,1
,10
,6
,207
,6
,5
,33
,9
,3
,2
,17
,10
,11
,4
,15
,4
,4
,0
,0
,4
,3
,13
,2
,10
,
,
",370,Ireland
"7 Apr
,1
,3
,2
,41
,5
,289
,0
,3
,20
,2
,3
,3
,13
,1
,10
,4
,15
,1
,4
,0
,0
,3
,4
,8
,2
,26
,
,
",345,Ireland
"8 Apr
,3
,19
,1
,31
,18
,316
,26
,20
,37
,6
,12
,2
,13
,5
,10
,19
,8
,0
,7
,4
,3
,11
,4
,10
,4
,30
,
,
",365,Ireland
"9 Apr
,3
,18
,16
,78
,24
,283
,9
,10
,42
,19
,12
,6
,36
,4
,17
,15
,24
,18
,16
,1
,8
,15
,3
,29
,9
,9
,
,
",500,Ireland
"10 Apr
,10
,41
,3
,67
,21
,358
,9
,15
,28
,9
,10
,1
,12
,4
,10
,15
,19
,7
,15
,4
,6
,9
,4
,11
,3
,17
,
,
",1515,Ireland
"11 Apr
,6
,12
,10
,82
,37
,492
,19
,30
,44
,12
,17
,0
,18
,7
,52
,11
,40
,7
,14
,8
,0
,25
,6
,21
,10
,9
,
,
",839,Ireland
"12 Apr
,6
,23
,8
,50
,39
,432
,23
,19
,39
,8
,13
,4
,13
,2
,13
,4
,53
,28
,11
,9
,7
,19
,8
,21
,4
,45
,
,
",727,Ireland
"13 Apr
,9
,9
,7
,49
,32
,412
,17
,7
,66
,20
,17
,4
,20
,11
,28
,18
,27
,24
,6
,2
,10
,18
,9
,24
,5
,25
,
,
",992,Ireland
"14 Apr
,6
,56
,6
,87
,24
,487
,23
,20
,58
,9
,15
,3
,22
,8
,114
,33
,36
,14
,13
,7
,4
,14
,11
,51
,10
,33
,
,
",832,Ireland
"15 Apr
,0
,35
,17
,29
,32
,230
,6
,8
,54
,6
,6
,3
,36
,2
,34
,10
,16
,5
,8
,4
,3
,19
,1
,9
,5
,9
,
,
",1068,Ireland
"16 Apr
,10
,8
,15
,34
,17
,407
,7
,2
,63
,9
,8
,0
,39
,4
,22
,14
,40
,4
,6
,13
,1
,13
,8
,14
,9
,7
,
,
",724,Ireland
"17 Apr
,2
,33
,2
,49
,7
,445
,10
,6
,79
,9
,21
,1
,2
,5
,-1
,39
,39
,4
,10
,2
,6
,9
,2
,26
,13
,36
,
,
",709,Ireland
"18 Apr
,7
,15
,7
,19
,7
,287
,11
,6
,54
,9
,2
,2
,17
,3
,32
,20
,13
,13
,3
,15
,2
,8
,1
,11
,2
,17
,
,
",778,Ireland
"19 Apr
,1
,2
,4
,6
,9
,115
,0
,0
,5
,4
,7
,5
,8
,3
,32
,3
,9
,12
,5
,0
,13
,6
,4
,8
,14
,2
,
,
",493,Ireland
"20 Apr
,1
,27
,1
,24
,24
,124
,15
,0
,29
,6
,8
,1
,6
,7
,20
,4
,17
,21
,3
,0
,4
,14
,2
,9
,23
,17
,
,
",401,Ireland
"21 Apr
,4
,36
,22
,10
,15
,311
,6
,3
,24
,6
,7
,1
,5
,1
,17
,26
,11
,29
,7
,1
,1
,7
,3
,9
,0
,6
,
,
",388,Ireland
"22 Apr
,2
,40
,19
,9
,9
,513
,16
,0
,79
,5
,10
,6
,19
,0
,30
,26
,18
,69
,12
,19
,7
,16
,0
,14
,6
,37
,
,
",631,Ireland
