date,daily_cases,country
"2020-01-31
,
,
,
,
,
,
,
,
,
,
,
,
,2
,
,
,
,
,
,
,
,
,
,
,
,
,–
,2
,–
,–
,
,
,
",2,Italy
"2020-02-06
,
,
,
,
,
,
,
,
,
,
,
,
,1
,
,
,
,
,
,
,
,
,
,
,
,
,–
,3
,–
,–
,
,
,
",1,Italy
"2020-02-21
,
,
,
,15
,(1) 2
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,–
,19
,–
,–
,
,
,
",17,Italy
"2020-02-22
,
,
,1
,(1) 40
,16
,
,
,
,2
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,18
,75
,–
,–
,
,
,
",59,Italy
"2020-02-23
,
,
,
,(1) 57
,7
,
,
,
,7
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,25
,147
,–
,–
,
,
,
",71,Italy
"2020-02-24
,
,
,
,(4) 61
,7
,
,
,
,9
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,27
,199
,1
,1
,
,
,
",77,Italy
"2020-02-25
,
,1
,
,(2) 67
,(1) 11
,
,1
,
,8
,
,2
,
,
,
,
,
,
,
,
,3
,
,
,
,
,
,35
,309
,–
,1
,>8,600
,
,
",93,Italy
"2020-02-26
,
,10
,
,(1) 65
,28
,
,
,
,(1) 21
,1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,36
,430
,2
,3
,9,587
,
,
",125,Italy
"2020-02-27
,
,8
,1
,(5) 98
,40
,
,
,
,50
,2
,
,
,
,1
,
,3
,
,1
,
,1
,
,
,
,
,
,56
,588
,42
,45
,12,014
,
,
",205,Italy
"2020-02-28
,
,
,9
,(3) 128
,40
,
,
,
,(1) 48
,3
,6
,
,
,
,
,1
,
,2
,1
,
,
,
,
,
,
,64
,821
,1
,46
,15,695
,
,
",238,Italy
"2020-02-29
,
,23
,
,(6) 84
,40
,
,
,
,(2) 72
,5
,3
,
,3
,1
,
,9
,
,
,
,
,
,
,
,
,
,105
,1,049
,4
,50
,18,661
,
,
",240,Italy
"2020-03-01
,
,–17
,38
,(1) 369
,72
,
,
,6
,(4) 68
,14
,2
,2
,
,3
,
,4
,
,
,
,5
,
,
,
,
,
,140
,1,577
,33
,83
,21,127
,
,
",566,Italy
"2020-03-02
,
,–3
,2
,(14) 270
,10
,
,
,3
,(3) 50
,(1) 10
,
,
,1
,
,
,
,
,1
,
,–2
,
,
,
,
,
,166
,1,835
,66
,149
,23,345
,
,
",342,Italy
"2020-03-03
,
,(1) 2
,5
,(17) 266
,(1) 34
,4
,
,4
,(7) 85
,(1) 26
,6
,6
,7
,1
,3
,13
,1
,2
,
,
,1
,
,
,
,
,229
,2,263
,11
,160
,25,856
,
,
",466,Italy
"2020-03-04
,
,2
,26
,(18) 300
,(3) 53
,1
,
,5
,(4) 124
,(2) 23
,19
,1
,16
,1
,
,1
,
,(1) 3
,
,11
,1
,
,
,
,
,295
,2,706
,116
,276
,29,837
,
,
",587,Italy
"2020-03-05
,2
,(2) 2
,(2) 26
,(25) 431
,(4) 47
,2
,
,3
,(8) 154
,40
,23
,
,14
,1
,4
,14
,
,5
,1
,
,
,
,
,
,
,351
,3,296
,138
,414
,32,362
,
,
",769,Italy
"2020-03-06
,5
,4
,(2) 35
,(37) 361
,(2) 81
,3
,3
,10
,(7) 172
,35
,18
,7
,(1) 10
,1
,5
,12
,2
,3
,2
,6
,3
,
,
,
,
,462
,3,916
,109
,523
,36,359
,
,
",778,Italy
"2020-03-07
,1
,(1) 19
,(1) 64
,(19) 808
,(1) 55
,4
,5
,11
,(11) 140
,(2) 48
,34
,8
,22
,2
,2
,4
,
,(1) 9
,
,11
,
,
,
,
,
,567
,5,061
,66
,589
,42,062
,
,
","1,247",Italy
"2020-03-08
,1
,(2) 27
,153
,(113) 769
,(5) 127
,9
,
,(1) 15
,(8) 170
,(1) 65
,53
,2
,(2) 11
,6
,
,40
,1
,(1) 14
,5
,18
,6
,
,
,
,
,650
,6,387
,33
,622
,49,937
,
,
","1,492",Italy
"2020-03-09
,6
,(1) 31
,(8) –10
,(66) 1,280
,(2) 74
,10
,
,36
,(14) 206
,(3) 51
,(1) 42
,2
,(2) 15
,13
,
,19
,1
,10
,2
,1
,8
,
,
,
,
,733
,7,985
,102
,724
,53,826
,
,
","1,797",Italy
"2020-03-10
,2
,(1) 32
,(4) 103
,(135) 322
,(6) 112
,19
,29
,(2) 23
,(15) 147
,(3) 71
,56
,9
,(1) 14
,(1) 8
,1
,7
,2
,9
,2
,8
,1
,
,
,
,
,877
,8,514
,280
,1,004
,60,761
,
,
",977,Italy
"2020-03-11
,(1) 3
,53
,(4) 48
,(149) 1,489
,(3) 167
,25
,37
,(3) 10
,(28) 206
,(5) 85
,56
,9
,34
,
,1
,(1) 27
,1
,(2) 18
,6
,21
,17
,
,
,
,
,1,028
,10,590
,41
,1,045
,73,154
,
,
","2,313",Italy
"2020-03-12
,7
,(3) 80
,(5) 79
,(127) 1,445
,(3) 361
,(1) 30
,(1) 29
,(2) 41
,(33) 208
,(4) 113
,(4) 44
,18
,(3) 50
,(1) 46
,
,25
,
,27
,14
,(2) 32
,2
,
,
,
,
,1,153
,12,839
,213
,1,258
,86,011
,
,
","2,651",Italy
"2020-03-13
,1
,(6) 71
,(20) 260
,(146) 1,095
,(10) 211
,(1) 56
,(1) 21
,(2) 90
,(55) 316
,(5) 133
,106
,(1) 12
,(2) 77
,5
,1
,(1) 41
,2
,25
,5
,15
,4
,
,
,
,
,1,328
,14,955
,181
,1,439
,97,488
,
,
","2,547",Italy
"2020-03-14
,14
,(10) 118
,(13) 33
,(76) 1,865
,(13) 342
,43
,(1) 48
,(3) 44
,(40) 381
,(9) 174
,(1) 160
,31
,(2) 80
,23
,
,(4) 52
,
,(3) 37
,22
,26
,4
,
,
,
,
,1,518
,17,750
,527
,1,966
,109,170
,
,
","3,497",Italy
"2020-03-15
,15
,(6) 96
,(22) 238
,(252) 1,587
,(8) 235
,(4) 172
,(2) 31
,(1) 46
,(43) 449
,(10) 234
,(2) 151
,36
,(3) 79
,(1) 25
,
,(3) 61
,1
,(8) 64
,(1) 8
,32
,(2) 30
,
,
,
,
,1,672
,20,603
,369
,2,335
,124,899
,
,
","3,590",Italy
"2020-03-16
,(1) 48
,(17) 108
,(30) 405
,(202) 1,377
,(6) 301
,
,(1) 37
,(8) 39
,(62) 429
,(11) 109
,(6) 85
,21
,(3) 87
,(1) 39
,(1) 4
,67
,1
,
,21
,25
,30
,
,
,
,
,1,851
,23,073
,414
,2,749
,137,962
,
,
","3,233",Italy
"2020-03-17
,31
,(10) 111
,(22) 381
,(220) 1,571
,(11) 231
,(1) 7
,(2) 50
,(8) 8
,(47) 409
,(12) 129
,(3) 187
,33
,(4) 84
,(2) 53
,4
,60
,8
,(2) 110
,25
,(1) 24
,10
,
,
,
,
,2,060
,26,062
,192
,2,941
,148,657
,
,
","3,526",Italy
