date,daily_cases,country
19-Feb-20,,Poland
27-Feb-20,,Poland
28-Feb-20,0,Poland
29-Feb-20,,Poland
01-Mar-20,0,Poland
02-Mar-20,0,Poland
03-Mar-20,0,Poland
04-Mar-20,1,Poland
05-Mar-20,0,Poland
06-Mar-20,4,Poland
07-Mar-20,1,Poland
08-Mar-20,5,Poland
09-Mar-20,6,Poland
10-Mar-20,5,Poland
11-Mar-20,9,Poland
12-Mar-20,20,Poland
13-Mar-20,17,Poland
14-Mar-20,36,Poland
15-Mar-20,21,Poland
16-Mar-20,52,Poland
17-Mar-20,61,Poland
18-Mar-20,49,Poland
19-Mar-20,68,Poland
20-Mar-20,70,Poland
21-Mar-20,111,Poland
22-Mar-20,98,Poland
23-Mar-20,116,Poland
24-Mar-20,152,Poland
25-Mar-20,150,Poland
26-Mar-20,170,Poland
27-Mar-20,168,Poland
28-Mar-20,249,Poland
29-Mar-20,224,Poland
30-Mar-20,193,Poland
31-Mar-20,256,Poland
01-Apr-20,243,Poland
02-Apr-20,392,Poland
03-Apr-20,437,Poland
04-Apr-20,244,Poland
05-Apr-20,475,Poland
06-Apr-20,311,Poland
07-Apr-20,435,Poland
08-Apr-20,357,Poland
09-Apr-20,370,Poland
10-Apr-20,380,Poland
11-Apr-20,401,Poland
12-Apr-20,318,Poland
13-Apr-20,260,Poland
14-Apr-20,268,Poland
15-Apr-20,380,Poland
16-Apr-20,336,Poland
17-Apr-20,457,Poland
18-Apr-20,334,Poland
19-Apr-20,515,Poland
20-Apr-20,306,Poland
21-Apr-20,263,Poland
22-Apr-20,313,Poland
23-Apr-20,342,Poland
24-Apr-20,381,Poland
25-Apr-20,381,Poland
26-Apr-20,344,Poland
27-Apr-20,285,Poland
28-Apr-20,316,Poland
29-Apr-20,422,Poland
30-Apr-20,300,Poland
01-May-20,228,Poland
02-May-20,270,Poland
03-May-20,318,Poland
04-May-20,313,Poland
05-May-20,406,Poland
06-May-20,311,Poland
07-May-20,303,Poland
08-May-20,337,Poland
09-May-20,288,Poland
10-May-20,345,Poland
11-May-20,330,Poland
12-May-20,556,Poland
13-May-20,322,Poland
14-May-20,411,Poland
15-May-20,401,Poland
16-May-20,241,Poland
17-May-20,272,Poland
18-May-20,356,Poland
19-May-20,382,Poland
20-May-20,471,Poland
21-May-20,403,Poland
22-May-20,472,Poland
23-May-20,316,Poland
24-May-20,361,Poland
25-May-20,341,Poland
26-May-20,443,Poland
27-May-20,396,Poland
28-May-20,352,Poland
29-May-20,333,Poland
30-May-20,412,Poland
31-May-20,219,Poland
01-Jun-20,374,Poland
02-Jun-20,236,Poland
03-Jun-20,292,Poland
04-Jun-20,361,Poland
05-Jun-20,362,Poland
06-Jun-20,576,Poland
07-Jun-20,575,Poland
08-Jun-20,599,Poland
09-Jun-20,400,Poland
10-Jun-20,282,Poland
11-Jun-20,359,Poland
12-Jun-20,376,Poland
13-Jun-20,440,Poland
14-Jun-20,375,Poland
15-Jun-20,396,Poland
16-Jun-20,407,Poland
17-Jun-20,450,Poland
18-Jun-20,314,Poland
19-Jun-20,352,Poland
20-Jun-20,309,Poland
21-Jun-20,311,Poland
22-Jun-20,296,Poland
23-Jun-20,300,Poland
24-Jun-20,294,Poland
25-Jun-20,298,Poland
26-Jun-20,276,Poland
27-Jun-20,319,Poland
28-Jun-20,193,Poland
"29 June 2020
",247,Poland
"30 June 2020
",239,Poland
"1 July 2020
",382,Poland
"2 July 2020
",371,Poland
"3 July 2020
",259,Poland
"4 July 2020
",314,Poland
"5 July 2020
",231,Poland
"6 July 2020
",205,Poland
"7 July 2020
",257,Poland
"8 July 2020
",277,Poland
"9 July 2020
",262,Poland
"10 July 2020
",265,Poland
"11 July 2020
",305,Poland
"12 July 2020
",370,Poland
"13 July 2020
",299,Poland
"14 July 2020
",267,Poland
"15 July 2020
",264,Poland
"16 July 2020
",333,Poland
"17 July 2020
",353,Poland
"18 July 2020
",339,Poland
"19 July 2020
",358,Poland
"20 July 2020
",279,Poland
"21 July 2020
",399,Poland
"22 July 2020
",380,Poland
"23 July 2020
",418,Poland
"24 July 2020
",458,Poland
"25 July 2020
",584,Poland
"26 July 2020
",443,Poland
"27 July 2020
",337,Poland
"28 July 2020
",502,Poland
"29 July 2020
",512,Poland
"30 July 2020
",615,Poland
"31 July 2020
",657,Poland
"1 August 2020
",658,Poland
"2 August 2020
",548,Poland
"3 August 2020
",575,Poland
"4 August 2020
",680,Poland
"5 August 2020
",640,Poland
"6 August 2020
",726,Poland
"7 August 2020
",809,Poland
"8 August 2020
",843,Poland
"9 August 2020
",624,Poland
"10 August 2020
",619,Poland
"11 August 2020
",551,Poland
"12 August 2020
",715,Poland
"13 August 2020
",811,Poland
"14 August 2020
",825,Poland
"15 August 2020
",778,Poland
"16 August 2020
",594,Poland
"17 August 2020
",595,Poland
"18 August 2020
",597,Poland
"19 August 2020
",735,Poland
"20 August 2020
",767,Poland
"21 August 2020
",903,Poland
"22 August 2020
",900,Poland
"23 August 2020
",581,Poland
"24 August 2020
",548,Poland
"25 August 2020
",763,Poland
"26 August 2020
",729,Poland
"27 August 2020
",887,Poland
"28 August 2020
",791,Poland
"29 August 2020
",759,Poland
"30 August 2020
",631,Poland
"31 August 2020
",502,Poland
"1 September 2020
",550,Poland
"2 September 2020
",595,Poland
"3 September 2020
",612,Poland
"4 September 2020
",691,Poland
"5 September 2020
",567,Poland
"6 September 2020
",437,Poland
"7 September 2020
",302,Poland
"8 September 2020
",400,Poland
"9 September 2020
",421,Poland
"10 September 2020
",506,Poland
"11 September 2020
",594,Poland
"12 September 2020
",603,Poland
"13 September 2020
",502,Poland
"14 September 2020
",377,Poland
"15 September 2020
",605,Poland
"16 September 2020
",600,Poland
"17 September 2020
",837,Poland
"18 September 2020
",757,Poland
"19 September 2020
","1,002",Poland
"20 September 2020
",910,Poland
"21 September 2020
",748,Poland
"22 September 2020
",711,Poland
"23 September 2020
",974,Poland
"24 September 2020
","1,136",Poland
"25 September 2020
","1,587",Poland
"26 September 2020
","1,584",Poland
"27 September 2020
","1,350",Poland
"28 September 2020
","1,306",Poland
"29 September 2020
","1,326",Poland
"30 September 2020
","1,552",Poland
"1 October 2020
","1,967",Poland
"2 October 2020
","2,292",Poland
"3 October 2020
","2,367",Poland
"4 October 2020
","1,934",Poland
"5 October 2020
","2,006",Poland
"6 October 2020
","2,236",Poland
"7 October 2020
","3,003",Poland
"8 October 2020
","4,280",Poland
"9 October 2020
","4,739",Poland
"10 October 2020
","5,300",Poland
"
",N/A,Poland
,,Poland
"
",,Poland
