date,daily_cases1,daily_cases2,daily_cases3,daily_cases4,country
"25 Jan
</th>",,,,1,UK
"26 Jan
</th>",,,,,UK
"27 Jan
</th>",,,,1,UK
"28 Jan
</th>",,,,,UK
"29 Jan
</th>",,,,,UK
"30 Jan
</th>",1,,,,UK
"31 Jan
</th>",1,,,,UK
"1 Feb
</th>",,,,,UK
"2 Feb
</th>",,,,,UK
"3 Feb
</th>",6,,,,UK
"4 Feb
</th>",,,,1,UK
"5 Feb
</th>",1,,,,UK
"6 Feb
</th>",,,,,UK
"7 Feb
</th>",,,,,UK
"8 Feb
</th>",3,,,,UK
"9 Feb
</th>",1,,,,UK
"10 Feb
</th>",,,,,UK
"11 Feb
</th>",1,,,,UK
"12 Feb
</th>",1,,,,UK
"13 Feb
</th>",1,,,,UK
"14 Feb
</th>",1,,,,UK
"15 Feb
</th>",,,,,UK
"16 Feb
</th>",1,,,,UK
"17 Feb
</th>",1,,,,UK
"18 Feb
</th>",,,,,UK
"19 Feb
</th>",1,,,,UK
"20 Feb
</th>",,,,,UK
"21 Feb
</th>",1,,,1,UK
"22 Feb
</th>",,,,,UK
"23 Feb
</th>",4,,,2,UK
"24 Feb
</th>",1,,,,UK
"25 Feb
</th>",4,,,,UK
"26 Feb
</th>",3,,,,UK
"27 Feb
</th>",6,1,,,UK
"28 Feb
</th>",12,,,1,UK
"29 Feb
</th>",4,,,,UK
,,,,,UK
,,,,,UK
,,,,,UK
,,,,,UK
"1 Mar
</th>",31,,,1,UK
"2 Mar
</th>",39,,1,1,UK
"3 Mar
</th>",52,,,,UK
"4 Mar
</th>",49,2,2,,UK
"5 Mar
</th>",47,,3,1,UK
"6 Mar
</th>",73,1,5,,UK
"7 Mar
</th>",47,3,5,,UK
"8 Mar
</th>",50,5,2,,UK
"9 Mar
</th>",125,,5,,UK
"10 Mar
</th>",225,4,4,,UK
"11 Mar
</th>",365,2,9,,UK
"12 Mar
</th>",421,2,24,3,UK
"13 Mar
</th>",390,9,25,1,UK
"14 Mar
</th>",315,5,36,4,UK
"15 Mar
</th>",397,11,32,6,UK
"16 Mar
</th>",546,7,18,10,UK
"17 Mar
</th>",678,10,24,192,UK
"18 Mar
</th>",910,6,32,29,UK
"19 Mar
</th>",931,9,39,57,UK
"20 Mar
</th>",1 082,9,56,73,UK
"21 Mar
</th>",1 034,22,51,75,UK
"22 Mar
</th>",1 207,20,43,75,UK
"23 Mar
</th>",2 016,20,83,132,UK
"24 Mar
</th>",2 018,24,85,140,UK
"25 Mar
</th>",2 263,37,135,190,UK
"26 Mar
</th>",2 612,32,175,178,UK
"27 Mar
</th>",2 654,34,165,193,UK
"28 Mar
</th>",2 372,49,186,167,UK
"29 Mar
</th>",2 436,86,139,159,UK
"30 Mar
</th>",3 490,123,179,343,UK
"31 Mar
</th>",3 751,53,430,277,UK
,,,,,UK
,,,,,UK
,,,,,UK
,,,,,UK
"1 Apr
</th>",4 087,103,317,326,UK
"2 Apr
</th>",4 010,85,292,335,UK
"3 Apr
</th>",4 040,130,399,330,UK
"4 Apr
</th>",3 326,94,344,281,UK
"5 Apr
</th>",3 027,91,361,224,UK
"6 Apr
</th>",4 337,69,255,384,UK
"7 Apr
</th>",4 502,97,268,387,UK
"8 Apr
</th>",4 253,84,336,386,UK
"9 Apr
</th>",4 028,138,392,391,UK
"10 Apr
</th>",3 531,112,318,308,UK
"11 Apr
</th>",3 004,128,315,247,UK
"12 Apr
</th>",2 694,89,322,247,UK
"13 Apr
</th>",3 340,76,155,272,UK
