dateRep,cases,deaths,country
08/02/2021,238,8,Afghanistan
01/02/2021,267,16,Afghanistan
25/01/2021,713,43,Afghanistan
18/01/2021,557,45,Afghanistan
11/01/2021,675,71,Afghanistan
04/01/2021,902,60,Afghanistan
28/12/2020,1994,88,Afghanistan
21/12/2020,740,111,Afghanistan
14/12/2020,1757,71,Afghanistan
07/12/2020,1672,137,Afghanistan
30/11/2020,1073,68,Afghanistan
23/11/2020,1368,69,Afghanistan
16/11/2020,1164,61,Afghanistan
09/11/2020,606,24,Afghanistan
02/11/2020,800,27,Afghanistan
26/10/2020,633,22,Afghanistan
19/10/2020,401,15,Afghanistan
12/10/2020,458,15,Afghanistan
05/10/2020,114,9,Afghanistan
28/09/2020,183,12,Afghanistan
21/09/2020,328,21,Afghanistan
14/09/2020,318,8,Afghanistan
07/09/2020,236,10,Afghanistan
31/08/2020,163,15,Afghanistan
24/08/2020,403,12,Afghanistan
17/08/2020,542,63,Afghanistan
10/08/2020,344,28,Afghanistan
03/08/2020,447,15,Afghanistan
27/07/2020,788,88,Afghanistan
20/07/2020,1024,171,Afghanistan
13/07/2020,1500,146,Afghanistan
06/07/2020,1984,143,Afghanistan
29/06/2020,2134,140,Afghanistan
22/06/2020,4067,110,Afghanistan
15/06/2020,4424,114,Afghanistan
08/06/2020,5137,100,Afghanistan
01/06/2020,4623,39,Afghanistan
25/05/2020,3918,49,Afghanistan
18/05/2020,2262,49,Afghanistan
11/05/2020,1698,35,Afghanistan
04/05/2020,1173,28,Afghanistan
27/04/2020,535,24,Afghanistan
20/04/2020,389,15,Afghanistan
13/04/2020,308,11,Afghanistan
06/04/2020,185,3,Afghanistan
30/03/2020,80,4,Afghanistan
23/03/2020,18,0,Afghanistan
16/03/2020,12,0,Afghanistan
09/03/2020,3,0,Afghanistan
02/03/2020,1,0,Afghanistan
24/02/2020,0,0,Afghanistan
17/02/2020,0,0,Afghanistan
10/02/2020,0,0,Afghanistan
03/02/2020,0,0,Afghanistan
27/01/2020,0,0,Afghanistan
