dateRep,cases,deaths,country,median_age,gdp_per_capita,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,testing_rate,positivity_rate,Population
10/10/2020,4739,52,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
09/10/2020,4280,75,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
08/10/2020,3003,75,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
07/10/2020,2236,58,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
06/10/2020,3940,55,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
05/10/2020,0,0,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
04/10/2020,2367,34,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
03/10/2020,2292,27,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
02/10/2020,1967,30,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
01/10/2020,1552,30,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
30/09/2020,1326,36,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
29/09/2020,1306,15,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
28/09/2020,1350,8,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
27/09/2020,1584,32,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
26/09/2020,1587,23,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
25/09/2020,1136,25,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
24/09/2020,974,28,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
23/09/2020,711,18,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
22/09/2020,748,5,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
21/09/2020,910,11,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
20/09/2020,1002,12,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
19/09/2020,757,17,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
18/09/2020,837,16,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
17/09/2020,600,10,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
16/09/2020,605,24,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
15/09/2020,377,15,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
14/09/2020,502,6,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
13/09/2020,603,13,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
12/09/2020,594,10,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
11/09/2020,506,12,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
10/09/2020,421,11,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
09/09/2020,400,12,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
08/09/2020,302,4,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
07/09/2020,437,7,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
06/09/2020,567,13,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
05/09/2020,691,8,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
04/09/2020,612,14,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
03/09/2020,595,20,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
02/09/2020,550,19,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
01/09/2020,502,6,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
31/08/2020,631,1,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
30/08/2020,759,14,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
29/08/2020,791,8,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
28/08/2020,887,16,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
27/08/2020,729,17,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
26/08/2020,763,17,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
25/08/2020,548,5,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
24/08/2020,581,4,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
23/08/2020,900,13,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
22/08/2020,903,13,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
21/08/2020,767,12,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
20/08/2020,735,17,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
19/08/2020,597,11,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
18/08/2020,595,8,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
17/08/2020,594,8,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
16/08/2020,771,11,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
15/08/2020,832,14,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
14/08/2020,811,14,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
13/08/2020,715,9,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
12/08/2020,551,12,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
11/08/2020,619,2,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
10/08/2020,624,7,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
09/08/2020,843,13,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
08/08/2020,809,13,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
07/08/2020,726,18,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
06/08/2020,640,18,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
05/08/2020,680,6,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
04/08/2020,575,1,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
03/08/2020,548,10,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
02/08/2020,658,5,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
01/08/2020,657,7,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
31/07/2020,615,15,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
30/07/2020,512,12,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
29/07/2020,502,6,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
28/07/2020,337,5,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
27/07/2020,443,7,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
26/07/2020,584,9,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
25/07/2020,458,4,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
24/07/2020,418,9,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
23/07/2020,380,6,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
22/07/2020,399,9,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
21/07/2020,279,3,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
20/07/2020,358,6,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
19/07/2020,339,6,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
18/07/2020,353,7,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
17/07/2020,274,11,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
16/07/2020,323,6,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
15/07/2020,267,12,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
14/07/2020,299,5,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
13/07/2020,370,3,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
12/07/2020,305,6,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
