date,daily_cases,country
"2020-01-24
",3,France
"2020-01-28
",1,France
"2020-01-29
",1,France
"2020-01-30
",1,France
"2020-02-08
",5,France
"2020-02-14
",,France
"2020-02-15
",1,France
"2020-02-25
",2,France
"2020-02-26
",4,France
"2020-02-27
",16,France
"2020-02-28
",14,France
"2020-02-29
",17,France
"2020-03-01
",58,France
"2020-03-02
",80,France
"2020-03-03
",9,France
"2020-03-04
",78,France
"2020-03-05
",132,France
"2020-03-06
",190,France
"2020-03-07
",387,France
"2020-03-08
",231,France
"2020-03-09
",219,France
"2020-03-10
",334,France
"2020-03-11
",497,France
"2020-03-12
",595,France
"2020-03-13
",785,France
"2020-03-14
",838,France
"2020-03-15
",924,France
"2020-03-16
",1210,France
"2020-03-17
",1097,France
"2020-03-18
",1401,France
"2020-03-19
",1574,France
"2020-03-20
",1683,France
"2020-03-21
",974,France
"2020-03-22
",1467,France
"2020-03-23
",2397,France
"2020-03-24
",2444,France
"2020-03-25
",3001,France
"2020-03-26
",2977,France
"2020-03-27
",2872,France
"2020-03-28
",3124,France
"2020-03-29
",2530,France
"2020-03-30
",2845,France
"2020-03-31
",3745,France
"2020-04-01
",3871,France
"2020-04-02
",3552,France
"2020-04-03
",3339,France
"2020-04-04
",2572,France
"2020-04-05
",1846,France
"2020-04-06
",2494,France
"2020-04-07
",2986,France
"2020-04-08
",2804,France
,Date,France
,,France
,,France
"Source: ARS / Santé Publique France / Ministère des Solidarités/Santé
",,France
