date,daily_cases,country
"24 Feb
,16
,—
",—,Germany
"25 Feb
,18
,—
",2,Germany
"26 Feb
,21
,—
",3,Germany
"27 Feb
,26
,—
",5,Germany
"28 Feb
,53
,—
",27,Germany
"29 Feb
,66
,—
",13,Germany
"1 Mar
,117
,—
",51,Germany
"2 Mar
,150
,—
",33,Germany
"3 Mar
,188
,—
",38,Germany
"4 Mar
,240
,—
",52,Germany
"5 Mar
,349
,—
",109,Germany
"6 Mar
,534
,—
",185,Germany
"7 Mar
,684
,—
",150,Germany
"8 Mar
,847
,—
",163,Germany
"9 Mar
,1112
,2
",265,Germany
"10 Mar
,1460
,2
",348 ,Germany
"11 Mar
,
,3
",424 ,Germany
"12 Mar
,2369
,5
",485,Germany
"13 Mar
,3062
,5
",693,Germany
"14 Mar
,3795
,8
",733,Germany
"15 Mar
,4838
,12
",1043,Germany
"16 Mar
,
,13
",1174 ,Germany
"17 Mar
,7156
,12
",1144,Germany
"18 Mar
,8198
,12
",1042,Germany
"19 Mar
,10999
,20
",2801,Germany
"20 Mar
,13957
,31
",2958,Germany
"21 Mar
,16662
,47
",2705,Germany
"22 Mar
,18610
,55
",1948,Germany
"23 Mar
,22672
,86
",4062,Germany
"24 Mar
,27436
,114
",4764,Germany
"25 Mar
,31554
,149
",4118,Germany
"26 Mar
,36508
,198
",4954,Germany
"27 Mar
,42288
,253
",5780,Germany
"28 Mar
,48582 ,
,325 ,
",6294 ,Germany
"29 Mar
,52547 ,
,389 ,
",3965 ,Germany
"30 Mar
,57298 ,
,455 ,
",4751 ,Germany
"31 Mar
,61913
,583
",4615,Germany
"Date
,States
,Cases
",,Germany
"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
",,Germany
"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
",,Germany
"1 Apr
,67366
,732
",5453,Germany
"2 Apr
,73522
,872
",6156,Germany
"3 Apr
,79696
,1017
",6174,Germany
"4 Apr
,85778
,1158
",6082,Germany
"5 Apr
,91714
,1342
",5936,Germany
