island,locality,area,price,beds,size,floor,date
Lanzarote,Arrecife,Valterra-La Vega-Las Salinas,110000,2,64,2,2020-09-09
Lanzarote,Arrecife,Valterra-La Vega-Las Salinas,108000,2,80,,2020-09-09
Lanzarote,Tias,Puerto del Carmen,195000,2,56,1,2020-09-09
Lanzarote,Tias,Puerto del Carmen,145000,2,53,Ground floor,2020-09-09
Lanzarote,Tias,Tías,106500,3,86,Ground floor,2020-09-09
Lanzarote,Arrecife,Altavista-Titerroy-San Francisco Javier,103000,3,80,Ground floor,2020-09-09
Lanzarote,Arrecife,Altavista-Titerroy-San Francisco Javier,128000,3,90,1,2020-09-09
Lanzarote,Yaiza,Montaña Roja,125000,2,76,1,2020-09-09
Lanzarote,Teguise,Costa Teguise,140000,2,95,Ground floor,2020-09-09
Lanzarote,Teguise,Costa Teguise,148000,2,72,Ground floor,2020-09-09
Lanzarote,Arrecife,Centro,185000,3,110,2,2020-09-09
Lanzarote,San Bartolomé,8,150000,2,76,1,2020-09-09
Lanzarote,Arrecife,Centro,130000,2,80,3,2020-09-09
Lanzarote,Teguise,Costa Teguise,198450,3,109,Ground floor,2020-09-09
Lanzarote,Arrecife,Centro,110000,2,59,Ground floor,2020-09-09
Lanzarote,Arrecife,Altavista-Titerroy-San Francisco Javier,120000,2,102,,2020-09-09
Lanzarote,Arrecife,Centro,109500,2,81,,2020-09-09
Lanzarote,Arrecife,Centro,124000,3,113,,2020-09-09
Lanzarote,Arrecife,Centro,124000,3,113,2,2020-09-09
Lanzarote,Arrecife,Centro,128000,3,70,3,2020-09-09
Lanzarote,Arrecife,Centro,81500,3,63,2,2020-09-09
Lanzarote,Arrecife,Argana-Maneje,79000,2,54,1,2020-09-09
Lanzarote,Arrecife,Valterra-La Vega-Las Salinas,135000,3,78,1,2020-09-09
Lanzarote,Arrecife,Argana-Maneje,118000,3,90,Ground floor,2020-09-09
Lanzarote,Arrecife,Valterra-La Vega-Las Salinas,140000,3,100,1,2020-09-09
Lanzarote,Yaiza,Montaña Roja,120000,3,77,Ground floor,2020-09-09
Lanzarote,San Bartolomé,calle corbeta,173500,2,64,Ground floor,2020-09-09
Lanzarote,Teguise,Costa Teguise,150000,2,60,1,2020-09-09
Lanzarote,Arrecife,Altavista-Titerroy-San Francisco Javier,98500,2,77,Ground floor,2020-09-09
Lanzarote,San Bartolomé,Altavista-Titerroy-San Francisco Javier,98500,2,77,Ground floor,2020-09-09
Lanzarote,Arrecife,Valterra-La Vega-Las Salinas,110000,2,64,2,2020-09-09
Lanzarote,Arrecife,Valterra-La Vega-Las Salinas,108000,2,80,,2020-09-09
Lanzarote,Tias,Puerto del Carmen,195000,2,56,1,2020-09-09
Lanzarote,Tias,Puerto del Carmen,145000,2,53,Ground floor,2020-09-09
Lanzarote,Tias,Tías,106500,3,86,Ground floor,2020-09-09
Lanzarote,Arrecife,Altavista-Titerroy-San Francisco Javier,103000,3,80,Ground floor,2020-09-09
Lanzarote,Arrecife,Altavista-Titerroy-San Francisco Javier,128000,3,90,1,2020-09-09
Lanzarote,Yaiza,Montaña Roja,125000,2,76,1,2020-09-09
Lanzarote,Teguise,Costa Teguise,140000,2,95,Ground floor,2020-09-09
Lanzarote,Teguise,Costa Teguise,148000,2,72,Ground floor,2020-09-09
Lanzarote,Arrecife,Centro,185000,3,110,2,2020-09-09
Lanzarote,San Bartolomé,8,150000,2,76,1,2020-09-09
Lanzarote,Arrecife,Centro,130000,2,80,3,2020-09-09
Lanzarote,Teguise,Costa Teguise,198450,3,109,Ground floor,2020-09-09
Lanzarote,Arrecife,Centro,110000,2,59,Ground floor,2020-09-09
Lanzarote,Arrecife,Altavista-Titerroy-San Francisco Javier,120000,2,102,,2020-09-09
Lanzarote,Arrecife,Centro,109500,2,81,,2020-09-09
Lanzarote,Arrecife,Centro,124000,3,113,,2020-09-09
Lanzarote,Arrecife,Centro,124000,3,113,2,2020-09-09
Lanzarote,Arrecife,Centro,128000,3,70,3,2020-09-09
Lanzarote,Arrecife,Centro,81500,3,63,2,2020-09-09
