island,locality,area,price,beds,size,floor,date
Mallorca,Palma de Mallorca,Coll d'En Rabassa,149900,3,104,4,2020-09-09
Mallorca,Santa Margalida,Can Picafort,185000,3,80,2,2020-09-09
Mallorca,Palma de Mallorca,Pere Garau,159900,4,93,1,2020-09-09
Mallorca,Calvià,Son Ferrer,199900,2,60,2,2020-09-09
Mallorca,Colonia de Sant Jordi,avenida Marqués de Palmer,190000,3,82,2,2020-09-09
Mallorca,Santa Margalida,Can Picafort,170000,3,93,2,2020-09-09
Mallorca,Palma de Mallorca,La Soledat,185000,4,140,1,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,187000,3,95,2,2020-09-09
Mallorca,Inca,Centro,168000,3,94,1,2020-09-09
Mallorca,Llucmajor,S'Arenal,165000,2,87,6,2020-09-09
Mallorca,Cala d'Or,NN,189000,2,86,2,2020-09-09
Mallorca,Cala Millor,Binicanella,139000,2,94,2,2020-09-09
Mallorca,Manacor,Manacor Centro,168000,3,154,2,2020-09-09
Mallorca,Palma de Mallorca,Nou Llevant,190000,3,61,5,2020-09-09
Mallorca,Palma de Mallorca,Camp Redo,100000,2,50,3,2020-09-09
Mallorca,Palma de Mallorca,Pere Garau,178000,3,90,6,2020-09-09
Mallorca,Santa Margalida,Can Picafort,183000,3,71,2,2020-09-09
Mallorca,Llucmajor,Sa Torre,178500,2,88,1,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,195000,2,63,3,2020-09-09
Mallorca,Palma de Mallorca,Son Gotleu,120000,3,98,2,2020-09-09
Mallorca,Palma de Mallorca,Sa Indiotería - Son Castelló,139000,4,117,2,2020-09-09
Mallorca,Palma de Mallorca,Nou Llevant,179000,3,100,4,2020-09-09
Mallorca,Llucmajor,S'Arenal,200000,3,95,4,2020-09-09
Mallorca,Felanitx,Cala Ferrera - Cala Serena,140000,2,70,1,2020-09-09
Mallorca,Palma de Mallorca,Son Cladera - Son Fuster,98000,2,64,2,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,187000,3,90,2,2020-09-09
Mallorca,Pobla (Sa),,160000,3,100,2,2020-09-09
Mallorca,Palma de Mallorca,Cas Capiscol,164000,2,75,4,2020-09-09
Mallorca,Palma de Mallorca,Sta Catalina - El Jonquet,145000,3,70,6,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,177000,3,90,2,2020-09-09
Mallorca,Palma de Mallorca,Coll d'En Rabassa,149900,3,104,4,2020-09-09
Mallorca,Santa Margalida,Can Picafort,185000,3,80,2,2020-09-09
Mallorca,Palma de Mallorca,Pere Garau,159900,4,93,1,2020-09-09
Mallorca,Calvià,Son Ferrer,199900,2,60,2,2020-09-09
Mallorca,Colonia de Sant Jordi,avenida Marqués de Palmer,190000,3,82,2,2020-09-09
Mallorca,Santa Margalida,Can Picafort,170000,3,93,2,2020-09-09
Mallorca,Palma de Mallorca,La Soledat,185000,4,140,1,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,187000,3,95,2,2020-09-09
Mallorca,Inca,Centro,168000,3,94,1,2020-09-09
Mallorca,Llucmajor,S'Arenal,165000,2,87,6,2020-09-09
Mallorca,Cala d'Or,NN,189000,2,86,2,2020-09-09
Mallorca,Cala Millor,Binicanella,139000,2,94,2,2020-09-09
Mallorca,Manacor,Manacor Centro,168000,3,154,2,2020-09-09
Mallorca,Palma de Mallorca,Nou Llevant,190000,3,61,5,2020-09-09
Mallorca,Palma de Mallorca,Camp Redo,100000,2,50,3,2020-09-09
Mallorca,Palma de Mallorca,Pere Garau,178000,3,90,6,2020-09-09
Mallorca,Santa Margalida,Can Picafort,183000,3,71,2,2020-09-09
Mallorca,Llucmajor,Sa Torre,178500,2,88,1,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,195000,2,63,3,2020-09-09
Mallorca,Palma de Mallorca,Son Gotleu,120000,3,98,2,2020-09-09
Mallorca,Palma de Mallorca,Sa Indiotería - Son Castelló,139000,4,117,2,2020-09-09
Mallorca,Palma de Mallorca,Nou Llevant,179000,3,100,4,2020-09-09
Mallorca,Llucmajor,S'Arenal,200000,3,95,4,2020-09-09
Mallorca,Felanitx,Cala Ferrera - Cala Serena,140000,2,70,1,2020-09-09
Mallorca,Palma de Mallorca,Son Cladera - Son Fuster,98000,2,64,2,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,187000,3,90,2,2020-09-09
Mallorca,Pobla (Sa),,160000,3,100,2,2020-09-09
Mallorca,Palma de Mallorca,Cas Capiscol,164000,2,75,4,2020-09-09
