island,locality,area,price,beds,size,floor,date
Mallorca,Candelaria,Las Caletillas-Punta Larga,113500,1,49,1,2020-09-09
Mallorca,Puerto de la Cruz,Distrito Playa Jardín,170000,2,82,6,2020-09-09
Mallorca,Arona,El Fraile,89000,2,80,3,2020-09-09
Mallorca,Santa Cruz de Tenerife,Acorán,195000,2,114,4,2020-09-09
Mallorca,Santa Cruz de Tenerife,Centro,140000,2,58,7,2020-09-09
Mallorca,Granadilla de Abona,Los Abrigos,102299,2,100,1,2020-09-09
Mallorca,El Rosario,Radazul,147500,3,101,2,2020-09-09
Mallorca,Arona,Costa del Silencio-Las Galletas,130000,1,52,3,2020-09-09
Mallorca,Granadilla de Abona,San Isidro,130000,2,76,3,2020-09-09
Mallorca,Granadilla de Abona,Granadilla,149000,3,90,4,2020-09-09
Mallorca,Granadilla de Abona,San Isidro,125000,3,87,2,2020-09-09
Mallorca,Santa Cruz de Tenerife,César Casariego-Santa Clara-Nuevo Obrero,110000,2,93,5,2020-09-09
Mallorca,San Miguel de Abona,Las Chafiras,128000,1,60,2,2020-09-09
Mallorca,Adeje,Casco Urbano,154000,3,89,3,2020-09-09
Mallorca,Adeje,Casco Urbano,169900,3,80,3,2020-09-09
Mallorca,Adeje,Callao Salvaje - Playa Paraíso,168000,1,67,1,2020-09-09
Mallorca,La Matanza de Acentejo,106,95000,2,64,1,2020-09-09
Mallorca,Santa Cruz de Tenerife,Villa Ascensión-El Perú-Cruz del Señor,198000,2,80,1,2020-09-09
Mallorca,Santa Cruz de Tenerife,Villa Ascensión-El Perú-Cruz del Señor,195000,2,80,3,2020-09-09
Mallorca,Santa Cruz de Tenerife,Villa Ascensión-El Perú-Cruz del Señor,190000,2,80,2,2020-09-09
Mallorca,Los Realejos,Longuera-Toscal,145000,1,58,2,2020-09-09
Mallorca,Arona,Los Cristianos,180000,1,92,2,2020-09-09
Mallorca,Arona,Los Cristianos,199000,2,77,2,2020-09-09
Mallorca,Guia de Isora,Alcalá,174000,3,200,2,2020-09-09
Mallorca,Guia de Isora,Alcalá,157800,2,100,2,2020-09-09
Mallorca,Guia de Isora,Alcalá,174000,3,200,2,2020-09-09
Mallorca,Guia de Isora,Alcalá,157800,3,130,2,2020-09-09
Mallorca,San Cristóbal de la Laguna,La Cuesta,98500,4,92,1,2020-09-09
Mallorca,Puerto de la Cruz,Distrito Botánico,130000,1,54,4,2020-09-09
Mallorca,Arona,Los Cristianos,182000,2,90,1,2020-09-09
Mallorca,Candelaria,Las Caletillas-Punta Larga,113500,1,49,1,2020-09-09
Mallorca,Puerto de la Cruz,Distrito Playa Jardín,170000,2,82,6,2020-09-09
Mallorca,Arona,El Fraile,89000,2,80,3,2020-09-09
Mallorca,Santa Cruz de Tenerife,Acorán,195000,2,114,4,2020-09-09
Mallorca,Santa Cruz de Tenerife,Centro,140000,2,58,7,2020-09-09
Mallorca,Granadilla de Abona,Los Abrigos,102299,2,100,1,2020-09-09
Mallorca,El Rosario,Radazul,147500,3,101,2,2020-09-09
Mallorca,Arona,Costa del Silencio-Las Galletas,130000,1,52,3,2020-09-09
Mallorca,Granadilla de Abona,San Isidro,130000,2,76,3,2020-09-09
Mallorca,Granadilla de Abona,Granadilla,149000,3,90,4,2020-09-09
Mallorca,Granadilla de Abona,San Isidro,125000,3,87,2,2020-09-09
Mallorca,Santa Cruz de Tenerife,César Casariego-Santa Clara-Nuevo Obrero,110000,2,93,5,2020-09-09
Mallorca,San Miguel de Abona,Las Chafiras,128000,1,60,2,2020-09-09
Mallorca,Adeje,Casco Urbano,154000,3,89,3,2020-09-09
Mallorca,Adeje,Casco Urbano,169900,3,80,3,2020-09-09
Mallorca,Adeje,Callao Salvaje - Playa Paraíso,168000,1,67,1,2020-09-09
Mallorca,La Matanza de Acentejo,106,95000,2,64,1,2020-09-09
Mallorca,Santa Cruz de Tenerife,Villa Ascensión-El Perú-Cruz del Señor,195000,2,80,3,2020-09-09
Mallorca,Santa Cruz de Tenerife,Villa Ascensión-El Perú-Cruz del Señor,190000,2,80,2,2020-09-09
Mallorca,Santa Cruz de Tenerife,Villa Ascensión-El Perú-Cruz del Señor,198000,2,80,1,2020-09-09
Mallorca,Los Realejos,Longuera-Toscal,145000,1,58,2,2020-09-09
Mallorca,Arona,Los Cristianos,180000,1,92,2,2020-09-09
Mallorca,Arona,Los Cristianos,199000,2,77,2,2020-09-09
Mallorca,Guia de Isora,Alcalá,174000,3,200,2,2020-09-09
Mallorca,Guia de Isora,Alcalá,157800,2,100,2,2020-09-09
Mallorca,Guia de Isora,Alcalá,174000,3,200,2,2020-09-09
Mallorca,Guia de Isora,Alcalá,157800,3,130,2,2020-09-09
Mallorca,San Cristóbal de la Laguna,La Cuesta,98500,4,92,1,2020-09-09
Mallorca,Puerto de la Cruz,Distrito Botánico,130000,1,54,4,2020-09-09
Mallorca,Arona,Los Cristianos,182000,2,90,1,2020-09-09
Mallorca,Santiago del Teide,Puerto de Santiago,195000,2,130,2,2020-09-09
Mallorca,Adeje,Torviscas Centro y Alto,158000,1,60,Mezzanine,2020-09-09
Mallorca,Adeje,Casco Urbano,168000,3,98,2,2020-09-09
Mallorca,Granadilla de Abona,San Isidro,130000,3,93,3,2020-09-09
Mallorca,Arona,Las Rosas,145000,3,100,2,2020-09-09
Mallorca,Puerto de la Cruz,Distrito Botánico,138000,1,57,2,2020-09-09
Mallorca,Güimar,Centro,185000,3,104,1,2020-09-09
Mallorca,Santa Cruz de Tenerife,Villa Ascensión-El Perú-Cruz del Señor,160000,3,91,1,2020-09-09
Mallorca,San Cristóbal de la Laguna,La Laguna,142000,3,110,1,2020-09-09
Mallorca,Arona,Costa del Silencio-Las Galletas,175000,2,72,1,2020-09-09
Mallorca,Arona,Los Cristianos,195000,3,140,3,2020-09-09
Mallorca,Arona,Los Cristianos,122900,2,65,1,2020-09-09
Mallorca,Arona,Playa de las Américas,198000,1,66,3,2020-09-09
Mallorca,Arona,Valle San Lorenzo,189000,3,245,1,2020-09-09
Mallorca,Santa Cruz de Tenerife,Villa Ascensión-El Perú-Cruz del Señor,180000,3,81,3,2020-09-09
Mallorca,Santa Cruz de Tenerife,Anaga,165000,4,133,1,2020-09-09
Mallorca,El Rosario,Tabaiba,129900,3,88,2,2020-09-09
Mallorca,Arona,Los Cristianos,122900,2,65,1,2020-09-09
Mallorca,Santiago del Teide,Puerto de Santiago,135000,1,64,4,2020-09-09
Mallorca,Granadilla de Abona,Granadilla,84200,1,42,2,2020-09-09
Mallorca,Santiago del Teide,Puerto de Santiago,140000,1,57,1,2020-09-09
Mallorca,Santa Cruz de Tenerife,Los Hoteles-Rambla-Duggi,165000,1,127,2,2020-09-09
Mallorca,Granadilla de Abona,San Isidro,120000,2,65,2,2020-09-09
Mallorca,Arona,Costa del Silencio-Las Galletas,156450,2,61,2,2020-09-09
Mallorca,Granadilla de Abona,Los Abrigos,136500,2,61,2,2020-09-09
Mallorca,Santiago del Teide,Puerto de Santiago,179000,1,68,3,2020-09-09
Mallorca,San Miguel de Abona,Las Chafiras,126000,4,160,2,2020-09-09
Mallorca,Arona,Costa del Silencio-Las Galletas,190000,3,95,2,2020-09-09
Mallorca,Adeje,Callao Salvaje - Playa Paraíso,178000,2,74,5,2020-09-09
Mallorca,Arona,Chayofa,155000,1,74,1,2020-09-09
Mallorca,Santiago del Teide,Puerto de Santiago,156000,1,67,3,2020-09-09
Mallorca,Arona,Cho-Guaza,185000,3,99,1,2020-09-09
Mallorca,Santiago del Teide,Puerto de Santiago,140000,1,68,2,2020-09-09
Mallorca,El Rosario,Radazul,200000,2,83,4,2020-09-09
Mallorca,Santiago del Teide,Puerto de Santiago,195000,2,105,2,2020-09-09
Mallorca,Puerto de la Cruz,Distrito Playa Jardín,179900,2,120,3,2020-09-09
Mallorca,Santa Cruz de Tenerife,El Sobradillo,130000,4,90,2,2020-09-09
Mallorca,El Rosario,El Chorrillo-San Isidro-Llano Blanco,92000,3,100,2,2020-09-09
Mallorca,Santa Cruz de Tenerife,Los Hoteles-Rambla-Duggi,95000,2,55,2,2020-09-09
Mallorca,Santa Cruz de Tenerife,La Salle,165000,2,62,10,2020-09-09
Mallorca,La Orotava,La Perdoma - San Antonio - Benijos,155000,2,78,8,2020-09-09
Mallorca,Santiago del Teide,Puerto de Santiago,145000,1,67,3,2020-09-09
Mallorca,El Rosario,Radazul,200000,2,83,4,2020-09-09
Mallorca,Arona,Los Cristianos,175000,1,65,2,2020-09-09
Mallorca,San Cristóbal de la Laguna,La Laguna,170000,1,76,1,2020-09-09
Mallorca,Santiago del Teide,Puerto de Santiago,160000,3,100,1,2020-09-09
Mallorca,Adeje,Casco Urbano,168000,3,98,2,2020-09-09
Mallorca,Tacoronte,Tacoronte - Los Naranjeros,135000,2,70,1,2020-09-09
Mallorca,San Miguel de Abona,Las Chafiras,110000,2,84,1,2020-09-09
Mallorca,Adeje,Playa de las Américas,159000,1,65,8,2020-09-09
Mallorca,El Rosario,Tabaiba,157000,2,87,Mezzanine,2020-09-09
Mallorca,Adeje,Callao Salvaje - Playa Paraíso,179900,2,58,15,2020-09-09
Mallorca,Santa Cruz de Tenerife,Ifara-Las Mimosas,197000,4,125,3,2020-09-09
Mallorca,Arona,Los Cristianos,175000,1,47,2,2020-09-09
Mallorca,Arona,Los Cristianos,199000,2,90,2,2020-09-09
Mallorca,Arona,Buzanada,140000,3,103,2,2020-09-09
Mallorca,Puerto de la Cruz,Distrito Martiánez,180000,1,75,2,2020-09-09
Mallorca,Santiago del Teide,Puerto de Santiago,197000,2,90,3,2020-09-09
Mallorca,Santa Cruz de Tenerife,Ifara-Las Mimosas,175000,2,75,3,2020-09-09
Mallorca,Granadilla de Abona,San Isidro,100000,3,69,3,2020-09-09
Mallorca,Santiago del Teide,Acantilados de Los Gigantes,189000,2,80,1,2020-09-09
Mallorca,Adeje,Playa de Fañabé,170000,1,51,1,2020-09-09
Mallorca,Arona,Costa del Silencio-Las Galletas,135000,1,55,1,2020-09-09
Mallorca,Arona,Palm Mar,151000,1,70,1,2020-09-09
Mallorca,Arona,Chayofa,170000,2,105,1,2020-09-09
Mallorca,San Miguel de Abona,Golf del Sur-Amarilla Golf,169000,1,65,1,2020-09-09
Mallorca,San Cristóbal de la Laguna,La Cuesta,191643,3,95,1,2020-09-09
Mallorca,Granadilla de Abona,Los Abrigos,110000,2,75,2,2020-09-09
