area,beds,date,floor,island,locality,price,size,title
El Tablero,3,2020-09-15,1,Mallorca,San Bartolomé de Tirajana,185000,81,"Flat / Apartment in Sao Paulo, 3, El Tablero, San Bartolomé de Tirajana"
Vecindario norte-Cruce Sardina,3,2020-09-15,3,Mallorca,Santa Lucía de Tirajana,114000,88,"Flat / Apartment in calle Adargoma, 21, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
Playa del Inglés,2,2020-09-15,2,Mallorca,San Bartolomé de Tirajana,189000,70,"Flat / Apartment in avenida Tirajana, 9, Playa del Inglés, San Bartolomé de Tirajana"
3,3,2020-09-15,1,Mallorca,Valsequillo de Gran Canaria,88000,77,"Flat / Apartment in Faycan, 3, Valsequillo de Gran Canaria"
La Pardilla - San Antonio,2,2020-09-15,4,Mallorca,Telde,65000,84,"Flat / Apartment in JOHN LENONN, NN, La Pardilla - San Antonio, Telde"
La Isleta,2,2020-09-15,5,Mallorca,Las Palmas de Gran Canaria,199000,58,"Flat / Apartment in Juan Rejón, 3, La Isleta, Las Palmas de Gran Canaria"
La Isleta,2,2020-09-15,5,Mallorca,Las Palmas de Gran Canaria,199000,60,"Flat / Apartment in Juan Rejón, 3, La Isleta, Las Palmas de Gran Canaria"
La Isleta,2,2020-09-15,4,Mallorca,Las Palmas de Gran Canaria,196000,58,"Flat / Apartment in Juan Rejón, 3, La Isleta, Las Palmas de Gran Canaria"
La Isleta,2,2020-09-15,2,Mallorca,Las Palmas de Gran Canaria,190000,57,"Flat / Apartment in Juan Rejón, 3, La Isleta, Las Palmas de Gran Canaria"
La Isleta,2,2020-09-15,1,Mallorca,Las Palmas de Gran Canaria,185000,59,"Flat / Apartment in Juan Rejón, 3, La Isleta, Las Palmas de Gran Canaria"
Valle de los Nueve - El Ejido - Medianías,3,2020-09-15,1,Mallorca,Telde,128750,93,"Flat / Apartment in Valle de los Nueve - El Ejido - Medianías, Telde"
Vecindario norte-Cruce Sardina,3,2020-09-15,1,Mallorca,Santa Lucía de Tirajana,116000,110,"Flat / Apartment in calle Miguel de Unamuno, 1, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
Vecindario-Paredilla-Sardina,3,2020-09-15,2,Mallorca,Santa Lucía de Tirajana,110000,97,"Flat / Apartment in avenida de las Tirajanas, 205, Vecindario-Paredilla-Sardina, Santa Lucía de Tirajana"
Vecindario-Los Llanos,3,2020-09-15,2,Mallorca,Santa Lucía de Tirajana,121000,81,"Flat / Apartment in calle Diego de Ordaz, 63, Vecindario-Los Llanos, Santa Lucía de Tirajana"
30,3,2020-09-15,1,Mallorca,Agüimes,135000,78,"Flat / Apartment in calle Archipiélago Canario, 30, Agüimes"
Playa del Inglés,2,2020-09-15,5,Mallorca,San Bartolomé de Tirajana,199000,48,"Flat / Apartment in alfereces provisionales, 22, Playa del Inglés, San Bartolomé de Tirajana"
5,3,2020-09-15,1,Mallorca,Valsequillo de Gran Canaria,84500,70,"Flat / Apartment in Pérez Galdós, 5, Valsequillo de Gran Canaria"
NN,3,2020-09-15,2,Mallorca,Ingenio,98000,75,"Flat / Apartment in TENDERETE, NN, Ingenio"
Vecindario-Paredilla-Sardina,2,2020-09-15,1,Mallorca,Santa Lucía de Tirajana,115000,65,"Flat / Apartment in calle Beñesmén, 11, Vecindario-Paredilla-Sardina, Santa Lucía de Tirajana"
La Isleta,2,2020-09-15,2,Mallorca,Las Palmas de Gran Canaria,185000,75,"Flat / Apartment in FARO, 13, La Isleta, Las Palmas de Gran Canaria"
Vecindario norte-Cruce Sardina,3,2020-09-15,2,Mallorca,Santa Lucía de Tirajana,189000,121,"Flat / Apartment in avenida Atlántica, 363, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
La Pardilla - San Antonio,2,2020-09-15,4,Mallorca,Telde,65000,84,"Flat / Apartment in JOHN LENNON, La Pardilla - San Antonio, Telde"
El Tablero,2,2020-09-15,1,Mallorca,San Bartolomé de Tirajana,155000,87,"Flat / Apartment in CIENFUGOS, NN, El Tablero, San Bartolomé de Tirajana"
Cruce de Arinaga,3,2020-09-15,1,Mallorca,Agüimes,118390,100,"Flat / Apartment in ROQUE NUBLO, NN, Cruce de Arinaga, Agüimes"
Playa de Arinaga,3,2020-09-15,1,Mallorca,Agüimes,159000,73,"Flat / Apartment in calle Jorge Juan, 30, Playa de Arinaga, Agüimes"
Vecindario norte-Cruce Sardina,3,2020-09-15,2,Mallorca,Santa Lucía de Tirajana,189000,108,"Flat / Apartment in calle Isla de la Graciosa, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
San Lorenzo,3,2020-09-15,2,Mallorca,Las Palmas de Gran Canaria,165000,120,"Duplex in carretera de San Lorenzo., San Lorenzo, Las Palmas de Gran Canaria"
Arenales - Lugo - Avda Marítima,2,2020-09-15,2,Mallorca,Las Palmas de Gran Canaria,185000,70,"Flat / Apartment in calle León y Castillo, 162, Arenales - Lugo - Avda Marítima, Las Palmas de Gran Canaria"
