id,title,island,locality,area,price,beds,size,floor,date
,"Flat / Apartment in Playa Blanca, Costa de Papagayo, Yaiza",Lanzarote,Yaiza,Costa de Papagayo,139000,2,57,Ground floor,2020-09-15
,"Flat / Apartment in calle Teide, Puerto del Carmen, Tias",Lanzarote,Tias,Puerto del Carmen,195000,2,56,1,2020-09-15
,"Flat / Apartment in calle Guatemala, NN, Valterra-La Vega-Las Salinas, Arrecife",Lanzarote,Arrecife,Valterra-La Vega-Las Salinas,110000,2,64,2,2020-09-15
,"Flat / Apartment in calle Luis Morote, Centro, Arrecife",Lanzarote,Arrecife,Centro,128000,3,70,3,2020-09-15
,"Flat / Apartment in Altavista-Titerroy-San Francisco Javier, Arrecife",Lanzarote,Arrecife,Altavista-Titerroy-San Francisco Javier,98500,2,77,Ground floor,2020-09-15
,"Flat / Apartment in calle León y Castillo, NN, Centro, Arrecife",Lanzarote,Arrecife,Centro,130000,2,80,3,2020-09-15
,"Duplex in calle Colombia, 7, Costa Teguise, Teguise",Lanzarote,Teguise,Costa Teguise,198450,3,109,Ground floor,2020-09-15
,"Flat / Apartment in calle el Tres Papás, Arrecife, NN, Centro, Arrecife",Lanzarote,Arrecife,Centro,110000,2,59,Ground floor,2020-09-15
,"Flat / Apartment in Arrecife, Centro, Arrecife",Lanzarote,Arrecife,Centro,123000,2,80,3,2020-09-15
,"Flat / Apartment in Calle Coronel Bens, Centro, Arrecife",Lanzarote,Arrecife,Centro,109500,2,81,3,2020-09-15
,"Flat / Apartment in Calle Coronel Bens, Centro, Arrecife",Lanzarote,Arrecife,Centro,124000,3,113,3,2020-09-15
,"Flat / Apartment in RIEGO, 11, Centro, Arrecife",Lanzarote,Arrecife,Centro,81500,3,63,2,2020-09-15
,"Flat / Apartment in calle José Ortega y Gasset, Valterra-La Vega-Las Salinas, Arrecife",Lanzarote,Arrecife,Valterra-La Vega-Las Salinas,108000,2,80,,2020-09-15
,"Flat / Apartment in Perez Galdos, 31, Valterra-La Vega-Las Salinas, Arrecife",Lanzarote,Arrecife,Valterra-La Vega-Las Salinas,135000,3,78,1,2020-09-15
,"Flat / Apartment in calle Alemania, NN, Montaña Roja, Yaiza",Lanzarote,Yaiza,Montaña Roja,120000,3,77,Ground floor,2020-09-15
,"Flat / Apartment in calle Carnicería, Centro, Arrecife",Lanzarote,Arrecife,Centro,86000,2,55,1,2020-09-15
,"Flat / Apartment in Valterra-La Vega-Las Salinas, Arrecife",Lanzarote,Arrecife,Valterra-La Vega-Las Salinas,135000,4,97,1,2020-09-15
,Flat / Apartment in San Bartolomé,Lanzarote,San Bartolomé,Valterra-La Vega-Las Salinas,135000,4,97,1,2020-09-15
,"Flat / Apartment in calle de Campoamor, NN, Argana-Maneje, Arrecife",Lanzarote,Arrecife,Argana-Maneje,74000,2,65,Mezzanine,2020-09-15
,"Flat / Apartment in Triana, 99, Valterra-La Vega-Las Salinas, Arrecife",Lanzarote,Arrecife,Valterra-La Vega-Las Salinas,199000,3,90,2,2020-09-15
,"Flat / Apartment in calle Alonso Quesada, NN, Argana-Maneje, Arrecife",Lanzarote,Arrecife,Argana-Maneje,85000,3,90,2,2020-09-15
,"Flat / Apartment in calle Almeria, NN, Altavista-Titerroy-San Francisco Javier, Arrecife",Lanzarote,Arrecife,Altavista-Titerroy-San Francisco Javier,92000,2,61,Ground floor,2020-09-15
,"Flat / Apartment in calle Benito Perez Galdos, NN, Tahiche, Teguise",Lanzarote,Teguise,Tahiche,130000,3,100,1,2020-09-15
,"Flat / Apartment in calle de Alfonso XII, Argana-Maneje, Arrecife",Lanzarote,Arrecife,Argana-Maneje,84000,2,70,1,2020-09-15
,Duplex in San Bartolomé,Lanzarote,San Bartolomé,Argana-Maneje,84000,2,70,1,2020-09-15
,"Flat / Apartment in calle Lérida, Valterra-La Vega-Las Salinas, Arrecife",Lanzarote,Arrecife,Valterra-La Vega-Las Salinas,115000,2,64,2,2020-09-15
,"Flat / Apartment in calle Extremadura, 18, Valterra-La Vega-Las Salinas, Arrecife",Lanzarote,Arrecife,Valterra-La Vega-Las Salinas,140000,3,100,1,2020-09-15
,"Flat / Apartment in Calle Cribo, Argana-Maneje, Arrecife",Lanzarote,Arrecife,Argana-Maneje,60000,2,63,1,2020-09-15
,"Flat / Apartment in Calle Cribo, Argana-Maneje, Arrecife",Lanzarote,Arrecife,Argana-Maneje,90500,3,105,1,2020-09-15
,"Flat / Apartment in calle la Luchada, Tías, Tias",Lanzarote,Tias,Tías,119600,2,73,1,2020-09-15
