id,title,island,locality,area,price,beds,size,floor,date
,"Flat / Apartment in calle cardenall Rosell, Coll d'En Rabassa, Palma de Mallorca",Mallorca,Palma de Mallorca,Coll d'En Rabassa,149900,3,104,4,2020-09-15
,"Flat / Apartment in Can Picafort, Santa Margalida",Mallorca,Santa Margalida,Can Picafort,185000,3,80,2,2020-09-15
,"Flat / Apartment in Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,Rafal Vell,191000,3,105,3,2020-09-15
,"Penthouse in calle can ferrer, Son Ferrer, Calvià",Mallorca,Calvià,Son Ferrer,199900,2,60,2,2020-09-15
,"Flat / Apartment in manacor, Nou Llevant, Palma de Mallorca",Mallorca,Palma de Mallorca,Nou Llevant,149940,2,67,2,2020-09-15
,"Flat / Apartment in calle JOAN MUNTANER I BUJOSA, Son Cotoner, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Cotoner,117000,3,80,5,2020-09-15
,"Flat / Apartment in Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,Rafal Vell,163000,3,80,2,2020-09-15
,"Flat / Apartment in Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,Rafal Vell,187000,3,90,2,2020-09-15
,"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,Pere Garau,159900,4,93,1,2020-09-15
,"Flat / Apartment in calle d'En Nuno Sanç, Manacor Centro, Manacor",Mallorca,Manacor,Manacor Centro,139000,3,109,2,2020-09-15
,"Flat / Apartment in S'Arenal, Llucmajor",Mallorca,Llucmajor,S'Arenal,165000,2,87,6,2020-09-15
,"Flat / Apartment in Can Picafort, Santa Margalida",Mallorca,Santa Margalida,Can Picafort,195000,3,110,1,2020-09-15
,"Flat / Apartment in avenida Gabriel Alomar, 15, Pont d'Inca, Marratxi",Mallorca,Marratxi,Pont d'Inca,140000,2,71,2,2020-09-15
,"Flat / Apartment in Porto Cristo, Manacor",Mallorca,Manacor,Porto Cristo,169000,2,70,1,2020-09-15
,"Penthouse in avenida de la Virgen, 124, Campos",Mallorca,Campos,124,177900,2,80,3,2020-09-15
,"Flat / Apartment in calle Pintor Sorolla, 41, Centro, Inca",Mallorca,Inca,Centro,165000,3,85,1,2020-09-15
,"Flat / Apartment in Son Dureta, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Dureta,189000,4,113,1,2020-09-15
,"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,Pere Garau,160000,3,73,4,2020-09-15
,"Flat / Apartment in calle Puerto Rico, Nou Llevant, Palma de Mallorca",Mallorca,Palma de Mallorca,Nou Llevant,179000,3,100,4,2020-09-15
,"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,Pere Garau,149000,2,90,3,2020-09-15
,Flat / Apartment in Pobla (Sa),Mallorca,Pobla (Sa),,160000,3,100,2,2020-09-15
,"Duplex in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,Pere Garau,196000,4,125,2,2020-09-15
,"Flat / Apartment in Can Picafort, Santa Margalida",Mallorca,Santa Margalida,Can Picafort,199000,3,95,1,2020-09-15
,"Flat / Apartment in calle Femenies, Camp d'En Serralta , Palma de Mallorca",Mallorca,Palma de Mallorca,Camp d'En Serralta ,169900,3,106,2,2020-09-15
,"Flat / Apartment in Sa Indiotería - Son Castelló, Palma de Mallorca",Mallorca,Palma de Mallorca,Sa Indiotería - Son Castelló,139000,4,117,2,2020-09-15
,"Flat / Apartment in Plaça de Toros, Palma de Mallorca",Mallorca,Palma de Mallorca,Plaça de Toros,168000,3,70,3,2020-09-15
,Flat / Apartment in Campos,Mallorca,Campos,,189000,2,90,1,2020-09-15
,"Flat / Apartment in calle del Temple, Sindicat, Palma de Mallorca",Mallorca,Palma de Mallorca,Sindicat,198000,3,80,1,2020-09-15
,"Flat / Apartment in calle de son Nadal, La Soledat, Palma de Mallorca",Mallorca,Palma de Mallorca,La Soledat,185000,4,140,1,2020-09-15
,"Flat / Apartment in calle aragon, Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,Rafal Vell,183000,3,95,1,2020-09-15
,"Flat / Apartment in calle cardenall Rosell, Coll d'En Rabassa, Palma de Mallorca",Mallorca,Palma de Mallorca,Coll d'En Rabassa,149900,3,104,4,2020-09-15
,"Flat / Apartment in Can Picafort, Santa Margalida",Mallorca,Santa Margalida,Can Picafort,185000,3,80,2,2020-09-15
,"Flat / Apartment in Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,Rafal Vell,191000,3,105,3,2020-09-15
,"Penthouse in calle can ferrer, Son Ferrer, Calvià",Mallorca,Calvià,Son Ferrer,199900,2,60,2,2020-09-15
,"Flat / Apartment in manacor, Nou Llevant, Palma de Mallorca",Mallorca,Palma de Mallorca,Nou Llevant,149940,2,67,2,2020-09-15
,"Flat / Apartment in calle JOAN MUNTANER I BUJOSA, Son Cotoner, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Cotoner,117000,3,80,5,2020-09-15
,"Flat / Apartment in Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,Rafal Vell,163000,3,80,2,2020-09-15
,"Flat / Apartment in Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,Rafal Vell,187000,3,90,2,2020-09-15
,"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,Pere Garau,159900,4,93,1,2020-09-15
,"Flat / Apartment in calle d'En Nuno Sanç, Manacor Centro, Manacor",Mallorca,Manacor,Manacor Centro,139000,3,109,2,2020-09-15
,"Flat / Apartment in S'Arenal, Llucmajor",Mallorca,Llucmajor,S'Arenal,165000,2,87,6,2020-09-15
,"Flat / Apartment in Can Picafort, Santa Margalida",Mallorca,Santa Margalida,Can Picafort,195000,3,110,1,2020-09-15
,"Flat / Apartment in avenida Gabriel Alomar, 15, Pont d'Inca, Marratxi",Mallorca,Marratxi,Pont d'Inca,140000,2,71,2,2020-09-15
,"Flat / Apartment in Porto Cristo, Manacor",Mallorca,Manacor,Porto Cristo,169000,2,70,1,2020-09-15
,"Penthouse in avenida de la Virgen, 124, Campos",Mallorca,Campos,124,177900,2,80,3,2020-09-15
,"Flat / Apartment in calle Pintor Sorolla, 41, Centro, Inca",Mallorca,Inca,Centro,165000,3,85,1,2020-09-15
,"Flat / Apartment in Son Dureta, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Dureta,189000,4,113,1,2020-09-15
,"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,Pere Garau,160000,3,73,4,2020-09-15
,"Flat / Apartment in calle Puerto Rico, Nou Llevant, Palma de Mallorca",Mallorca,Palma de Mallorca,Nou Llevant,179000,3,100,4,2020-09-15
,"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,Pere Garau,149000,2,90,3,2020-09-15
,Flat / Apartment in Pobla (Sa),Mallorca,Pobla (Sa),,160000,3,100,2,2020-09-15
,"Duplex in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,Pere Garau,196000,4,125,2,2020-09-15
,"Flat / Apartment in Can Picafort, Santa Margalida",Mallorca,Santa Margalida,Can Picafort,199000,3,95,1,2020-09-15
,"Flat / Apartment in calle Femenies, Camp d'En Serralta , Palma de Mallorca",Mallorca,Palma de Mallorca,Camp d'En Serralta ,169900,3,106,2,2020-09-15
,"Flat / Apartment in Sa Indiotería - Son Castelló, Palma de Mallorca",Mallorca,Palma de Mallorca,Sa Indiotería - Son Castelló,139000,4,117,2,2020-09-15
,"Flat / Apartment in Plaça de Toros, Palma de Mallorca",Mallorca,Palma de Mallorca,Plaça de Toros,168000,3,70,3,2020-09-15
,Flat / Apartment in Campos,Mallorca,Campos,,189000,2,90,1,2020-09-15
,"Flat / Apartment in calle del Temple, Sindicat, Palma de Mallorca",Mallorca,Palma de Mallorca,Sindicat,198000,3,80,1,2020-09-15
,"Flat / Apartment in calle de son Nadal, La Soledat, Palma de Mallorca",Mallorca,Palma de Mallorca,La Soledat,185000,4,140,1,2020-09-15
