id,title,island,locality,area,price,beds,size,floor,date
,"Flat / Apartment in calle Taunus, 38001, 12, Las Caletillas-Punta Larga, Candelaria",Mallorca,Candelaria,Las Caletillas-Punta Larga,113500,1,49,1,2020-09-15
,"Flat / Apartment in calle Perez Zamora, 56, Distrito Playa Jardín, Puerto de la Cruz",Mallorca,Puerto de la Cruz,Distrito Playa Jardín,170000,2,82,6,2020-09-15
,"Penthouse in calle Artemi, NN, Acorán, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Acorán,195000,2,114,4,2020-09-15
,"Flat / Apartment in Cuesta de la Villa, Santa Ursula",Mallorca,Santa Ursula,Cuesta de la Villa,194000,2,84,1,2020-09-15
,"Flat / Apartment in santa catalina de siena, La Cuesta, San Cristóbal de la Laguna",Mallorca,San Cristóbal de la Laguna,La Cuesta,69500,4,92,1,2020-09-15
,"Penthouse in calle el Bermeano, 2, Puerto de Santiago, Santiago del Teide",Mallorca,Santiago del Teide,Puerto de Santiago,185000,1,65,2,2020-09-15
,"Flat / Apartment in calle Portugal, 7, Radazul, El Rosario",Mallorca,El Rosario,Radazul,147500,3,101,2,2020-09-15
,"Penthouse in RAFAEL ALBERTI, Guargacho, San Miguel de Abona",Mallorca,San Miguel de Abona,Guargacho,198000,3,220,3,2020-09-15
,"Flat / Apartment in calle BENCHIJIGUA, 19, San Isidro, Granadilla de Abona",Mallorca,Granadilla de Abona,San Isidro,130000,2,76,3,2020-09-15
,"Flat / Apartment in calle el Sedal, 7, Los Abrigos, Granadilla de Abona",Mallorca,Granadilla de Abona,Los Abrigos,102299,2,72,1,2020-09-15
,"Penthouse in avenida Fundador Gonzalo González, 30, Granadilla, Granadilla de Abona",Mallorca,Granadilla de Abona,Granadilla,149000,3,90,4,2020-09-15
,"Flat / Apartment in calle La Vica, NN, César Casariego-Santa Clara-Nuevo Obrero, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,César Casariego-Santa Clara-Nuevo Obrero,110000,2,93,5,2020-09-15
,"Flat / Apartment in calle Mencey Adeje, 5, Las Chafiras, San Miguel de Abona",Mallorca,San Miguel de Abona,Las Chafiras,128000,1,60,2,2020-09-15
,"Flat / Apartment in calle Luján Pérez, NN, Casco Urbano, Adeje",Mallorca,Adeje,Casco Urbano,154000,3,89,3,2020-09-15
,"Flat / Apartment in avenida de La Constitución, 45, Casco Urbano, Adeje",Mallorca,Adeje,Casco Urbano,169900,3,80,3,2020-09-15
,"Flat / Apartment in calle el jable, Callao Salvaje - Playa Paraíso, Adeje",Mallorca,Adeje,Callao Salvaje - Playa Paraíso,168000,1,67,1,2020-09-15
,"Flat / Apartment in calle Real, 106, La Matanza de Acentejo",Mallorca,La Matanza de Acentejo,106,95000,2,64,1,2020-09-15
,"Flat / Apartment in calle Nivaria, 5, Villa Ascensión-El Perú-Cruz del Señor, Santa Cruz de Tenerife",Mallorca,Santa Cruz de Tenerife,Villa Ascensión-El Perú-Cruz del Señor,195000,2,80,3,2020-09-15
