address,cuisine,link,locality,rating,title
"Avenida de los Pueblos, 26 URB. San Eugenio, Local 9- 10, 38670","Indian, Asian, Balti",https://www.tripadvisor.ie/Restaurant_Review-g662606-d19092010-Reviews-Hindustani_Indian_Restaurant-Costa_Adeje_Adeje_Tenerife_Canary_Islands.html,Adeje,5,Hindustani Indian Restaurant
"Calle Valencia No. 3 Pueblo Torviscas Mall, local E03 and E04, 38660","Indian, Asian, Balti",https://www.tripadvisor.ie/Restaurant_Review-g662606-d15148633-Reviews-Welcome_India-Costa_Adeje_Adeje_Tenerife_Canary_Islands.html,Adeje,5,Welcome India
"Calle Valencia Torviscas Bajo, 38660","Indian, Asian, Balti",https://www.tripadvisor.ie/Restaurant_Review-g662606-d1959825-Reviews-Torviscas_Spice_Village-Costa_Adeje_Adeje_Tenerife_Canary_Islands.html,Adeje,5,Torviscas Spice Village
"Avenida de Espana numero 2, 38660","Bar, Cafe, International",https://www.tripadvisor.ie/Restaurant_Review-g662606-d17779026-Reviews-The_Thirsty_Turtle_Cafe_Terrace_Bar-Costa_Adeje_Adeje_Tenerife_Canary_Islands.html,Adeje,5,The Thirsty Turtle Café & Terrace Bar
"Avenida Ernesto Sarti 14 Complejo oro verde, Local 1, 2, 38660","Indian, Asian, Balti",https://www.tripadvisor.ie/Restaurant_Review-g662606-d12619450-Reviews-Delhi_Darbar-Costa_Adeje_Adeje_Tenerife_Canary_Islands.html,Adeje,5,Delhi Darbar
"Sunset Bay, Las Amenos, Costa Adeje Sunset Bay, 38670","Irish, Bar, British",https://www.tripadvisor.ie/Restaurant_Review-g662606-d4312137-Reviews-Micky_O_Malley_s-Costa_Adeje_Adeje_Tenerife_Canary_Islands.html,Adeje,5,Micky O'Malley's
"Avenida de Espana 25 Inside Shopping Mall Terranova,1st floor, 38660","Italian, Cafe, Mediterranean",https://www.tripadvisor.ie/Restaurant_Review-g662606-d14793627-Reviews-Smile_Italian_Restaurant_Cafe-Costa_Adeje_Adeje_Tenerife_Canary_Islands.html,Adeje,5,Smile Italian Restaurant&Cafe
"Calle La Enramada 17 C. C. San Sebastián 19,20, 38679 La Caleta","Indian, Asian, Balti",https://www.tripadvisor.ie/Restaurant_Review-g796999-d16708175-Reviews-Spice_Garden_La_Caleta-La_Caleta_Costa_Adeje_Adeje_Tenerife_Canary_Islands.html,Adeje,5,Spice Garden La Caleta
"Calle Fernando Lopez Arvelo, 1 GF Victoria Hotel at 4th Level, 38660","International, European, Spanish",https://www.tripadvisor.ie/Restaurant_Review-g662606-d14091847-Reviews-Restaurante_Donaire-Costa_Adeje_Adeje_Tenerife_Canary_Islands.html,Adeje,5,Restaurante Donaire
"Avenida de Espana 25 CC Terranova, Local 103, 38660","Asian, Thai, Healthy",https://www.tripadvisor.ie/Restaurant_Review-g662606-d12580293-Reviews-Niu_Cafe-Costa_Adeje_Adeje_Tenerife_Canary_Islands.html,Adeje,5,Niu Cafe
